specimenID,population,stage,sex,morph,morph_sex,tissue,cohort,seeds,food_regime,plate,row,strip,well,rna_conc_ngul,A260_280,core_sample_number,kallisto_name,seq_date,read_filename,degraded,note,girth,wingCS,wingPC1,wingPC2,wingPC3,wingPC4,txCS,txPC1,wingpadCS,wingpadPC1,wingpadPC2,wingpadPC3,wingpadPC4
FC314_n8_dt,PK15,adult,f,LW,LWf,thorax,19,41,high,2,A,1,A1,74.3,2.21,S47,A1_S47,180824,180824/A1_S47_L002_R1_001.fastq.gz,,,5.11086062,14.4851531,-1.22E-01,-0.0030407,-0.0036261,0.00076549,5.00663773,-0.0141895,NA,NA,NA,NA,NA
FC322_n6_go,FR15,L5,f,NA,NA,gonad,27,15,low,2,A,10,A10,26.2,1.96,S119,A10_S119,180824,180824/A10_S119_L002_R1_001.fastq.gz,,,3.45488478,NA,NA,NA,NA,NA,2.95061531,-0.014069,3.78865789,0.0373639,-4.34E-02,0.04972014,0.00147152
FC325_n10_dt,AC15,adult,f,SW,SWf,thorax,35,15,low,2,A,11,A11,118.6,118.6,S127,A11_S127,180824,180824/A11_S127_L002_R1_001.fastq.gz,,,4.67210167,7.91128624,2.31E-01,-0.0021249,-0.0245782,0.05364662,4.02710989,0.0173397,NA,NA,NA,NA,NA
FC325_n10_ov,AC15,adult,f,SW,SWf,gonad,35,15,low,2,A,12,A12,37.3,37.3,S135,A12_S135,180824,180824/A12_S135_L002_R1_001.fastq.gz,,,4.67210167,7.91128624,2.31E-01,-0.0021249,-0.0245782,0.05364662,4.02710989,0.0173397,NA,NA,NA,NA,NA
FC314_n8_go,PK15,adult,f,LW,LWf,gonad,19,41,high,2,A,2,A2,60.4,2.16,S55,A2_S55,180824,180824/A2_S55_L002_R1_001.fastq.gz,,,5.11086062,14.4851531,-1.22E-01,-0.0030407,-0.0036261,0.00076549,5.00663773,-0.0141895,NA,NA,NA,NA,NA
FC316_n7_dt,FR15,adult,f,SW,SWf,thorax,24,45,high,2,A,3,A3,258,2.18,S63,A3_S63,180824,180824/A3_S63_L002_R1_001.fastq.gz,,,4.42009205,9.97770442,7.04E-02,-0.0324177,-0.0562949,0.00885592,4.05009137,0.03913296,NA,NA,NA,NA,NA
FC316_n7_ab,FR15,adult,f,SW,SWf,abdomen,24,45,high,2,A,4,A4,19.3,1.89,S71,A4_S71,180824,180824/A4_S71_L002_R1_001.fastq.gz,,,4.42009205,9.97770442,7.04E-02,-0.0324177,-0.0562949,0.00885592,4.05009137,0.03913296,NA,NA,NA,NA,NA
FC317_n4_dt,PK13,L5,f,NA,NA,thorax,18,8,low,2,A,5,A5,97.7,2.22,S79,A5_S79,180824,180824/A5_S79_L002_R1_001.fastq.gz,,coded female but looks male - check expression,3.26489684,NA,NA,NA,NA,NA,3.33230921,-0.0787192,3.74959003,0.06297484,-6.95E-02,0.02544944,0.00187542
FC317_n4_ab,PK13,L5,f,NA,NA,abdomen,18,8,low,2,A,6,A6,7.5,2.63,S87,A6_S87,180824,180824/A6_S87_L002_R1_001.fastq.gz,,coded female but looks male - check expression,3.26489684,NA,NA,NA,NA,NA,3.33230921,-0.0787192,3.74959003,0.06297484,-6.95E-02,0.02544944,0.00187542
FC321_n2_dt,KL15,L5,m,NA,NA,thorax,48,80,high,2,A,7,A7,76.4,2.21,S95,A7_S95,180824,180824/A7_S95_L002_R1_001.fastq.gz,,,3.60382122,NA,NA,NA,NA,NA,2.97580785,0.01414142,3.59490558,0.03709425,5.05E-02,0.01718268,0.01133057
FC321_n2_ab,KL15,L5,m,NA,NA,abdomen,48,80,high,2,A,8,A8,29.4,2.31,S103,A8_S103,180824,180824/A8_S103_L002_R1_001.fastq.gz,,,3.60382122,NA,NA,NA,NA,NA,2.97580785,0.01414142,3.59490558,0.03709425,5.05E-02,0.01718268,0.01133057
