baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR54542|c1_g1_i1	506.143555898294	8.54219561013864	2.84097859589675	9.42818658016666e-14	1.11409866089605e-09				FALSE	NA										
TR207970|c10_g3_i1	154.091269357996	8.68586664343289	2.74236656716703	3.58639291522588e-13	2.04598672489089e-09				FALSE	NA										
TR82720|c0_g1_i1	116.414832860034	7.65331903721099	2.99608697794434	6.6629067509344e-13	2.62444795216743e-09				FALSE	NA										
TR199650|c3_g9_i1	110.096100496418	7.26152943099566	3.27462610347667	5.92489956616205e-12	1.13418966314914e-08				FALSE	NA										
TR207970|c10_g4_i1	572.939413085734	8.40647745842018	2.06264469784091	7.6303672941169e-12	1.13418966314914e-08				FALSE	NA										
TR259377|c1_g1_i1	405.142342886731	8.85853423543801	3.01773071290084	1.3307071708833e-11	2.52909670438702e-08				FALSE	NA										
TR102611|c0_g1_i1	70.6607957973118	7.66564442646857	2.72315839233291	1.89029098871713e-11	3.0793908346537e-08				FALSE	NA										
TR47827|c0_g1_i1	43.9640159349121	0.0273780899229421	0.143769517304075	1.80556406955542e-11	4.51950119488476e-08				FALSE	NA										
TR254369|c0_g1_i2	212.495003483575	0.0219428160209056	0.142390048758011	6.92163413163733e-11	4.67655665222167e-08				FALSE	NA										
TR259825|c0_g3_i1	155.759857630906	7.88318278614083	3.0111072220258	4.19503492029004e-11	4.67655665222167e-08				FALSE	NA										
TR276067|c0_g1_i1	156.998594850151	0.0212478440451522	0.142211039573161	3.78114342799182e-11	4.67655665222167e-08				FALSE	NA										
TR228923|c0_g1_i1	146.517544423664	0.0236167053170131	0.142768665723174	8.32766602740199e-11	5.15765513111884e-08				FALSE	NA										
TR222470|c0_g1_i2	190.862587922024	0.0237187627523325	0.142744054044341	1.06045190486832e-10	7.424092661824e-08				FALSE	NA										
TR226091|c0_g1_i2	146.759801539386	7.18487839961919	2.98842414800905	2.03666123615407e-10	1.32399553766383e-07				FALSE	NA										
TR246537|c1_g1_i3	103.191470771021	0.0237399319832446	0.142877541810193	4.44488632817363e-10	2.29105777691871e-07				FALSE	NA										
TR286619|c3_g2_i1	335.749555188461	9.23059202012461	3.72102229907399	6.26087700396603e-10	2.90820780083115e-07				FALSE	NA										
TR217652|c0_g1_i1	107.431411236244	0.0201049150323992	0.142016272854511	6.90299984796447e-10	2.96504985693789e-07				FALSE	NA										
TR225540|c2_g1_i4	147.468298230946	0.0228539074604623	0.142640178532339	6.94480991026375e-10	2.96504985693789e-07				FALSE	NA										
TR287121|c9_g1_i1	555.49691068811	6.98233654402077	2.34034176341379	7.00531281245806e-10	3.35559618090477e-07				FALSE	NA										
TR246647|c1_g1_i1	211.940813996747	0.0215016206123907	0.142240639777427	6.66653311935474e-10	3.93881451005449e-07				FALSE	NA										
TR213855|c0_g1_i1	19.6013891456329	0.0328403122063812	0.145390242988907	2.78130329110625e-10	4.38326723167992e-07				FALSE	NA										
TR232990|c0_g1_i1	61.3926262902418	0.0222578415880678	0.142413403063555	1.02007659995368e-09	4.92581377758444e-07				FALSE	NA										
TR212353|c1_g2_i1	84.8184782357426	0.0226474309208556	0.142473711049161	1.4793557691919e-09	5.21123322723427e-07				FALSE	NA										
TR224430|c1_g7_i2	151.051643631345	0.0228199294117794	0.142550946345128	1.07914128264596e-09	5.21123322723427e-07				FALSE	NA										
TR275611|c0_g1_i1	35.7433897416849	-0.0953417501101152	0.194054702743368	6.60619235472867e-10	5.21123322723427e-07	tr|A0A2R7VXL4|A0A2R7VXL4_ONCFA Uncharacterized protein (Fragment) OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS003329 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA					Inherit from biNOG: cytochrome P450		GO:0008150(L=0),GO:0008152(L=1),GO:0044710(L=2),GO:0055114(L=3),		GO:0003674(L=0),GO:0003824(L=1),GO:0004497(L=3),GO:0005488(L=1),GO:0005506(L=6),GO:0009055(L=1),GO:0016491(L=2),GO:0016705(L=3),GO:0020037(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046906(L=3),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (p450), SMART (TRANS)
TR279864|c1_g1_i1	249.078547301148	6.37784540392193	3.00305050487872	1.18751449400344e-09	5.21123322723427e-07				FALSE	NA										
TR100597|c0_g1_i1	258.003972032794	0.019500176159755	0.141869322349291	1.25381546336936e-09	5.2962911686834e-07				FALSE	NA										
TR212075|c0_g1_i2	155.390779705814	0.0189966791812355	0.141775107743578	1.29973539175791e-09	5.2962911686834e-07				FALSE	NA										
TR52176|c0_g1_i1	173.74637584639	0.0192240461753028	0.141833491079148	1.45277479325081e-09	5.71260883021234e-07	tr|A0A2R7WIY9|A0A2R7WIY9_ONCFA Peptidase S1 domain-containing protein (Fragment) OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS009871 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA					serine-type endopeptidase activity	4080,4972,4974,5164	GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (Trypsin, CUB), SMART (Tryp_SPc, CUB, SIGNAL, TRANS)
TR155001|c0_g1_i1	53.3174475132853	0.0240914537807405	0.142853823399337	2.20416517474854e-09	7.80532096313502e-07				FALSE	NA										
TR51621|c0_g1_i1	330.798605700007	0.022039528064389	0.142420313808648	2.39920195530647e-09	8.83039339997233e-07				FALSE	NA										
TR242526|c1_g1_i1	83.6039821689993	0.0200931298520513	0.141950987705287	4.08829790936564e-09	1.16275526852079e-06	XP_003702278.1 PREDICTED: uncharacterized protein LOC100880374 [Megachile rotundata]	megachile rotundata	No	FALSE	NA					Mak10 subunit, NatC N(alpha)-terminal acetyltransferase		GO:0008150(L=0),GO:0008152(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0016740(L=2),	PFAM (Mak10, CwfJ_C_1, CwfJ_C_2), SMART (COIL, SIGNAL, TRANS)
TR285499|c0_g3_i1	49.9467490752593	0.0287380109903369	0.144072843306276	3.77269771389901e-09	1.30440666220831e-06				FALSE	NA										
TR267303|c0_g1_i1	83.8834603137658	5.863074999313	2.20414680890558	3.9328037055866e-09	1.31977012319356e-06	tr|A0A2R7WUH5|A0A2R7WUH5_ONCFA 2,3-bisphosphoglycerate 3-phosphatase OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS015270 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA				MINPP1	Multiple inositol polyphosphate phosphatase	4150,4151,4910,562	GO:0001503(L=3),GO:0006082(L=3),GO:0006457(L=2),GO:0006793(L=3),GO:0006796(L=4),GO:0006797(L=4),GO:0006950(L=2),GO:0007154(L=2),GO:0007165(L=3),GO:0007275(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009888(L=3),GO:0009987(L=1),GO:0016311(L=5),GO:0019538(L=3),GO:0023052(L=1),GO:0030282(L=5),GO:0031214(L=4),GO:0031929(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0035556(L=4),GO:0043170(L=3),GO:0043436(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0048015(L=6),GO:0048017(L=5),GO:0048513(L=4),GO:0048731(L=4),GO:0048856(L=2),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0065007(L=1),GO:0071704(L=2),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005783(L=4),GO:0005788(L=5),GO:0005886(L=3),GO:0016020(L=1),GO:0031931(L=5),GO:0031974(L=1),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043233(L=2),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044432(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),GO:0070013(L=3),GO:0071944(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0003993(L=6),GO:0004446(L=7),GO:0004721(L=6),GO:0005488(L=1),GO:0005524(L=7),GO:0008969(L=6),GO:0016787(L=2),GO:0016788(L=3),GO:0016791(L=5),GO:0017076(L=4),GO:0030351(L=8),GO:0030352(L=8),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0034416(L=6),GO:0034417(L=7),GO:0035639(L=4),GO:0036094(L=2),GO:0042578(L=4),GO:0043167(L=2),GO:0043168(L=3),GO:0052743(L=7),GO:0052745(L=6),GO:0052826(L=8),GO:0052827(L=7),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Acid_phosphat_A), SMART (SIGNAL, TRANS)
TR239687|c5_g1_i1	453.059698370952	7.53515868788211	2.19058607176668	4.31776754060199e-09	1.4577622397456e-06	tr|A0A1B4X9A5|A0A1B4X9A5_RIPPE Trialysin 2 OS=Riptortus pedestris OX=329032 PE=4 SV=1	riptortus pedestris	No	FALSE	NA										
