baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR219091|c1_g1_i10	4.91298224992648	0.000358833208732777	0.0594142509506645	1.01803883682319e-07	0.000521851693270781	tr|A0A2R7WEE2|A0A2R7WEE2_ONCFA CAP-Gly domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS009580 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					NA		GO:0000003(L=1),GO:0000070(L=5),GO:0000226(L=4),GO:0000278(L=4),GO:0000280(L=5),GO:0000819(L=6),GO:0002165(L=4),GO:0003006(L=2),GO:0006996(L=3),GO:0007010(L=4),GO:0007017(L=3),GO:0007049(L=3),GO:0007051(L=5),GO:0007052(L=5),GO:0007059(L=3),GO:0007067(L=5),GO:0007275(L=3),GO:0007276(L=3),GO:0007292(L=5),GO:0007444(L=6),GO:0007472(L=7),GO:0007476(L=8),GO:0007552(L=4),GO:0007560(L=6),GO:0008150(L=0),GO:0009653(L=3),GO:0009790(L=4),GO:0009791(L=4),GO:0009886(L=4),GO:0009887(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0019953(L=2),GO:0022402(L=4),GO:0022412(L=3),GO:0022414(L=2),GO:0030154(L=4),GO:0030707(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0033301(L=5),GO:0035107(L=4),GO:0035114(L=5),GO:0035120(L=6),GO:0035186(L=6),GO:0035220(L=7),GO:0043933(L=3),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045448(L=5),GO:0048285(L=4),GO:0048468(L=5),GO:0048477(L=4),GO:0048513(L=4),GO:0048563(L=4),GO:0048569(L=6),GO:0048609(L=3),GO:0048610(L=-1),GO:0048707(L=5),GO:0048731(L=4),GO:0048736(L=4),GO:0048737(L=5),GO:0048856(L=2),GO:0048869(L=3),GO:0051276(L=4),GO:0071822(L=4),GO:0071840(L=1),	GO:0000922(L=5),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005635(L=4),GO:0005737(L=4),GO:0005813(L=5),GO:0005815(L=6),GO:0005819(L=6),GO:0005856(L=5),GO:0005874(L=6),GO:0005876(L=6),GO:0005938(L=5),GO:0012505(L=3),GO:0015630(L=6),GO:0016020(L=1),GO:0030496(L=3),GO:0031090(L=3),GO:0031965(L=5),GO:0031967(L=3),GO:0031975(L=3),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),GO:0071944(L=3),	GO:0003674(L=0),GO:0005488(L=1),GO:0005515(L=2),GO:0019899(L=3),GO:0019900(L=4),GO:0019901(L=5),	SMART (COIL)	NA
TR235193|c2_g1_i1	3.9956133841344	-0.00049628508825318	0.0594158444874332	9.74612405372654e-08	0.000521851693270781	XP_024217355.1 actin-binding Rho-activating protein-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from biNOG: actin-binding Rho activating protein					SMART (COIL, SIGNAL)	NA
TR237626|c3_g5_i5	1.94306741386708	-0.000352257933413289	0.0594141935470677	1.05514111624162e-07	0.000521851693270781	tr|R4WDE5|R4WDE5_RIPPE J domain-containing protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				CSP	cysteine string protein	4141	GO:0001505(L=3),GO:0001964(L=3),GO:0003001(L=-1),GO:0003008(L=2),GO:0006457(L=2),GO:0006810(L=3),GO:0006836(L=4),GO:0006887(L=4),GO:0006897(L=5),GO:0007154(L=2),GO:0007267(L=3),GO:0007268(L=7),GO:0007269(L=8),GO:0007275(L=3),GO:0007399(L=5),GO:0007417(L=5),GO:0007420(L=5),GO:0007610(L=1),GO:0007626(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009605(L=2),GO:0009653(L=3),GO:0009887(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0016079(L=3),GO:0016191(L=10),GO:0016192(L=4),GO:0019226(L=4),GO:0019538(L=3),GO:0022411(L=3),GO:0023052(L=1),GO:0023061(L=4),GO:0031987(L=3),GO:0032501(L=1),GO:0032502(L=1),GO:0032940(L=3),GO:0032984(L=4),GO:0035637(L=3),GO:0040011(L=1),GO:0043170(L=3),GO:0043241(L=5),GO:0043624(L=6),GO:0043933(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044708(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0046903(L=4),GO:0048488(L=8),GO:0048489(L=6),GO:0048513(L=4),GO:0048731(L=4),GO:0048854(L=4),GO:0048856(L=2),GO:0050877(L=3),GO:0050896(L=1),GO:0050905(L=4),GO:0051179(L=1),GO:0051234(L=2),GO:0051261(L=7),GO:0051640(L=3),GO:0051641(L=2),GO:0051648(L=4),GO:0051649(L=3),GO:0051650(L=4),GO:0051656(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0071704(L=2),GO:0071822(L=4),GO:0071840(L=1),GO:0072319(L=8),GO:0097479(L=5),GO:0097480(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005886(L=3),GO:0008021(L=3),GO:0016020(L=1),GO:0030135(L=6),GO:0030136(L=7),GO:0030424(L=5),GO:0031410(L=4),GO:0031982(L=3),GO:0033267(L=5),GO:0042995(L=3),GO:0043005(L=4),GO:0043195(L=4),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043679(L=5),GO:0044306(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044456(L=2),GO:0044463(L=3),GO:0044464(L=2),GO:0045202(L=1),GO:0061174(L=7),GO:0061176(L=8),GO:0061177(L=8),GO:0071944(L=3),GO:0097458(L=3),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DnaJ, MADF_DNA_bdg), SMART (DnaJ, TRANS)	NA
TR244883|c0_g3_i6	20.939521954063	0.0213378245418077	0.0652264834441961	4.69347455648701e-08	0.000521851693270781				FALSE	NA											NA
TR277116|c0_g3_i2	3.1072832404383	0.000520219258307955	0.0594161808997637	9.73116939838654e-08	0.000521851693270781	XP_014291152.1 DNA repair protein RAD50 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					DNA repair protein RAD50	3440,3450	GO:0000723(L=6),GO:0002164(L=4),GO:0002165(L=4),GO:0002168(L=5),GO:0006139(L=3),GO:0006259(L=4),GO:0006281(L=5),GO:0006302(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007275(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009791(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0016233(L=7),GO:0032200(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0033554(L=3),GO:0034641(L=3),GO:0042592(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0046483(L=3),GO:0050896(L=1),GO:0051276(L=4),GO:0051716(L=2),GO:0055114(L=3),GO:0060249(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0071704(L=2),GO:0071840(L=1),GO:0090304(L=4),GO:0090305(L=5),GO:1901360(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0030870(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0004518(L=4),GO:0005488(L=1),GO:0005524(L=7),GO:0008270(L=6),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0017076(L=4),GO:0030554(L=5),GO:0032440(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Rad50_zn_hook), SMART (COIL)	NA
TR206792|c0_g1_i1	3.5484491244012	0.000526064379477056	0.0594160900119267	1.02212775158683e-07	0.000558947995909698	tr|A0A224XFX3|A0A224XFX3_9HEMI Putative vegetative cell wall protein gp1 OS=Panstrongylus lignarius OX=156445 PE=4 SV=1	panstrongylus lignarius	No	FALSE	NA					NA					SMART (COIL)	NA
TR220475|c0_g1_i2	2.30873958306953	-0.000229799292460901	0.059413367724085	1.1296540166198e-07	0.000888738783171612	XP_014282114.1 zinc finger FYVE domain-containing protein 16 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				SARA	Smad anchor for receptor activation	4144,4350	GO:0007154(L=2),GO:0007165(L=3),GO:0007166(L=4),GO:0007167(L=5),GO:0007178(L=6),GO:0007179(L=6),GO:0008104(L=3),GO:0008150(L=0),GO:0009719(L=2),GO:0009987(L=1),GO:0010033(L=3),GO:0023052(L=1),GO:0033036(L=2),GO:0042221(L=2),GO:0044699(L=1),GO:0044700(L=2),GO:0044763(L=2),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051179(L=1),GO:0051716(L=2),GO:0065007(L=1),GO:0070848(L=4),GO:0070887(L=3),GO:0071310(L=4),GO:0071363(L=5),GO:0071495(L=3),GO:0071559(L=3),GO:0071560(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005768(L=5),GO:0005769(L=7),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),	GO:0003674(L=0),GO:0005102(L=3),GO:0005126(L=4),GO:0005160(L=5),GO:0005488(L=1),GO:0005515(L=2),GO:0008157(L=6),GO:0019899(L=3),GO:0019902(L=4),GO:0019903(L=5),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),	PFAM (DUF3480, FYVE, SARA), SMART (FYVE, COIL)	NA
TR207150|c0_g1_i1	4.08314377996251	-0.000634915328287113	0.0594174787832013	2.93704704203178e-07	0.00090787795378005				FALSE	NA					TOPEUc		GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006259(L=4),GO:0006265(L=6),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009987(L=1),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0034641(L=3),GO:0034655(L=4),GO:0042278(L=5),GO:0042454(L=7),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044260(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044710(L=2),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0055086(L=3),GO:0071103(L=5),GO:0071704(L=2),GO:0072521(L=4),GO:0072523(L=5),GO:0090304(L=4),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005694(L=4),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0003916(L=3),GO:0003917(L=4),GO:0003918(L=5),GO:0008094(L=9),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016853(L=2),GO:0016887(L=7),GO:0017111(L=6),GO:0042623(L=8),GO:0061505(L=4),	PFAM (Topoisom_I, Topoisom_I_N), SMART (COIL, TOPEUc)	NA
TR208840|c1_g1_i1	7.21680154273828	0.00790624034022704	0.060178717970413	3.68784019803848e-07	0.00101329555841437	XP_014289924.1 zinc finger CCHC domain-containing protein 10 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					ZnF_C2HC				GO:0003674(L=0),GO:0003676(L=3),GO:0005488(L=1),GO:0008270(L=6),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	SMART (ZnF_C2HC, COIL)	NA
TR237644|c0_g1_i2	21.8384842973797	0.0123405869413263	0.0612912267981128	8.27690845793508e-07	0.00204679669256277	tr|A0A2R7VXL8|A0A2R7VXL8_ONCFA DUF4774 domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS002427 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA											NA
