baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR243152|c1_g1_i8	2.27107905720657	1.17432062067407e-07	0.00144269503497845	1.27521631409731e-16	4.10708918281321e-12	XP_044744240.1 uncharacterized protein LOC123306337 [Coccinella septempunctata]	coccinella septempunctata	No	FALSE	NA											NA
TR254073|c0_g1_i1	0.327436231058032	-1.87210695184719e-08	0.00144269502572782	7.99683810923794e-13	1.79425172579404e-08	tr|R4WDB2|R4WDB2_RIPPE Arginine/serine-rich-splicing factor OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				LARK	Zinc knuckle		GO:0000003(L=1),GO:0000278(L=4),GO:0000280(L=5),GO:0000375(L=7),GO:0000377(L=8),GO:0000398(L=7),GO:0006139(L=3),GO:0006396(L=5),GO:0006397(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0006810(L=3),GO:0006996(L=3),GO:0007010(L=4),GO:0007049(L=3),GO:0007067(L=5),GO:0007275(L=3),GO:0007276(L=3),GO:0007292(L=5),GO:0007300(L=5),GO:0007303(L=4),GO:0007562(L=4),GO:0007563(L=5),GO:0007610(L=1),GO:0007622(L=2),GO:0007623(L=2),GO:0007626(L=2),GO:0008062(L=5),GO:0008104(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0008380(L=7),GO:0009790(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0016043(L=2),GO:0016070(L=4),GO:0016071(L=5),GO:0016482(L=4),GO:0019953(L=2),GO:0022402(L=4),GO:0022414(L=2),GO:0030029(L=3),GO:0030036(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0033036(L=2),GO:0034641(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044708(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0045475(L=3),GO:0045804(L=5),GO:0046483(L=3),GO:0046907(L=3),GO:0048285(L=4),GO:0048477(L=4),GO:0048511(L=1),GO:0048512(L=3),GO:0048519(L=3),GO:0048609(L=3),GO:0048856(L=2),GO:0050789(L=2),GO:0050793(L=3),GO:0050896(L=1),GO:0051093(L=4),GO:0051179(L=1),GO:0051234(L=2),GO:0051239(L=3),GO:0051241(L=4),GO:0051641(L=2),GO:0051649(L=3),GO:0065007(L=1),GO:0071684(L=3),GO:0071704(L=2),GO:0071840(L=1),GO:0090304(L=4),GO:1901360(L=3),GO:2000026(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005681(L=6),GO:0005737(L=4),GO:0030529(L=4),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),GO:0071011(L=7),GO:0071013(L=7),	GO:0000166(L=3),GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003729(L=6),GO:0005488(L=1),GO:0008270(L=6),GO:0036094(L=2),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (RRM_1, zf-CCHC), SMART (RRM, ZnF_C2HC)	LARK
TR286104|c4_g3_i1	1.57908786549131	1.82687382897464e-07	0.00144269503230473	1.97118639344013e-10	2.11620000578421e-06				FALSE	NA											NA
TR220145|c0_g7_i1	52.0650370559341	0.621861543702651	0.155631921003288	2.95585548456872e-06	0.00708480016138799				FALSE	NA											NA
TR216454|c5_g1_i1	12.5920240836314	0.733531761129265	0.19061823677787	3.63857253343464e-06	0.00980173593724055				FALSE	NA											NA
TR48979|c0_g1_i1	3.3085246561832	-3.39428691208496e-06	0.00144269576432837	1.05247495037079e-06	0.0119294414501528				FALSE	NA											NA
TR196735|c1_g1_i1	21.2284001685177	2.33375754343756	0.979076991486228	1.31424307837588e-05	0.0240659163908934				FALSE	NA											NA
TR52197|c0_g1_i1	124.445363509248	0.639410655904848	0.18057286698833	1.45744276335113e-05	0.0240659163908934				FALSE	NA											NA
TR242627|c0_g1_i5	4.34860805943823	-2.6305044523502	0.824334040092413	4.69973490895923e-06	0.0255316686367316	tr|A0A2R7VWZ3|A0A2R7VWZ3_ONCFA VWFD domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS002481 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA				VG	vitellogenin		GO:0006801(L=4),GO:0006810(L=3),GO:0006869(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0010876(L=3),GO:0033036(L=2),GO:0044237(L=2),GO:0044699(L=1),GO:0044710(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055114(L=3),GO:0071702(L=4),GO:0072593(L=3),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0005215(L=1),GO:0005319(L=3),GO:0005488(L=1),GO:0022892(L=2),GO:0043167(L=2),GO:0043169(L=3),GO:0045735(L=1),GO:0046872(L=4),	PFAM (Vitellogenin_N, VWD, DUF1943, Sod_Cu), SMART (LPD_N, VWD, DUF1943, SIGNAL, COIL)	vitellogenin
TR243006|c0_g3_i1	14.3778031695921	-8.64134025587897e-06	0.00144270200525624	1.99257603010365e-05	0.0268384152060795				FALSE	NA											Tsr3
