"","specimen.id","population","morph","sex","morph.sex","cohort","seeds","food_regime","girth","wingCS","wingPC1","wingPC2","wingPC3","wingPC4","txCS","txPC1"
"FC314_n8","FC314_n8","PK15","LW","female","LWf",19,41,"high",5.11086062222557,14.4851531095941,-0.122096090457753,-0.0030406727842611,-0.00362607077980007,0.000765494185561809,5.0066377307716,-0.01418949551646
"FC316_n7","FC316_n7","FR","SW","female","SWf",24,45,"high",4.42009204846385,9.9777044187002,0.0703803587970631,-0.0324177193077211,-0.0562948568851248,0.00885592427238649,4.0500913728384,0.0391329571489298
"FC325_n10","FC325_n10","AC15","SW","female","SWf",35,15,"low",4.67210166500319,7.91128623984999,0.230670698072411,-0.00212491658100934,-0.0245782413957531,0.053646618135257,4.02710989377157,0.0173397007013782
"FC346_n01","FC346_n01","KL15","SW","male","SWm",10,5,"low",3.08581017965467,7.49175573602194,0.131724278430264,0.0207755306915094,0.0396887827285659,-0.0237025053925332,3.24331829303338,0.00507533974720291
"FC346_n02","FC346_n02","KL15","LW","female","LWf",10,5,"low",4.15118643530744,11.2813507318456,-0.0938905551146119,0.00657362178041495,-0.0212478546231769,0.00811053752814375,3.84597717605627,0.0230041290968119
"FC349_n03","FC349_n03","KL","LW","male","LWm",15,7,"low",3.67527673308895,11.8216629188355,-0.141225569387401,0.0234409941655054,-0.0174857513701782,0.0127434981109537,3.66945688489307,-0.0105830640581247
"FC350_n02","FC350_n02","KL","LW","male","LWm",30,15,"low",NA,12.0361440272501,-0.13229354432622,0.0315324502997649,-0.00455774916339169,-0.00172884018310058,3.65519429388829,-0.0144140675494911
"FC350_n04","FC350_n04","KL","SW","female","SWf",30,15,"low",3.83257332572583,7.1102982191945,0.343093927423027,0.153897165206032,0.0064686250969963,0.0315631786067868,3.73866455241347,-0.00274691363903647
"FC351_n04","FC351_n04","KL","SW","male","SWm",16,8,"low",3.18123704339418,7.5062779346939,0.15033655335455,0.0146785439364019,-0.0537952482975231,-0.0066865943678851,3.3238796976101,-0.0216267699261972
"FC352_n12","FC352_n12","AC15","SW","female","SWf",12,20,"high",4.64431774246681,10.1487618326304,0.0794943657150843,-0.0336859348948515,0.000384349394728985,-0.00211534083112902,4.29069972575823,0.012778416915663
"FC353_n01","FC353_n01","AC15","LW","male","LWm",13,20,"high",3.51221805948336,9.98155824285179,-0.0580756227030714,-0.0353128022677232,0.0250933795707255,-0.0203654499214091,3.66775268989002,-0.0186483800412462
"FC356_n04","FC356_n04","AC15","SW","female","SWf",20,10,"low",4.51962004436121,9.09923080742619,0.0840743729445443,0.023783591844525,0.0594984250207548,0.0195254445326141,3.99701454441503,0.033489464242886
"FC356_n12","FC356_n12","AC15","SW","female","SWf",20,10,"low",4.45332576164969,9.46174801185902,0.0986304133772563,0.00436997946591767,-0.0196949729472638,0.0541589100485123,4.06363598115488,0.0150811796640283
"FC367_n06","FC367_n06","PK13","LW","female","LWf",18,8,"low",4.13440617858861,10.1093518086205,0.0401893154100459,-0.0194451039203486,-0.0319676865120018,-0.0257619658453897,3.9518514385378,0.0330663859282585
"FC367_n07","FC367_n07","PK13","SW","female","SWf",18,8,"low",4.21612353923053,8.64676902030884,0.201890410444791,0.0210670429754614,-0.0735411571262262,-0.0287326343909566,3.96036330598522,0.0200023361552634
"FC367_n08","FC367_n08","PK13","LW","female","LWf",18,8,"low",4.19075571840207,12.3360120600552,-0.101251634407102,0.0595234425124752,0.0226098601137985,0.0156781611869666,3.89147214643608,0.0283317312605422
"FC367_n09","FC367_n09","PK13","SW","female","SWf",18,8,"low",4.1911764932462,8.91074720365554,0.130831253805434,0.0306517886981059,0.0209798133024815,-0.00599689010729436,3.98925788368188,0.00448321548230141
"FC371_n01","FC371_n01","PK15","LW","male","LWm",5,10,"high",3.10500390074915,8.87609768223085,-0.0735257512063813,-0.00595672446029269,-0.0101787621520754,-0.0470426367170709,3.34514914563952,0.0201019079271268
"FC372_n04","FC372_n04","PK15","SW","male","SWm",10,10,"low",3.45086948273299,7.79031084982076,0.173047944365866,0.0324534365934548,0.0169266040281283,-0.0311076421461628,3.58961870868457,0.0606434948015947
"FC373_n04","FC373_n04","PK15","SW","male","SWm",20,10,"low",3.89709848565766,7.91033165890614,0.15571137132228,0.0511227202425143,0.0432468524210239,-0.0208613529413635,3.74177118864635,0.0302349161300814
"FC374_n06","FC374_n06","PK15","SW","male","SWm",10,25,"high",3.87512061096111,8.94465839059304,0.163307699020042,0.0796341710014408,0.0457909606965301,-0.000544866415580217,4.03817164032206,0.00262516524002844
"FC374_n07","FC374_n07","PK15","LW","female","LWf",10,25,"high",NA,14.0274580319184,-0.129600315691032,0.00418621009224255,0.0036157038839829,0.00150677885488898,4.61669010098813,-0.00607051911553692
"FC375_n01","FC375_n01","PK15","SW","male","SWm",30,10,"low",4.17729563266633,9.06908472943294,0.0964952105073276,-0.0248619785769768,0.00117917777396569,-0.00396900647179014,4.06055893547141,-0.0138529623523737
"FC375_n05","FC375_n05","PK15","LW","male","LWm",30,10,"low",3.75641312701313,12.5176701549246,-0.13255849919047,0.030344726295707,-0.0016579770218757,0.0113377251088531,4.0943930031825,-0.0301801935727768
"FC377_n02","FC377_n02","AC15","SW","male","SWm",20,20,"low",3.60185919096304,7.24808047152309,0.0936831886481469,-0.0275397218818319,0.0582215822971011,-0.0138244791081758,3.3788176214859,-0.00944916470176466
"FC377_n11","FC377_n11","AC15","SW","male","SWm",20,20,"low",3.40217576862346,7.46838936413621,0.171650690695884,-0.0415500952319389,-0.0171958730867614,-0.0183626461924292,3.50234980968331,-0.00936251831613055
"FC377_n12","FC377_n12","AC15","SW","male","SWm",20,20,"low",3.55693798721365,7.32165245976672,0.167292608701274,-0.0542427156176317,-0.0282764125745343,-0.00601189058296146,3.54267547494396,-0.0487636643050697
"FC378_n02","FC378_n02","AC15","SW","female","SWf",20,40,"high",4.22918215991792,8.17176173541782,0.21705320715587,0.0135037608322754,0.035729695700738,0.00318397984935766,3.94093286499737,-0.00418011148810888
"FC378_n04","FC378_n04","AC15","SW","female","SWf",20,40,"high",4.14082735589212,7.11744637887869,0.172791905116258,0.0162483679073832,0.00562178598710997,0.0138731392153891,3.65150791513051,-0.0105889302427478
"FC388_n07","FC388_n07","AC15","SW","male","SWm",10,15,"high",NA,6.81858991176656,0.248738937355022,0.0548590225050781,0.00911188682784992,0.00709641738055689,3.41858014744457,-0.0260697891753264
"FC389_n03","FC389_n03","FR14","LW","male","LWm",32,24,"low",NA,10.9518291072054,-0.111765131824056,4.21015757138824e-05,0.0307673352642572,-0.0305244325372471,3.48323219552943,0.0142358649449536
"FC389_n14","FC389_n14","FR14","LW","female","LWf",32,24,"low",3.6242447640776,12.7890172689119,-0.156297953037783,0.00634662473765031,0.00654857369432333,-0.00381392629340588,3.78857629452791,0.0116392247364171
"FC389_n20","FC389_n20","FR14","LW","male","LWm",32,24,"low",NA,10.9835129262962,-0.151316333456996,0.0138927952249361,0.0180390637703697,-0.00327177251810366,3.41116817924626,-0.000145394184555004
"FC390_n03","FC390_n03","FR14","SW","male","SWm",32,24,"low",3.61565031227748,7.98060712888525,0.162015360867629,0.0401463542282002,0.0763619614046199,-0.0288562019027093,3.64754147383371,-0.0138782268904473
"FC390_n04","FC390_n04","FR14","SW","male","SWm",32,24,"low",3.49807515167761,7.88681083949845,0.0933217539410694,-0.00920843996433675,0.016846970899388,-0.0263914375366339,3.3973248693689,-0.0175245909886026
"FC390_n05","FC390_n05","FR14","LW","female","LWf",32,24,"low",4.78790620887064,14.4911020706732,-0.13440434262522,0.0265278887989016,0.015344167945836,0.0076933750740848,4.67865810325798,0.00150038289004305
"FC390_n07","FC390_n07","FR14","SW","male","SWm",32,24,"low",3.6591699660748,7.81173557306204,0.153520542050283,-0.0312255755541607,-0.00440114670944896,-0.00743166150217569,3.44470544822059,0.0432938256382108
"FC391_n01","FC391_n01","FR14","SW","female","SWf",26,14,"low",5.10096230103357,10.8138428528064,0.0350253548403016,-0.0668840752976479,0.0235861595936618,0.00742705882693131,4.42073949526744,0.0164057579394711
"FC391_n04","FC391_n04","FR14","SW","female","SWf",26,14,"low",4.69175659199623,8.86918955432998,0.17320626128834,0.0561630786368373,0.0292780896358146,0.00225576384001195,4.24348825911962,0.0470058111550081
"FC396_n02","FC396_n02","FR15","LW","male","LWm",24,34,"high",3.86753249014356,12.4080599261669,-0.169871470247262,0.0303767463056145,0.00509310178426801,-0.000866572338797923,3.82147592850792,-0.015742113531374
"FC396_n07","FC396_n07","FR15","LW","male","LWm",24,34,"high",3.97296250798694,12.9643132536013,-0.168759412136232,0.00951106051399842,-0.0104176428668882,0.00970591425936588,3.91623888796478,-0.00169194961160016
