"","specimen.id","population","sex","cohort","seeds","food_regime","girth","wingpadCS","wingpadPC1","wingpadPC2","wingpadPC3","wingpadPC4","txCS","txPC1"
"FC381_n01","FC381_n01","KL","female",16,4,"low",4.11193125852017,4.253355522868,-0.0060164187371525,-0.00526124663781334,0.0053527683040967,-0.0102003880077953,3.50378478929777,0.0188892341246572
"FC317_n4","FC317_n4","PK13","female",18,8,"low",3.26489683610771,3.74959002780528,0.059129119295645,-0.0718228713692897,0.0244944038600425,0.00200139635315718,3.33230920678993,-0.0789704065679209
"FC321_n2","FC321_n2","KL15","male",48,80,"high",3.60382122494282,3.59482820554034,0.0355428619567126,0.0463329350141927,0.0187302847960417,-0.0117451603659619,2.97580785081035,0.0153519745487667
"FC322_n6","FC322_n6","FR15","female",27,15,"low",3.45488477667603,3.78865789130967,0.0327805363416529,-0.0489086341519507,0.0494283668952106,0.00600065232446994,2.95061531492518,-0.0122524659059402
"FC371_n02","FC371_n02","PK15","male",5,10,"high",3.04217124740611,3.20623699854535,0.0252231107789819,0.0830157192362395,-0.0412091674601095,0.0405188653962246,2.75544850757293,0.00764243275429563
"FC381_n02","FC381_n02","KL","female",16,4,"low",4.03172029957666,4.07860613833889,0.0767041794743017,0.0332725710465888,-0.00772700399064848,0.000964491259415498,3.47104403819856,0.00478785505421332
"FC381_n04","FC381_n04","KL","male",16,4,"low",3.03473382226409,3.74805646640016,0.000787810972047408,0.0444753618690742,0.0199907388134065,0.0200940965194075,2.84208195751695,0.0244745000369932
"FC381_n05","FC381_n05","KL","male",16,4,"low",3.0070927135148,3.56512997258162,0.0253025198095974,-0.0306043404001929,0.0302167587442404,0.0470299488270718,2.80344982600218,0.0377127873335228
"FC386_n01","FC386_n01","AC15","female",16,12,"low",4.03313780175298,3.92816453177516,0.0265803690135771,-0.0263861391827683,0.015390263383689,-0.00845489318957766,3.08397016818192,-0.0253608772421894
"FC386_n03","FC386_n03","AC15","female",16,12,"low",3.66637012445771,3.81100519996601,0.078859231006334,0.0371437102276736,-0.0222365424010056,0.0241770163932396,3.06448730042825,-0.00260842542629191
"FC386_n04","FC386_n04","AC15","female",16,12,"low",3.67483520217801,3.98327166882294,-0.063505609547646,-0.0170613969797402,-0.0156971308385938,0.018473040907482,3.10097269471272,0.00114506114012224
"FC386_n05","FC386_n05","AC15","male",16,12,"low",2.99806242544717,3.35561837399867,0.0121247866578999,-0.00569669772135971,-0.0160637233244394,-0.0216150533826628,2.71289361725062,-0.0421558479668292
"FC387_n03","FC387_n03","AC15","male",20,16,"low",3.22016798781458,3.6813209857261,-0.0222042113271498,-0.032556608379868,0.0255306323039408,0.0118796074815009,2.76205741313342,0.0277619426924293
"FC388_n01","FC388_n01","AC15","male",10,15,"high",3.43955832353946,3.72278877432753,0.0542474110012352,0.00728210561758882,-0.00854252926307792,0.00449236192145561,2.92176438443606,-0.0012607857496653
"FC388_n02","FC388_n02","AC15","female",10,15,"high",3.23567956516586,3.75971209890108,0.0150588521374095,-0.0459637128344565,-0.0378950248549543,0.0342193676926075,2.94313110654417,0.0276942574476438
"FC388_n03","FC388_n03","AC15","male",10,15,"high",3.04247188065588,3.12636736221095,0.0168239151563286,-0.0436949170187657,-0.00114778153948216,0.0390991575501416,NA,NA
"FC388_n04","FC388_n04","AC15","male",10,15,"high",3.14831996114073,3.49210489449882,-0.00454986221068308,-0.0401624091176787,-0.00283823684548151,0.00205852775468489,2.85102318918362,0.01043648657528
