baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR238237|c5_g2_i1	824.864392071512	-4.04757126765402	0.145310440428989	5.69164700486954e-172	4.03109673439098e-167	tr|T1I5G7|T1I5G7_RHOPR Uncharacterized protein OS=Rhodnius prolixus OX=13249 PE=4 SV=1	rhodnius prolixus	No	FALSE	NA											NA
TR208784|c0_g1_i1	763.408043933802	-3.60097544915992	0.13202869719123	7.02599470186957e-165	2.17753159934377e-160	tr|A0A2R7VPT1|A0A2R7VPT1_ONCFA Cyclin N-terminal domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS001026 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA				CYCE	cyclin e	4110,4114,4115,4151,4391,5161,5162,5200,5203,5215,5222	GO:0000003(L=1),GO:0000079(L=9),GO:0000082(L=6),GO:0000278(L=4),GO:0001708(L=5),GO:0001709(L=5),GO:0001932(L=7),GO:0003006(L=2),GO:0006139(L=3),GO:0006259(L=4),GO:0006275(L=7),GO:0006277(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0007049(L=3),GO:0007088(L=6),GO:0007096(L=7),GO:0007154(L=2),GO:0007155(L=2),GO:0007165(L=3),GO:0007259(L=6),GO:0007275(L=3),GO:0007276(L=3),GO:0007277(L=4),GO:0007292(L=5),GO:0007304(L=4),GO:0007306(L=5),GO:0007307(L=4),GO:0007346(L=5),GO:0007399(L=5),GO:0007400(L=7),GO:0007422(L=5),GO:0007423(L=6),GO:0008150(L=0),GO:0008152(L=1),GO:0008356(L=4),GO:0008360(L=6),GO:0009058(L=2),GO:0009059(L=4),GO:0009653(L=3),GO:0009889(L=4),GO:0009987(L=1),GO:0010556(L=5),GO:0010564(L=5),GO:0010927(L=3),GO:0010941(L=4),GO:0010942(L=5),GO:0014016(L=7),GO:0014017(L=7),GO:0016043(L=2),GO:0018130(L=4),GO:0019219(L=5),GO:0019220(L=6),GO:0019222(L=3),GO:0019438(L=4),GO:0019827(L=3),GO:0019953(L=2),GO:0022008(L=5),GO:0022402(L=4),GO:0022403(L=2),GO:0022412(L=3),GO:0022414(L=2),GO:0022603(L=4),GO:0022604(L=5),GO:0022610(L=1),GO:0023052(L=1),GO:0030154(L=4),GO:0030182(L=7),GO:0030703(L=5),GO:0030707(L=5),GO:0031323(L=4),GO:0031326(L=5),GO:0031399(L=6),GO:0032268(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032989(L=4),GO:0033043(L=5),GO:0033554(L=3),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0035019(L=4),GO:0035556(L=4),GO:0042127(L=4),GO:0042325(L=7),GO:0042981(L=6),GO:0043065(L=7),GO:0043067(L=5),GO:0043068(L=6),GO:0043170(L=3),GO:0043549(L=8),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0044770(L=5),GO:0044772(L=5),GO:0045035(L=5),GO:0045165(L=5),GO:0045595(L=5),GO:0045596(L=5),GO:0045859(L=8),GO:0046483(L=3),GO:0048468(L=5),GO:0048477(L=4),GO:0048513(L=4),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048609(L=3),GO:0048610(L=-1),GO:0048646(L=3),GO:0048663(L=6),GO:0048665(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048856(L=2),GO:0048863(L=5),GO:0048864(L=6),GO:0048865(L=6),GO:0048867(L=6),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050793(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051052(L=5),GO:0051093(L=4),GO:0051128(L=4),GO:0051171(L=4),GO:0051174(L=5),GO:0051246(L=5),GO:0051301(L=3),GO:0051325(L=3),GO:0051329(L=4),GO:0051338(L=4),GO:0051716(L=2),GO:0051726(L=4),GO:0051783(L=6),GO:0060255(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0071704(L=2),GO:0071840(L=1),GO:0071897(L=5),GO:0071900(L=8),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),	GO:0000307(L=4),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0019908(L=5),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0005488(L=1),GO:0005515(L=2),GO:0016538(L=5),GO:0019207(L=3),GO:0019887(L=4),GO:0030234(L=2),	PFAM (Cyclin_N, Cyclin_C), SMART (CYCLIN)	Cyclin-E
TR267506|c0_g1_i1	599.357683462235	-3.17766351479799	0.116650661615563	2.92991026987359e-163	6.91700879718483e-159	tr|A0A2D4MEI1|A0A2D4MEI1_9SAUR TPR_REGION domain-containing protein OS=Micrurus spixii OX=129469 PE=3 SV=1	micrurus spixii	No	FALSE	NA					SHNi-TPR					PFAM (SHNi-TPR), SMART (COIL)	NA
TR203318|c0_g1_i1	399.275030090067	2.46063715703141	0.0942759265428298	8.82766622918345e-151	1.30124524471213e-146				FALSE	NA											NA
TR225577|c1_g1_i2	2171.6232824897	-2.58221206588469	0.0992969067284746	2.66450241186777e-150	4.9888201792756e-146	tr|A0A2R7WGG2|A0A2R7WGG2_ONCFA RNA helicase OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS010524 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA				ME31B	ATP-dependent RNA helicase	3018	GO:0000075(L=5),GO:0000077(L=7),GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007049(L=3),GO:0007093(L=6),GO:0007095(L=8),GO:0007346(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009892(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010564(L=5),GO:0010605(L=5),GO:0010608(L=6),GO:0010629(L=6),GO:0010948(L=6),GO:0016043(L=2),GO:0016441(L=6),GO:0016458(L=5),GO:0019222(L=3),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0022402(L=4),GO:0022607(L=3),GO:0022613(L=3),GO:0022618(L=5),GO:0031047(L=6),GO:0031570(L=6),GO:0031572(L=8),GO:0033554(L=3),GO:0033962(L=5),GO:0034622(L=5),GO:0034641(L=3),GO:0034655(L=4),GO:0035194(L=7),GO:0035195(L=8),GO:0040029(L=6),GO:0042278(L=5),GO:0042454(L=7),GO:0043933(L=3),GO:0044085(L=2),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044710(L=2),GO:0044763(L=2),GO:0044773(L=8),GO:0044774(L=7),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0048519(L=3),GO:0048523(L=4),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0051726(L=4),GO:0055086(L=3),GO:0060255(L=4),GO:0065003(L=4),GO:0065007(L=1),GO:0070925(L=4),GO:0071704(L=2),GO:0071826(L=4),GO:0071840(L=1),GO:0072521(L=4),GO:0072523(L=5),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),GO:1901987(L=6),GO:1901988(L=7),GO:1901990(L=6),GO:1901991(L=7),	GO:0000932(L=7),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005856(L=5),GO:0005875(L=6),GO:0015630(L=6),GO:0030529(L=4),GO:0032991(L=1),GO:0035770(L=5),GO:0043186(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),GO:0045495(L=5),GO:0060293(L=6),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003724(L=8),GO:0003824(L=1),GO:0004004(L=9),GO:0004386(L=7),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0008026(L=9),GO:0008186(L=9),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016887(L=7),GO:0017076(L=4),GO:0017111(L=6),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0042623(L=8),GO:0043167(L=2),GO:0043168(L=3),GO:0070035(L=8),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Helicase_C, DEAD), SMART (DEXDc, HELICc)	ME31B
TR263525|c0_g1_i4	425.034869142611	-3.35354105647581	0.130853620808833	5.70247668007389e-145	5.13586306107011e-141	XP_014294227.1 lymphoid-specific helicase-like isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					SNF2 family N-terminal domain		GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009987(L=1),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0034641(L=3),GO:0034655(L=4),GO:0042278(L=5),GO:0042454(L=7),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044710(L=2),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0055086(L=3),GO:0071704(L=2),GO:0072521(L=4),GO:0072523(L=5),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),		GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003824(L=1),GO:0004386(L=7),GO:0005488(L=1),GO:0005524(L=7),GO:0008026(L=9),GO:0016462(L=5),GO:0016740(L=2),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016887(L=7),GO:0017076(L=4),GO:0017111(L=6),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0042623(L=8),GO:0043167(L=2),GO:0043168(L=3),GO:0070035(L=8),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (SNF2_N, Helicase_C, ResIII, HDA2-3, DEAD), SMART (DEXDc, HELICc, COIL, TRANS)	NA
TR220515|c1_g1_i2	286.97999417504	-2.42684846786856	0.0968884704019569	2.2266336794085e-139	1.87552983140835e-135	XP_014283601.1 gastric triacylglycerol lipase-like isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					lipase 3-like	561,1100	GO:0000003(L=1),GO:0000902(L=5),GO:0006629(L=3),GO:0007275(L=3),GO:0007399(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009653(L=3),GO:0009987(L=1),GO:0016042(L=4),GO:0016043(L=2),GO:0022008(L=5),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0031175(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032989(L=4),GO:0032990(L=5),GO:0044238(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048468(L=5),GO:0048666(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0071704(L=2),GO:0071840(L=1),GO:1901575(L=3),	GO:0005575(L=0),GO:0005576(L=1),GO:0005615(L=3),GO:0044421(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0004806(L=5),GO:0016298(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0052689(L=4),	PFAM (Abhydrolase_1, Abhydro_lipase), SMART (SIGNAL, TRANS)	NA
TR233874|c2_g2_i2	184.688046352133	-3.29321453140836	0.132348978867271	1.42681373694674e-138	9.63781227578455e-135	tr|A0A2R7W0Y8|A0A2R7W0Y8_ONCFA CUPID domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS004051 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					Domain of unknown function (DUF3338)					PFAM (DUF3338, FERM_N), SMART (COIL, B41)	NA
TR210889|c1_g2_i1	2495.62792768391	-4.1434830769986	0.166839737751632	2.45991033513849e-138	1.47699129490272e-134				FALSE	NA											NA
TR277144|c0_g1_i1	153.159152108598	-3.91372926717872	0.157188959360167	2.08398467896903e-136	1.47597766107518e-132				FALSE	NA											NA
