baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR199998|c0_g1_i1	49.2281915688393	-4.82966680119816	0.261526641545156	3.51619018193211e-78	1.0637265368317e-73	tr|A0A6A4KCS6|A0A6A4KCS6_APOLU DM domain-containing protein OS=Apolygus lucorum OX=248454 GN=GE061_02928 PE=4 SV=1	apolygus lucorum	No	FALSE	NA				DMRTC2	DMRT-like family C2		GO:0000003(L=1),GO:0003006(L=2),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0007548(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009889(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0016070(L=4),GO:0018130(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0022414(L=2),GO:0030154(L=4),GO:0031323(L=4),GO:0031326(L=5),GO:0032502(L=1),GO:0032774(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0043167(L=2),GO:0043169(L=3),GO:0043565(L=5),GO:0046872(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DM), SMART (DM)	dsx
TR199998|c0_g1_i3	18.9061063667819	-12.7854458534161	3.239963831928	9.64211248711018e-76	1.24069211762263e-71	tr|A0A1B6JCY1|A0A1B6JCY1_9HEMI DM domain-containing protein OS=Homalodisca liturata OX=320908 GN=g.55112 PE=4 SV=1	homalodisca liturata	No	FALSE	NA				DMRTC2	DMRT-like family C2		GO:0000003(L=1),GO:0003006(L=2),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0007548(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009889(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0016070(L=4),GO:0018130(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0022414(L=2),GO:0030154(L=4),GO:0031323(L=4),GO:0031326(L=5),GO:0032502(L=1),GO:0032774(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0043167(L=2),GO:0043169(L=3),GO:0043565(L=5),GO:0046872(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DM), SMART (DM)	dsx
TR261339|c1_g8_i1	10.103467189231	-4.12238800329053	0.27166590647758	2.6462657171374e-53	2.2128910727741e-49	XP_014290589.1 histone acetyltransferase KAT8-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				MOF	Histone acetyltransferase		GO:0006325(L=4),GO:0006355(L=7),GO:0006464(L=5),GO:0006473(L=7),GO:0006475(L=8),GO:0006996(L=3),GO:0007549(L=7),GO:0008150(L=0),GO:0008152(L=1),GO:0009047(L=8),GO:0009889(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010556(L=5),GO:0016043(L=2),GO:0016569(L=5),GO:0016570(L=6),GO:0016573(L=7),GO:0018193(L=6),GO:0018205(L=7),GO:0018393(L=9),GO:0018394(L=8),GO:0019219(L=5),GO:0019222(L=3),GO:0019538(L=3),GO:0031323(L=4),GO:0031326(L=5),GO:0036211(L=4),GO:0040029(L=6),GO:0043170(L=3),GO:0043412(L=4),GO:0043543(L=6),GO:0043967(L=8),GO:0043984(L=9),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0051276(L=4),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0071840(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2001141(L=6),	GO:0000123(L=7),GO:0000803(L=5),GO:0000805(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005654(L=5),GO:0005667(L=4),GO:0005694(L=4),GO:0005700(L=5),GO:0005705(L=6),GO:0016456(L=7),GO:0030529(L=4),GO:0031974(L=1),GO:0031981(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043233(L=2),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044427(L=5),GO:0044428(L=5),GO:0044446(L=3),GO:0044451(L=5),GO:0044464(L=2),GO:0044545(L=9),GO:0046536(L=6),GO:0070013(L=3),	GO:0003674(L=0),GO:0003676(L=3),GO:0003682(L=3),GO:0003723(L=4),GO:0003729(L=6),GO:0003824(L=1),GO:0004402(L=9),GO:0004468(L=7),GO:0005488(L=1),GO:0005515(L=2),GO:0008080(L=6),GO:0010485(L=10),GO:0016407(L=5),GO:0016410(L=5),GO:0016740(L=2),GO:0016746(L=3),GO:0016747(L=4),GO:0046972(L=11),GO:0097159(L=2),GO:1901363(L=2),	PFAM (Tudor-knot, MOZ_SAS), SMART (CHROMO, COIL, ZnF_C2H2)	mof
TR210904|c0_g1_i1	12.4560625937874	6.04875125833958	0.441475112358812	2.38802124546635e-51	1.65420475941258e-47				FALSE	NA											NA
TR197140|c0_g1_i4	10.2890090324319	3.77172813940431	0.257498352013558	3.05200643685768e-50	1.60853096154067e-46				FALSE	NA											NA
TR199998|c0_g1_i2	8.08283045497405	6.38109138853588	0.542119554751992	7.17768656165684e-48	3.08985681943119e-44	tr|A0A1B6JCY1|A0A1B6JCY1_9HEMI DM domain-containing protein OS=Homalodisca liturata OX=320908 GN=g.55112 PE=4 SV=1	homalodisca liturata	No	FALSE	NA				DMRTC2	DMRT-like family C2		GO:0000003(L=1),GO:0003006(L=2),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0007548(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009889(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0016070(L=4),GO:0018130(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0022414(L=2),GO:0030154(L=4),GO:0031323(L=4),GO:0031326(L=5),GO:0032502(L=1),GO:0032774(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0043167(L=2),GO:0043169(L=3),GO:0043565(L=5),GO:0046872(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DM), SMART (DM)	dsx
TR250960|c0_g2_i1	10.0248675572591	-4.77802507981476	0.352863284124335	4.94202823182478e-46	1.7367674152092e-42				FALSE	NA											NA
TR248035|c0_g2_i4	43.4969080087977	-8.1003020514329e-07	0.00144269515233446	2.36601687677042e-44	7.63893768428657e-41	tr|O02024|O02024_RIPCL Vitellogenin OS=Riptortus clavatus OX=41704 PE=2 SV=1	riptortus clavatus	No	FALSE	NA				VG	vitellogenin		GO:0006801(L=4),GO:0006810(L=3),GO:0006869(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0010876(L=3),GO:0033036(L=2),GO:0044237(L=2),GO:0044699(L=1),GO:0044710(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055114(L=3),GO:0071702(L=4),GO:0072593(L=3),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0005215(L=1),GO:0005319(L=3),GO:0005488(L=1),GO:0022892(L=2),GO:0043167(L=2),GO:0043169(L=3),GO:0045735(L=1),GO:0046872(L=4),	PFAM (Vitellogenin_N, VWD, DUF1943, Sod_Cu), SMART (LPD_N, VWD, DUF1943, SIGNAL, COIL)	vitellogenin
TR267513|c0_g1_i2	13.6674929576075	5.5739345008902	0.420841618395791	7.30889479886587e-44	2.09755963780135e-40				FALSE	NA											NA
TR278526|c5_g3_i2	9.84951771369196	2.76862804714611	0.211700142104897	5.41083410135975e-41	1.35741317301799e-37				FALSE	NA											HRP-2
TR247537|c0_g1_i1	6.41766650125962	6.20841513600998	0.620864450217688	8.99945201229185e-34	2.15594344515794e-30				FALSE	NA											NA
TR171647|c0_g1_i1	6.5208785528945	7.11078972720643	0.817670727497827	1.52331512981042e-32	3.34520312180574e-29				FALSE	NA											NA
TR275525|c13_g1_i15	71.4971671052552	-1.01685910005911	0.0891013352124229	1.61830478228666e-31	3.66297526862523e-28	tr|A0A2R7WE02|A0A2R7WE02_ONCFA Uncharacterized protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS007494 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					NA					SMART (TRANS)	NA
TR246537|c1_g1_i3	389.38279041266	-4.35958162623045	0.404829566561891	1.98754689360518e-28	3.337842987044e-25				FALSE	NA											NA
TR222033|c0_g1_i1	202.883084035234	-6.63444010706203	0.652101470988749	3.22214651692285e-28	5.61874253564524e-25	XP_014261592.1 vitellogenin-1-like [Cimex lectularius]	cimex lectularius	No	FALSE	NA				VG	vitellogenin		GO:0006801(L=4),GO:0006810(L=3),GO:0006869(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0010876(L=3),GO:0033036(L=2),GO:0044237(L=2),GO:0044699(L=1),GO:0044710(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055114(L=3),GO:0071702(L=4),GO:0072593(L=3),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0005215(L=1),GO:0005319(L=3),GO:0005488(L=1),GO:0022892(L=2),GO:0043167(L=2),GO:0043169(L=3),GO:0045735(L=1),GO:0046872(L=4),	PFAM (Vitellogenin_N, VWD, DUF1943, Sod_Cu), SMART (LPD_N, VWD, DUF1943, SIGNAL, COIL)	vitellogenin
TR245305|c1_g1_i4	13.0628229958491	1.56559977643157	0.146178846623637	3.18934199382027e-28	5.61874253564524e-25				FALSE	NA											NA
TR197140|c1_g1_i1	2.02632130646749	6.06930940468792	0.841914621850531	1.28000070072131e-27	2.36529694802264e-24				FALSE	NA											NA
TR98132|c0_g1_i1	117.966730583045	-4.57448982484544	0.449707245963548	6.34512619219964e-26	9.02878630717338e-23				FALSE	NA											trypsin
TR200008|c0_g1_i7	6.6928515979557	3.47658905147445	0.343739767135239	1.98462907630901e-25	2.62043619705351e-22	tr|A0A2R7WE02|A0A2R7WE02_ONCFA Uncharacterized protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS007494 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA											NA
TR248035|c0_g2_i3	174.131244437828	-7.74978948689664e-06	0.00144270519402645	5.04772216411727e-24	6.65088488033908e-21	tr|O02024|O02024_RIPCL Vitellogenin OS=Riptortus clavatus OX=41704 PE=2 SV=1	riptortus clavatus	No	FALSE	NA				VG	vitellogenin		GO:0006801(L=4),GO:0006810(L=3),GO:0006869(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0010876(L=3),GO:0033036(L=2),GO:0044237(L=2),GO:0044699(L=1),GO:0044710(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055114(L=3),GO:0071702(L=4),GO:0072593(L=3),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0005215(L=1),GO:0005319(L=3),GO:0005488(L=1),GO:0022892(L=2),GO:0043167(L=2),GO:0043169(L=3),GO:0045735(L=1),GO:0046872(L=4),	PFAM (Vitellogenin_N, VWD, DUF1943, Sod_Cu), SMART (LPD_N, VWD, DUF1943, SIGNAL, COIL)	vitellogenin
TR226445|c0_g1_i2	58.2115138900966	-4.78579717838596	0.500533585231618	7.37011014990563e-24	9.24844392677955e-21				FALSE	NA											NA
TR281533|c1_g3_i2	19.9206238966652	-5.01799576051227	0.522433532684132	8.81202537816732e-24	1.16204591025036e-20				FALSE	NA											NA
TR274641|c0_g1_i1	4.25254841786915	-3.57220298598828	0.378475122044827	3.36674301635074e-23	2.55698081270257e-20				FALSE	NA											NA
TR105748|c0_g2_i1	3.87196658941106	5.14683412890626	0.608681974338115	8.01141102671108e-23	8.59052284545452e-20				FALSE	NA											NA
TR210913|c0_g1_i2	16.2905531801931	-1.40707769286537	0.147988750181127	7.99979553923254e-23	9.01979988295407e-20	XP_014274013.1 uncharacterized protein LOC106679396 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											NA
TR71960|c0_g1_i1	171.431782325279	-4.10177897778034	0.445263903089589	7.55793701234096e-22	6.57034283626724e-19	tr|A0A2R7VY41|A0A2R7VY41_ONCFA Peptidase S1 domain-containing protein (Fragment) OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS002138 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA					serine-type endopeptidase activity	4080,4972,4974,5164	GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (Trypsin, CUB), SMART (Tryp_SPc, CUB, SIGNAL, TRANS)	NA
TR91140|c1_g1_i1	14.8190562402816	-4.58516884630109	0.519577708923597	2.08711172284928e-21	1.98931592021251e-18				FALSE	NA											serine protease
TR242526|c1_g1_i1	619.512959181097	-7.92882595953424e-06	0.00144270552057239	2.54316018145925e-21	2.34596106442025e-18	XP_003702278.1 PREDICTED: uncharacterized protein LOC100880374 [Megachile rotundata]	megachile rotundata	No	FALSE	NA					Mak10 subunit, NatC N(alpha)-terminal acetyltransferase		GO:0008150(L=0),GO:0008152(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0016740(L=2),	PFAM (Mak10, CwfJ_C_1, CwfJ_C_2), SMART (COIL, SIGNAL, TRANS)	Mak10
TR203493|c14_g1_i1	582.138940674629	-3.91194255118045	0.439983666370098	7.15325757184835e-21	5.79939140339598e-18				FALSE	NA											NA
TR238011|c0_g2_i1	32.357798037836	0.98169366961945	0.111597486997065	6.64321181136913e-20	5.69873772722289e-17				FALSE	NA											NA
TR232362|c0_g1_i3	65.7131191359497	-4.33009159107077	0.499467978821859	6.25265117193741e-20	5.9349836649237e-17	XP_014277254.1 venom serine protease 34-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					serine-type endopeptidase activity	4080,4972,4974,5164	GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (Trypsin, CUB), SMART (Tryp_SPc, CUB, SIGNAL, TRANS)	venom serine protease
TR286619|c3_g1_i1	635.827508760803	-3.40361752137308	0.391257493869894	8.06347379379095e-20	6.64473147685517e-17	XP_014286910.1 venom serine protease-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					serine-type endopeptidase activity	4080,4972,4974,5164	GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (Trypsin, CUB), SMART (Tryp_SPc, CUB, SIGNAL, TRANS)	venom serine protease
TR258271|c1_g1_i1	1.97241926971794	4.26993456972084	0.579045910239085	7.88910825438762e-18	8.77479591009201e-15				FALSE	NA											NA
