baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR237493|c0_g2_i6	12.8876161806972	-0.0413236077657954	0.123641826302798	3.87818204170926e-09	9.93026019228576e-05	XP_014285878.1 putative fatty acyl-CoA reductase CG5065 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Male sterility protein		GO:0008150(L=0),GO:0008152(L=1),GO:0044710(L=2),GO:0055114(L=3),		GO:0003674(L=0),GO:0003824(L=1),GO:0016491(L=2),GO:0016620(L=4),GO:0016903(L=3),GO:0080019(L=5),	PFAM (NAD_binding_4, Sterile, Epimerase, Polysacc_synt_2, 3Beta_HSD), SMART (TRANS)
TR268020|c3_g2_i5	9.6171031140089	-0.00350328768707678	0.112065671473276	6.04178717896258e-09	9.93026019228576e-05	XP_014279138.1 ATP-dependent RNA helicase DDX24 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					RNA helicase		GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009987(L=1),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0034641(L=3),GO:0034655(L=4),GO:0042278(L=5),GO:0042454(L=7),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044710(L=2),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0055086(L=3),GO:0071704(L=2),GO:0072521(L=4),GO:0072523(L=5),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),		GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003724(L=8),GO:0003729(L=6),GO:0003824(L=1),GO:0004004(L=9),GO:0004386(L=7),GO:0005488(L=1),GO:0005524(L=7),GO:0008026(L=9),GO:0008186(L=9),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016887(L=7),GO:0017076(L=4),GO:0017111(L=6),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0042623(L=8),GO:0043167(L=2),GO:0043168(L=3),GO:0070035(L=8),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Helicase_C, DEAD), SMART (HELICc, DEXDc, COIL)
TR281023|c0_g1_i1	11.7197355813791	-3.40141473806911	0.965178283211812	1.55684170778882e-08	0.000172477856720392				FALSE	NA										
TR266468|c0_g1_i2	27.3254980522425	-0.0423552645390496	0.124144377472256	4.89530790880332e-08	0.000335069770525486	tr|R4WMK4|R4WMK4_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA										
TR89244|c0_g1_i1	35.0618816907889	-0.042271596559824	0.123879581626444	7.65241178079391e-08	0.000335069770525486	tr|R4WDB0|R4WDB0_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA										
TR204666|c0_g7_i1	24.7983564218218	-0.0586201347596933	0.136188893132669	6.25441863109785e-08	0.000350524684283425				FALSE	NA										
TR234167|c0_g1_i1	21.1723698283718	-0.0594410498513464	0.136515087286595	7.7690056793976e-08	0.00037983295122336				FALSE	NA										
TR71140|c0_g1_i1	25.4563024798858	-1.61722008019631	0.354155985235859	2.24012465076748e-07	0.00057857362822975				FALSE	NA										
TR250731|c0_g1_i3	7.41993872575353	0.0352751059837943	0.120164422699476	1.45056662062866e-07	0.000689103248943959	XP_014277383.1 WD repeat domain phosphoinositide-interacting protein 2 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					WD repeat domain phosphoinositide-interacting protein		GO:0000045(L=6),GO:0002165(L=4),GO:0002682(L=3),GO:0002697(L=4),GO:0002831(L=4),GO:0006914(L=2),GO:0006950(L=2),GO:0006996(L=3),GO:0007033(L=4),GO:0007154(L=2),GO:0007275(L=3),GO:0007552(L=4),GO:0007559(L=-1),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009267(L=4),GO:0009605(L=2),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009888(L=3),GO:0009894(L=4),GO:0009987(L=1),GO:0009991(L=3),GO:0010506(L=4),GO:0016043(L=2),GO:0016236(L=3),GO:0016265(L=-1),GO:0016271(L=-1),GO:0019222(L=3),GO:0022607(L=3),GO:0031323(L=4),GO:0031329(L=5),GO:0031347(L=5),GO:0031667(L=4),GO:0031668(L=3),GO:0031669(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0033554(L=3),GO:0035069(L=5),GO:0042594(L=3),GO:0043900(L=3),GO:0044085(L=2),GO:0044237(L=2),GO:0044248(L=3),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048583(L=3),GO:0048707(L=5),GO:0048856(L=2),GO:0050688(L=5),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0065007(L=1),GO:0070925(L=4),GO:0071496(L=3),GO:0071840(L=1),GO:0080134(L=4),	GO:0000407(L=5),GO:0000421(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005773(L=5),GO:0005774(L=6),GO:0005776(L=6),GO:0005829(L=4),GO:0016020(L=1),GO:0031090(L=3),GO:0034045(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044422(L=2),GO:0044424(L=3),GO:0044437(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0005488(L=1),GO:0005543(L=3),GO:0008289(L=2),GO:0032266(L=6),GO:0035091(L=4),GO:0043167(L=2),GO:0043168(L=3),GO:0080025(L=7),GO:1901981(L=5),	PFAM (WD40), SMART (WD40)
TR284363|c0_g1_i3	17.4167134503221	-0.00210917421604989	0.112021031885849	2.95380163019397e-07	0.000981728659640002				FALSE	NA										
TR286166|c2_g1_i1	71.8118404727207	-0.0569593055175136	0.135039230588358	3.26534894261865e-07	0.000998205188739174	tr|R4WEB5|R4WEB5_RIPPE Cathepsin L (Fragment) OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					cathepsin	4142,4145,4612,5205,5323	GO:0002165(L=4),GO:0006508(L=4),GO:0007275(L=3),GO:0007431(L=5),GO:0007435(L=5),GO:0007552(L=4),GO:0007559(L=-1),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0009056(L=2),GO:0009057(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009888(L=3),GO:0009987(L=1),GO:0012501(L=4),GO:0016265(L=-1),GO:0016271(L=-1),GO:0019538(L=3),GO:0022612(L=4),GO:0030163(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0035070(L=5),GO:0035071(L=6),GO:0035272(L=5),GO:0043170(L=3),GO:0044238(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048102(L=5),GO:0048513(L=4),GO:0048707(L=5),GO:0048731(L=4),GO:0048732(L=6),GO:0048856(L=2),GO:0071704(L=2),GO:1901575(L=3),	GO:0000323(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005764(L=7),GO:0005773(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),GO:0045169(L=5),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004197(L=6),GO:0008233(L=3),GO:0008234(L=5),GO:0016787(L=2),GO:0070011(L=4),	PFAM (Peptidase_C1, Inhibitor_I29, Peptidase_C1_2), SMART (Pept_C1, Inhibitor_I29, SIGNAL, TRANS)
TR251477|c0_g1_i1	12.6259573458882	-1.97989182058231	0.527344846026745	4.05220641019773e-07	0.00115567455721661				FALSE	NA										
TR262382|c0_g1_i1	16.9021931157764	-0.041311810092848	0.123202383518615	6.54981005374513e-07	0.00167453988765125	tr|A0A7U3RXU0|A0A7U3RXU0_9HEMI Cathepsin L1 OS=Dysdercus peruvianus OX=685034 PE=2 SV=1	dysdercus peruvianus	No	FALSE	NA					cathepsin	4142,4145,4612,5205,5323	GO:0002165(L=4),GO:0006508(L=4),GO:0007275(L=3),GO:0007431(L=5),GO:0007435(L=5),GO:0007552(L=4),GO:0007559(L=-1),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0009056(L=2),GO:0009057(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009888(L=3),GO:0009987(L=1),GO:0012501(L=4),GO:0016265(L=-1),GO:0016271(L=-1),GO:0019538(L=3),GO:0022612(L=4),GO:0030163(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0035070(L=5),GO:0035071(L=6),GO:0035272(L=5),GO:0043170(L=3),GO:0044238(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048102(L=5),GO:0048513(L=4),GO:0048707(L=5),GO:0048731(L=4),GO:0048732(L=6),GO:0048856(L=2),GO:0071704(L=2),GO:1901575(L=3),	GO:0000323(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005764(L=7),GO:0005773(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),GO:0045169(L=5),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004197(L=6),GO:0008233(L=3),GO:0008234(L=5),GO:0016787(L=2),GO:0070011(L=4),	PFAM (Peptidase_C1, Inhibitor_I29, Peptidase_C1_2), SMART (Pept_C1, Inhibitor_I29, SIGNAL, TRANS)
TR218902|c0_g1_i1	9.87180448326841	-0.061405485053321	0.138278472741815	7.98312918999378e-07	0.00171460875264705				FALSE	NA										
TR233133|c2_g3_i1	141.300864022796	-1.32113423654796	0.365345396873799	7.73087591131197e-07	0.00171460875264705				FALSE	NA										
TR240880|c2_g2_i1	51.8264686527843	-0.0484223975183209	0.127777334801135	8.14001693604106e-07	0.00171460875264705				FALSE	NA										
TR209528|c0_g1_i1	2.01607047368129	-4.92608407626697	1.09508136112973	3.60789501939126e-07	0.00183986086103422				FALSE	NA				ANKRD42	Ankyrin Repeat Protein		GO:0005975(L=3),GO:0006066(L=4),GO:0006071(L=4),GO:0006140(L=6),GO:0006629(L=3),GO:0006644(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0007154(L=2),GO:0007165(L=3),GO:0007264(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008610(L=4),GO:0008654(L=4),GO:0009058(L=2),GO:0009118(L=6),GO:0009894(L=4),GO:0009966(L=4),GO:0009987(L=1),GO:0010646(L=4),GO:0019219(L=5),GO:0019220(L=6),GO:0019222(L=3),GO:0019400(L=3),GO:0019637(L=3),GO:0019751(L=5),GO:0023051(L=3),GO:0023052(L=1),GO:0030811(L=6),GO:0031323(L=4),GO:0031329(L=5),GO:0032483(L=8),GO:0033121(L=8),GO:0033124(L=-1),GO:0035556(L=4),GO:0043085(L=4),GO:0043087(L=5),GO:0043547(L=6),GO:0044093(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044255(L=3),GO:0044262(L=3),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0046578(L=7),GO:0048583(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051056(L=6),GO:0051171(L=4),GO:0051174(L=5),GO:0051336(L=4),GO:0051345(L=5),GO:0051716(L=2),GO:0065007(L=1),GO:0065009(L=2),GO:0071704(L=2),GO:0080090(L=4),GO:0090407(L=4),GO:1900542(L=7),GO:1901576(L=3),GO:1901615(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),GO:0044464(L=2),	GO:0001871(L=2),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003824(L=1),GO:0004435(L=7),GO:0004609(L=5),GO:0004620(L=5),GO:0004629(L=6),GO:0005085(L=2),GO:0005096(L=4),GO:0005488(L=1),GO:0005509(L=5),GO:0005543(L=3),GO:0005544(L=4),GO:0008047(L=3),GO:0008081(L=5),GO:0008289(L=2),GO:0008889(L=6),GO:0016298(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0016829(L=2),GO:0016830(L=3),GO:0016831(L=4),GO:0030234(L=2),GO:0030246(L=2),GO:0030247(L=3),GO:0030695(L=4),GO:0042578(L=4),GO:0043167(L=2),GO:0043168(L=3),GO:0043169(L=3),GO:0046872(L=4),GO:0060589(L=3),GO:0097159(L=2),GO:1901363(L=2),GO:2001070(L=4),	PFAM (Ank, DUF3447, ZU5, Death), SMART (ANK, TRANS, COIL)
TR274766|c0_g1_i1	2.35444958087136	-3.12649406451063	0.760119065988915	3.54495206088487e-07	0.00183986086103422				FALSE	NA										
