baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR210393|c7_g1_i5	46.2953612030835	-1.82926814466924e-07	0.00144269503613123	1.60556748626465e-13	2.81263312243841e-09				FALSE	NA											serine-rich protein
TR198831|c8_g1_i2	3.11059285887917	-1.7463742513497e-07	0.00144269503566132	3.17690950702086e-10	2.78265503719957e-06				FALSE	NA											NA
TR201504|c0_g3_i1	10.0963630148647	1.05114042633553e-07	0.00144269503083403	1.33793933943836e-08	7.81267378276039e-05	XP_014282082.1 serine/threonine-protein kinase Genghis Khan isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				GEK	serine threonine-protein kinase		GO:0006464(L=5),GO:0006468(L=6),GO:0006793(L=3),GO:0006796(L=4),GO:0006996(L=3),GO:0007010(L=4),GO:0007015(L=5),GO:0007154(L=2),GO:0007165(L=3),GO:0007275(L=3),GO:0007399(L=5),GO:0008037(L=3),GO:0008038(L=5),GO:0008039(L=8),GO:0008064(L=6),GO:0008150(L=0),GO:0008152(L=1),GO:0008154(L=6),GO:0009987(L=1),GO:0016043(L=2),GO:0016310(L=5),GO:0019222(L=3),GO:0019538(L=3),GO:0022008(L=5),GO:0023052(L=1),GO:0030029(L=3),GO:0030036(L=4),GO:0030154(L=4),GO:0030182(L=7),GO:0030832(L=6),GO:0031532(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032535(L=3),GO:0032956(L=5),GO:0032970(L=4),GO:0033043(L=5),GO:0035556(L=4),GO:0036211(L=4),GO:0043170(L=3),GO:0043412(L=4),GO:0043933(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048468(L=5),GO:0048666(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051128(L=4),GO:0051493(L=6),GO:0051716(L=2),GO:0055114(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0071704(L=2),GO:0071822(L=4),GO:0071840(L=1),GO:0090066(L=3),	GO:0005575(L=0),GO:0005623(L=1),GO:0030424(L=5),GO:0030426(L=4),GO:0030427(L=3),GO:0042995(L=3),GO:0043005(L=4),GO:0044463(L=3),GO:0044464(L=2),GO:0097458(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0004672(L=5),GO:0004674(L=6),GO:0004697(L=7),GO:0005488(L=1),GO:0005524(L=7),GO:0005543(L=3),GO:0008289(L=2),GO:0016301(L=4),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0016740(L=2),GO:0016772(L=3),GO:0016773(L=4),GO:0017076(L=4),GO:0019992(L=3),GO:0030234(L=2),GO:0030554(L=5),GO:0030695(L=4),GO:0032440(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0043169(L=3),GO:0046872(L=4),GO:0060589(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Pkinase_Tyr, Pkinase, Pkinase_C, C1_1, CNH, DMPK_coil), SMART (COIL, S_TK_X, S_TKc, C1, PH, PBD, CNH, TRANS, STYKc)	Genghis Khan
TR197136|c6_g1_i1	50.6837754023726	-5.28402609250716e-06	0.00144269802217153	1.33024618096161e-06	0.00582581314952138	tr|A0A2K8JR24|A0A2K8JR24_9HEMI Venom S1 protease 9 OS=Lethocerus distinctifemur OX=280095 PE=2 SV=1	lethocerus distinctifemur	No	FALSE	NA					Tryp_SPc		GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),		GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (Trypsin), SMART (SIGNAL, Tryp_SPc)	trypsin
TR248164|c0_g1_i1	13.150543537513	1.61022139349416	0.440505391544356	8.36940936957757e-06	0.0207323306886646				FALSE	NA											NA
TR244766|c0_g1_i3	7.69593717940273	4.75603113677557e-08	0.00144269503220708	7.52788880747718e-06	0.0219789260215642	XP_014288564.1 nucleosome-remodeling factor subunit NURF301 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				E(BX)	Fetal alzheimer antigen		GO:0000075(L=5),GO:0000077(L=7),GO:0000902(L=5),GO:0000904(L=5),GO:0002165(L=4),GO:0002376(L=1),GO:0002520(L=5),GO:0006139(L=3),GO:0006259(L=4),GO:0006323(L=6),GO:0006325(L=4),GO:0006333(L=5),GO:0006334(L=7),GO:0006338(L=5),GO:0006351(L=5),GO:0006355(L=7),GO:0006357(L=8),GO:0006464(L=5),GO:0006473(L=7),GO:0006475(L=8),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007049(L=3),GO:0007093(L=6),GO:0007095(L=8),GO:0007154(L=2),GO:0007165(L=3),GO:0007267(L=3),GO:0007275(L=3),GO:0007346(L=5),GO:0007399(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008593(L=5),GO:0009058(L=2),GO:0009059(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009889(L=4),GO:0009966(L=4),GO:0009967(L=5),GO:0009987(L=1),GO:0010033(L=3),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0010564(L=5),GO:0010646(L=4),GO:0010647(L=5),GO:0010948(L=6),GO:0014070(L=4),GO:0016043(L=2),GO:0016070(L=4),GO:0016358(L=8),GO:0016569(L=5),GO:0016570(L=6),GO:0016573(L=7),GO:0018130(L=4),GO:0018193(L=6),GO:0018205(L=7),GO:0018393(L=9),GO:0018394(L=8),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0019538(L=3),GO:0022008(L=5),GO:0022402(L=4),GO:0022607(L=3),GO:0023051(L=3),GO:0023052(L=1),GO:0023056(L=4),GO:0030030(L=3),GO:0030097(L=7),GO:0030154(L=4),GO:0030182(L=7),GO:0030518(L=5),GO:0030522(L=4),GO:0031175(L=5),GO:0031323(L=4),GO:0031326(L=5),GO:0031497(L=7),GO:0031570(L=6),GO:0031572(L=8),GO:0032501(L=1),GO:0032502(L=1),GO:0032774(L=5),GO:0032989(L=4),GO:0032990(L=5),GO:0033554(L=3),GO:0033993(L=4),GO:0034622(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0034728(L=5),GO:0035073(L=6),GO:0035075(L=5),GO:0035076(L=7),GO:0035210(L=5),GO:0036211(L=4),GO:0036314(L=4),GO:0036315(L=5),GO:0042221(L=2),GO:0042766(L=6),GO:0043170(L=3),GO:0043412(L=4),GO:0043543(L=6),GO:0043933(L=3),GO:0044085(L=2),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044271(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0044773(L=8),GO:0044774(L=7),GO:0045165(L=5),GO:0045168(L=5),GO:0045747(L=6),GO:0046331(L=7),GO:0046483(L=3),GO:0048468(L=5),GO:0048513(L=4),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048534(L=3),GO:0048583(L=3),GO:0048584(L=4),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051171(L=4),GO:0051252(L=5),GO:0051276(L=4),GO:0051716(L=2),GO:0051726(L=4),GO:0060255(L=4),GO:0065003(L=4),GO:0065004(L=6),GO:0065007(L=1),GO:0070887(L=3),GO:0071103(L=5),GO:0071310(L=4),GO:0071390(L=6),GO:0071396(L=5),GO:0071407(L=5),GO:0071704(L=2),GO:0071824(L=4),GO:0071840(L=1),GO:0080090(L=4),GO:0090304(L=4),GO:0097305(L=4),GO:0097306(L=5),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:1901654(L=4),GO:1901655(L=5),GO:1901700(L=3),GO:1901701(L=4),GO:1901987(L=6),GO:1901988(L=7),GO:1901990(L=6),GO:1901991(L=7),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0016589(L=8),GO:0031010(L=7),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),GO:0070603(L=6),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003824(L=1),GO:0004402(L=9),GO:0005102(L=3),GO:0005488(L=1),GO:0005515(L=2),GO:0008080(L=6),GO:0008270(L=6),GO:0016407(L=5),GO:0016410(L=5),GO:0016740(L=2),GO:0016746(L=3),GO:0016747(L=4),GO:0016922(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (PHD, Bromodomain, DDT), SMART (PHD, COIL, AT_hook, BROMO, DDT)	NA
TR286768|c3_g1_i1	146.138355975998	-3.94519770833373	1.26421131774667	9.08978279494093e-06	0.0227478307145393				FALSE	NA											NA
TR245809|c0_g1_i1	12.0527487606495	8.18258659635833	3.27444290334386	1.20115510572687e-05	0.028588090171073	XP_014277191.1 splicing factor, suppressor of white-apricot homolog isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				SU(W[A])	Alternative splicing regulator  		GO:0000375(L=7),GO:0000377(L=8),GO:0000398(L=7),GO:0005975(L=3),GO:0006020(L=3),GO:0006066(L=4),GO:0006139(L=3),GO:0006396(L=5),GO:0006397(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0008380(L=7),GO:0009056(L=2),GO:0009987(L=1),GO:0010467(L=4),GO:0016052(L=4),GO:0016070(L=4),GO:0016071(L=5),GO:0019310(L=4),GO:0019751(L=5),GO:0034641(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044262(L=3),GO:0044275(L=4),GO:0044281(L=3),GO:0044282(L=4),GO:0044710(L=2),GO:0044712(L=3),GO:0044723(L=3),GO:0044724(L=4),GO:0046164(L=5),GO:0046174(L=6),GO:0046483(L=3),GO:0055114(L=3),GO:0071704(L=2),GO:0090304(L=4),GO:1901360(L=3),GO:1901575(L=3),GO:1901615(L=3),GO:1901616(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005681(L=6),GO:0005737(L=4),GO:0030529(L=4),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003824(L=1),GO:0005488(L=1),GO:0005506(L=6),GO:0016491(L=2),GO:0016701(L=3),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0050113(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (Surp, DRY_EERY, DUF706), SMART (SWAP, DRY_EERY, COIL)	NA
TR207095|c0_g1_i2	9.75864867481764	-1.50761262389849e-06	0.00144269531272496	3.01020925361492e-05	0.0527328457048261	tr|B0M387|B0M387_RIPPE Period OS=Riptortus pedestris OX=329032 GN=per PE=2 SV=1	riptortus pedestris	No	FALSE	NA				PER	an increase in PER dosage leads to shortened circadian rhythms and a decrease leads to lengthened circadian rhythms. Essential for the circadian rhythmicity of locomotor activity, eclosion behavior, and for the rhythmic component of the male courtship song that originates in the thoracic nervous system. The biological cycle depends on the rhythmic formation and nuclear localization of the TIM-PER complex. Light induces the degradation of TIM, which promotes elimination of PER. Nuclear activity of the heterodimer coordinatively regulates PER and TIM transcription through a negative feedback loop. Behaves as a negative element in circadian transcriptional loop. Does not appear to bind DNA, suggesting indirect transcriptional inhibition (By similarity)	4710,4711,4713,5168	GO:0000003(L=1),GO:0000122(L=8),GO:0001306(L=4),GO:0001659(L=4),GO:0003008(L=2),GO:0006355(L=7),GO:0006357(L=8),GO:0006950(L=2),GO:0006979(L=3),GO:0007154(L=2),GO:0007165(L=3),GO:0007275(L=3),GO:0007562(L=4),GO:0007568(L=3),GO:0007571(L=4),GO:0007610(L=1),GO:0007611(L=3),GO:0007613(L=4),GO:0007616(L=7),GO:0007617(L=4),GO:0007618(L=3),GO:0007619(L=5),GO:0007620(L=5),GO:0007622(L=2),GO:0007623(L=2),GO:0007624(L=2),GO:0007626(L=2),GO:0008049(L=5),GO:0008062(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008340(L=5),GO:0009266(L=3),GO:0009314(L=3),GO:0009416(L=4),GO:0009605(L=2),GO:0009628(L=2),GO:0009648(L=5),GO:0009649(L=4),GO:0009719(L=2),GO:0009889(L=4),GO:0009890(L=5),GO:0009892(L=4),GO:0009987(L=1),GO:0010033(L=3),GO:0010243(L=3),GO:0010259(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0010558(L=6),GO:0010605(L=5),GO:0010629(L=6),GO:0014070(L=4),GO:0016545(L=8),GO:0019098(L=2),GO:0019219(L=5),GO:0019222(L=3),GO:0022410(L=5),GO:0022414(L=2),GO:0023052(L=1),GO:0030534(L=3),GO:0031323(L=4),GO:0031324(L=5),GO:0031326(L=5),GO:0031327(L=6),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0042220(L=4),GO:0042221(L=2),GO:0042592(L=3),GO:0042745(L=4),GO:0042749(L=5),GO:0042752(L=3),GO:0043153(L=5),GO:0043279(L=4),GO:0043392(L=5),GO:0044092(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044703(L=3),GO:0044706(L=2),GO:0044707(L=2),GO:0044708(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045187(L=5),GO:0045433(L=8),GO:0045475(L=3),GO:0045892(L=8),GO:0045934(L=6),GO:0048065(L=7),GO:0048148(L=5),GO:0048511(L=1),GO:0048512(L=3),GO:0048519(L=3),GO:0048523(L=4),GO:0048583(L=3),GO:0048609(L=3),GO:0048871(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050795(L=3),GO:0050877(L=3),GO:0050890(L=4),GO:0050896(L=1),GO:0051098(L=3),GO:0051100(L=4),GO:0051101(L=4),GO:0051171(L=4),GO:0051172(L=5),GO:0051239(L=3),GO:0051252(L=5),GO:0051253(L=6),GO:0051704(L=1),GO:0051705(L=2),GO:0051716(L=2),GO:0060086(L=3),GO:0060179(L=5),GO:0060255(L=4),GO:0060359(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0071684(L=3),GO:0080090(L=4),GO:1901698(L=3),GO:1901700(L=3),GO:2000112(L=6),GO:2000113(L=7),GO:2000677(L=5),GO:2000678(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005654(L=5),GO:0005667(L=4),GO:0005737(L=4),GO:0031974(L=1),GO:0031981(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043233(L=2),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044451(L=5),GO:0044464(L=2),GO:0048471(L=5),GO:0070013(L=3),	GO:0000988(L=1),GO:0000989(L=2),GO:0001071(L=1),GO:0003674(L=0),GO:0003700(L=2),GO:0003712(L=3),GO:0003714(L=4),GO:0003824(L=1),GO:0003989(L=5),GO:0004871(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0008134(L=3),GO:0016421(L=4),GO:0016874(L=2),GO:0016885(L=3),GO:0046982(L=4),GO:0046983(L=3),GO:0060089(L=1),	PFAM (PAS, PAS_3, Period_C), SMART (PAS, PAC, COIL, TRANS)	NA
TR258889|c1_g1_i1	842.00357828081	-4.02016856488935e-06	0.00144269624594842	2.92781479571516e-05	0.0527328457048261				FALSE	NA											NA
