baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR205997|c0_g1_i2	163.429188650407	3.97122133984935	0.747879486457254	1.4351454301905e-08	5.02258713767747e-05				FALSE	NA										
TR251482|c0_g1_i3	979.754293342319	-2.97201439504347	0.770650705032853	1.18048076791127e-07	0.0002065667839809				FALSE	NA										
TR251482|c0_g1_i6	459.614783582288	-0.0646027386516835	0.136173151984982	1.11666467472148e-06	0.00170489842328162				FALSE	NA										
TR261303|c2_g1_i2	67.2974619458629	-0.0189789876176693	0.106234121535265	1.12051343802412e-06	0.00170489842328162	tr|R4WRV6|R4WRV6_RIPPE Cathepsin L OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					cathepsin	4142,4145,4612,5205,5323	GO:0002165(L=4),GO:0006508(L=4),GO:0007275(L=3),GO:0007431(L=5),GO:0007435(L=5),GO:0007552(L=4),GO:0007559(L=-1),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0009056(L=2),GO:0009057(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009888(L=3),GO:0009987(L=1),GO:0012501(L=4),GO:0016265(L=-1),GO:0016271(L=-1),GO:0019538(L=3),GO:0022612(L=4),GO:0030163(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0035070(L=5),GO:0035071(L=6),GO:0035272(L=5),GO:0043170(L=3),GO:0044238(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048102(L=5),GO:0048513(L=4),GO:0048707(L=5),GO:0048731(L=4),GO:0048732(L=6),GO:0048856(L=2),GO:0071704(L=2),GO:1901575(L=3),	GO:0000323(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005764(L=7),GO:0005773(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),GO:0045169(L=5),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004197(L=6),GO:0008233(L=3),GO:0008234(L=5),GO:0016787(L=2),GO:0070011(L=4),	PFAM (Peptidase_C1, Inhibitor_I29, Peptidase_C1_2), SMART (Pept_C1, Inhibitor_I29, SIGNAL, TRANS)
TR219410|c2_g19_i1	1689.69988707743	-0.0497004382162395	0.121933483740999	2.21181109236947e-06	0.00177128992390618				FALSE	NA										
TR262300|c0_g1_i2	3.02250786555127	-0.0179169853372741	0.105973724105153	2.58654648352479e-08	0.00177128992390618	XP_025414123.1 frequenin-1 [Sipha flava]	sipha flava	No	FALSE	NA					regulation of neurotransmitter secretion		GO:0001505(L=3),GO:0003001(L=-1),GO:0003008(L=2),GO:0006140(L=6),GO:0006810(L=3),GO:0006836(L=4),GO:0007154(L=2),GO:0007267(L=3),GO:0007268(L=7),GO:0007269(L=8),GO:0007275(L=3),GO:0007517(L=6),GO:0007519(L=6),GO:0007528(L=4),GO:0008150(L=0),GO:0009888(L=3),GO:0009889(L=4),GO:0009987(L=1),GO:0010646(L=4),GO:0014706(L=5),GO:0016043(L=2),GO:0016192(L=4),GO:0019219(L=5),GO:0019220(L=6),GO:0019222(L=3),GO:0019226(L=4),GO:0023051(L=3),GO:0023052(L=1),GO:0023061(L=4),GO:0030154(L=4),GO:0030799(L=8),GO:0030802(L=8),GO:0030808(L=6),GO:0030823(L=8),GO:0030826(L=9),GO:0031279(L=4),GO:0031281(L=5),GO:0031282(L=9),GO:0031284(L=9),GO:0031323(L=4),GO:0031326(L=5),GO:0031644(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032879(L=3),GO:0032940(L=3),GO:0035637(L=3),GO:0042692(L=5),GO:0043085(L=4),GO:0044057(L=4),GO:0044093(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0046903(L=4),GO:0046928(L=4),GO:0048468(L=5),GO:0048513(L=4),GO:0048731(L=4),GO:0048741(L=7),GO:0048747(L=7),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050804(L=8),GO:0050808(L=3),GO:0050877(L=3),GO:0051046(L=5),GO:0051049(L=4),GO:0051146(L=6),GO:0051171(L=4),GO:0051174(L=5),GO:0051179(L=1),GO:0051234(L=2),GO:0051239(L=3),GO:0051339(L=4),GO:0051349(L=5),GO:0051588(L=5),GO:0051641(L=2),GO:0051649(L=3),GO:0051969(L=5),GO:0055001(L=6),GO:0055002(L=7),GO:0060341(L=4),GO:0060537(L=4),GO:0060538(L=7),GO:0061061(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0071840(L=1),GO:0080090(L=4),GO:1900371(L=8),GO:1900542(L=7),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0008021(L=3),GO:0030135(L=6),GO:0030136(L=7),GO:0031410(L=4),GO:0031982(L=3),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044456(L=2),GO:0044464(L=2),GO:0045202(L=1),	GO:0003674(L=0),GO:0005488(L=1),GO:0005509(L=5),GO:0008047(L=3),GO:0008048(L=5),GO:0010851(L=3),GO:0010853(L=4),GO:0030234(L=2),GO:0030249(L=4),GO:0030250(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),	PFAM (efhand), SMART (EFh)
TR223867|c0_g1_i1	570.989689510927	-0.0252936479625763	0.108277447707264	8.32014498757029e-06	0.00415972310133606				FALSE	NA										
TR206587|c0_g1_i1	15.8162320014162	-0.0194411062539106	0.106378548422062	8.4278840031752e-07	0.00649384791162806	XP_014279400.1 uncharacterized protein LOC106682842 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA										
TR269266|c1_g1_i1	3178.46374511246	-0.666933346629997	0.193223484854797	1.54373789971883e-05	0.00714946777332044	tr|R4WDS4|R4WDS4_RIPPE Translationally-controlled tumor protein homolog OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				TCTP	Involved in calcium binding and microtubule stabilization (By similarity)		GO:0008150(L=0),GO:0008361(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0019222(L=3),GO:0032535(L=3),GO:0040008(L=3),GO:0040014(L=4),GO:0040018(L=6),GO:0044699(L=1),GO:0044763(L=2),GO:0045793(L=5),GO:0045927(L=4),GO:0048518(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0051239(L=3),GO:0051240(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0071840(L=1),GO:0090066(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0005085(L=2),GO:0005088(L=3),GO:0005488(L=1),GO:0005509(L=5),GO:0005515(L=2),GO:0017016(L=6),GO:0019899(L=3),GO:0030234(L=2),GO:0030695(L=4),GO:0031267(L=5),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0051020(L=4),GO:0060589(L=3),	PFAM (TCTP)
TR227429|c0_g1_i2	10.0157033192879	1.44707927548375	0.392311614943846	2.81421636101689e-06	0.0114452975109462				FALSE	NA										
