baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR252919|c0_g1_i4	1.25749248808081	-4.36368230698979e-08	0.00144269502542979	5.07006805162533e-12	1.25301661827868e-07	XP_024214772.1 uncharacterized protein LOC106679441 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					DOMON domain		GO:0005975(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0016052(L=4),GO:0044238(L=2),GO:0071704(L=2),GO:1901575(L=3),		GO:0003674(L=0),GO:0003824(L=1),GO:0005488(L=1),GO:0030246(L=2),	PFAM (DOMON, EGF_2, SEA, PT), SMART (TRANS, DoH, EGF, SIGNAL, EGF_like)	NA
TR244883|c0_g3_i6	20.939521954063	-1.05367981133206e-05	0.00144270665525139	2.12102246760881e-06	0.0168041926622285				FALSE	NA											NA
TR215406|c0_g1_i1	138.983532315962	2.96985959731083	1.0204393174087	7.63248600696279e-06	0.0628764197253595				FALSE	NA											NA
TR168372|c0_g1_i1	17.4276823446214	2.83806792223165	0.958899140788256	3.20746017440125e-05	0.129542603311184	XP_014283697.1 aggrecan core protein-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											aggrecan
TR221974|c3_g1_i3	10.1434803059314	-0.847283930245105	0.244901630575384	1.96409393038126e-05	0.155362282232734	XP_024215327.1 proteasome assembly chaperone 4-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					NA						PSMG4
TR275672|c1_g1_i1	27.5375756683994	-0.699025095740841	0.250963414629065	0.000148703297908384	0.332765346518389	XP_014285239.1 N-sulphoglucosamine sulphohydrolase isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Sulfatase	531,1100,4142	GO:0008150(L=0),GO:0008152(L=1),		GO:0003674(L=0),GO:0003824(L=1),GO:0008484(L=4),GO:0016250(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0016826(L=3),	PFAM (Sulfatase, Phosphodiest), SMART (SIGNAL, TRANS)	Sulfatase
TR281572|c14_g1_i1	31.8983453388788	1.63289126276744	0.619445843170279	0.00014523759579923	0.332765346518389				FALSE	NA											NA
TR199998|c0_g1_i1	10.7425591146484	-8.41156244295916e-06	0.00144269843430767	0.00033531589000917	0.351986727066388	tr|A0A6A4KCS6|A0A6A4KCS6_APOLU DM domain-containing protein OS=Apolygus lucorum OX=248454 GN=GE061_02928 PE=4 SV=1	apolygus lucorum	No	FALSE	NA				DMRTC2	DMRT-like family C2		GO:0000003(L=1),GO:0003006(L=2),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0007548(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009889(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0016070(L=4),GO:0018130(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0022414(L=2),GO:0030154(L=4),GO:0031323(L=4),GO:0031326(L=5),GO:0032502(L=1),GO:0032774(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0043167(L=2),GO:0043169(L=3),GO:0043565(L=5),GO:0046872(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DM), SMART (DM)	dsx
TR201825|c0_g7_i4	12.9678584418971	-0.825914519078045	0.323513154240351	0.000371181642188596	0.351986727066388	tr|A0A146M2E5|A0A146M2E5_LYGHE Transcription factor castor OS=Lygus hesperus OX=30085 GN=cas_0 PE=4 SV=1	lygus hesperus	No	FALSE	NA					ZnF_C2H2		GO:0001709(L=5),GO:0006355(L=7),GO:0006357(L=8),GO:0007275(L=3),GO:0007399(L=5),GO:0007402(L=8),GO:0007417(L=5),GO:0007419(L=5),GO:0007420(L=5),GO:0008150(L=0),GO:0009791(L=4),GO:0009889(L=4),GO:0009890(L=5),GO:0009892(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010556(L=5),GO:0010558(L=6),GO:0010605(L=5),GO:0010629(L=6),GO:0014016(L=7),GO:0014019(L=7),GO:0016319(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0022008(L=5),GO:0030154(L=4),GO:0031323(L=4),GO:0031324(L=5),GO:0031326(L=5),GO:0031327(L=6),GO:0032501(L=1),GO:0032502(L=1),GO:0040034(L=4),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045165(L=5),GO:0045892(L=8),GO:0045934(L=6),GO:0048468(L=5),GO:0048513(L=4),GO:0048519(L=3),GO:0048523(L=4),GO:0048699(L=7),GO:0048731(L=4),GO:0048856(L=2),GO:0048863(L=5),GO:0048864(L=6),GO:0048865(L=6),GO:0048867(L=6),GO:0048869(L=3),GO:0050789(L=2),GO:0050793(L=3),GO:0050794(L=3),GO:0051171(L=4),GO:0051172(L=5),GO:0051252(L=5),GO:0051253(L=6),GO:0060255(L=4),GO:0065007(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2000113(L=7),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0001071(L=1),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003700(L=2),GO:0005488(L=1),GO:0008270(L=6),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (AT_hook), SMART (ZnF_C2H2, AT_hook, COIL)	castor
TR202142|c0_g1_i1	24.0044729562553	-0.624844699759628	0.240518663316709	0.000324072464437518	0.351986727066388				FALSE	NA											NA
