baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR202127|c0_g1_i6	4.94873932303548	4.91339961291026e-07	0.00144269506319747	1.68233573164662e-05	0.270477527255486	tr|A0A2R7WVZ4|A0A2R7WVZ4_ONCFA Uncharacterized protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS015060 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA				NINAB	neither inactivation nor afterpotential B		GO:0001523(L=7),GO:0006081(L=3),GO:0006629(L=3),GO:0006720(L=4),GO:0006721(L=5),GO:0006726(L=6),GO:0006766(L=4),GO:0006775(L=5),GO:0006776(L=8),GO:0007154(L=2),GO:0007165(L=3),GO:0007602(L=4),GO:0007603(L=5),GO:0007604(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008299(L=4),GO:0008610(L=4),GO:0009058(L=2),GO:0009110(L=4),GO:0009314(L=3),GO:0009411(L=5),GO:0009416(L=4),GO:0009581(L=3),GO:0009582(L=3),GO:0009583(L=4),GO:0009584(L=6),GO:0009589(L=6),GO:0009605(L=2),GO:0009628(L=2),GO:0009987(L=1),GO:0016063(L=7),GO:0016101(L=7),GO:0016102(L=7),GO:0016114(L=5),GO:0016119(L=7),GO:0019538(L=3),GO:0023052(L=1),GO:0032502(L=1),GO:0034644(L=6),GO:0035238(L=8),GO:0042214(L=5),GO:0042362(L=4),GO:0042440(L=3),GO:0042441(L=6),GO:0042574(L=4),GO:0043170(L=3),GO:0043324(L=5),GO:0043473(L=2),GO:0043474(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044255(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044281(L=3),GO:0044283(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044710(L=2),GO:0044711(L=3),GO:0044763(L=2),GO:0046148(L=4),GO:0046154(L=6),GO:0048066(L=3),GO:0048069(L=4),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051606(L=2),GO:0051716(L=2),GO:0055114(L=3),GO:0065007(L=1),GO:0071214(L=3),GO:0071478(L=4),GO:0071482(L=5),GO:0071704(L=2),GO:1901576(L=3),		GO:0003674(L=0),GO:0003824(L=1),GO:0003834(L=5),GO:0004497(L=3),GO:0004744(L=4),GO:0010436(L=5),GO:0016491(L=2),GO:0016701(L=3),GO:0016702(L=4),GO:0016853(L=2),GO:0016859(L=3),GO:0051213(L=3),	PFAM (RPE65)	NA
TR212242|c0_g1_i3	30.7281132736536	-1.17912367768279e-06	0.00144269520646893	1.6069006530803e-05	0.270477527255486				FALSE	NA											NA
TR203182|c10_g12_i1	51.4008244537193	-8.06352012402744e-07	0.00144269511374426	5.85340306187576e-05	0.627387251515384				FALSE	NA											NA
TR160077|c0_g1_i1	2.97520636590561	-4.25939820171093e-07	0.00144269504934266	0.000692807317020729	0.999012976529165				FALSE	NA											NA
TR210201|c8_g3_i1	51.4189740204242	-5.04232212978294e-07	0.00144269505585765	0.000292308636569584	0.999012976529165				FALSE	NA											NA
TR212942|c1_g1_i2	11.0104204422116	-6.64477503288358e-07	0.00144269507423407	0.000474958377756368	0.999012976529165				FALSE	NA											NA
TR231000|c0_g1_i2	20.0870069864045	-5.61474557173984e-07	0.0014426950664809	0.000221157744220779	0.999012976529165	tr|A0A2R7W4W4|A0A2R7W4W4_ONCFA Uncharacterized protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS004487 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA											NA
TR248066|c1_g1_i1	50.3792715353318	-5.65053654495713e-07	0.00144269506577645	0.000703301517474484	0.999012976529165				FALSE	NA											NA
TR250888|c7_g7_i5	11.5556916489526	-7.04603215019133e-07	0.00144269509974407	0.000752118259677268	0.999012976529165	tr|A0A2R7WKB6|A0A2R7WKB6_ONCFA Uncharacterized protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS012379 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					solute carrier family 16, member		GO:0006810(L=3),GO:0006811(L=4),GO:0006812(L=5),GO:0006814(L=7),GO:0006836(L=4),GO:0008150(L=0),GO:0009987(L=1),GO:0015672(L=6),GO:0030001(L=6),GO:0034220(L=5),GO:0035725(L=8),GO:0044699(L=1),GO:0044763(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),	GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),	GO:0003674(L=0),GO:0005215(L=1),GO:0005326(L=2),GO:0005328(L=3),GO:0008324(L=5),GO:0015075(L=4),GO:0015077(L=7),GO:0015081(L=8),GO:0015291(L=4),GO:0015293(L=5),GO:0015294(L=6),GO:0015370(L=7),GO:0022804(L=3),GO:0022857(L=2),GO:0022890(L=6),GO:0022891(L=3),GO:0022892(L=2),GO:0046873(L=7),	PFAM (MFS_1, Sugar_tr), SMART (TRANS)	NA
TR251707|c0_g1_i1	46.5356334883193	-5.48338828100637e-07	0.0014426950606208	0.000807785333222152	0.999012976529165	XP_024215118.1 carbonic anhydrase 4-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					carbonic anhydrase IV	910	GO:0006730(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0044237(L=2),GO:0044281(L=3),GO:0044710(L=2),		GO:0003674(L=0),GO:0003824(L=1),GO:0004089(L=5),GO:0005488(L=1),GO:0008270(L=6),GO:0016829(L=2),GO:0016835(L=3),GO:0016836(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),	PFAM (Carb_anhydrase), SMART (Carb_anhydrase, TRANS, SIGNAL)	NA
TR252413|c0_g1_i1	17.9562235856926	-5.79213263636201e-07	0.00144269506572437	0.000579368923540276	0.999012976529165				FALSE	NA											NA
TR254916|c0_g2_i7	20.7845818045866	-5.18435083352904e-07	0.00144269505908072	0.000672690194035901	0.999012976529165				FALSE	NA											NA
TR255334|c0_g2_i1	47.9565671939258	-5.88063409398972e-07	0.0014426950627743	0.000757955475527983	0.999012976529165				FALSE	NA											NA
TR255988|c1_g2_i1	11.4004869116775	-4.64032010893638e-07	0.00144269505529579	0.00054362327420433	0.999012976529165				FALSE	NA											NA
TR256487|c0_g1_i2	3.45045588177838	-3.82831721616607e-07	0.00144269504873914	0.000254679784602299	0.999012976529165				FALSE	NA											NA
TR266700|c3_g3_i1	24.2452373830929	-8.40040705016151e-07	0.00144269510121039	0.000252748585755373	0.999012976529165				FALSE	NA											NA
TR267859|c0_g1_i1	2.23073368823472	-3.73722127190481e-07	0.00144269505020386	0.000476773780753923	0.999012976529165				FALSE	NA											NA
TR274255|c7_g1_i1	109.377022055339	1.272511039041e-06	0.00144269513546494	0.000333928169748221	0.999012976529165	XP_024219169.1 pleckstrin homology-like domain family B member 1 isoform X2 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					PH domain				GO:0003674(L=0),GO:0005488(L=1),GO:0005543(L=3),GO:0008289(L=2),GO:0043167(L=2),GO:0043168(L=3),	PFAM (PH, FHA, I-set), SMART (COIL, PH, FHA, IGc2, IG_like)	NA
TR274256|c5_g3_i1	29.0864031845557	-2.3835738439718e-07	0.00144269503939512	0.000434843670618956	0.999012976529165	XP_014287827.1 major facilitator superfamily domain-containing protein 6-B-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				SUG	Nucleoside H+ symporter		GO:0006810(L=3),GO:0007275(L=3),GO:0007568(L=3),GO:0008150(L=0),GO:0008340(L=5),GO:0009987(L=1),GO:0010259(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),	GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),		PFAM (MFS_1, Nuc_H_symport, LacY_symp), SMART (TRANS)	NA
TR274703|c2_g1_i2	12.7233381680618	-7.9820449127135e-07	0.00144269508540976	0.000268816042620852	0.999012976529165				FALSE	NA											NA
