baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR255612|c7_g1_i2	9370.15628775376	-7.57048603617861	0.165307381120426	0	0				FALSE	NA											NA
TR261558|c2_g1_i1	16866.8296217571	-8.54536383739007	0.256099988025167	0	0				FALSE	NA											NA
TR210201|c8_g3_i1	7700.61502459271	-9.50668935354973	0.349491954095805	1.92211835965367e-299	2.51755699327326e-295				FALSE	NA											NA
TR230433|c0_g1_i1	5051.69013975543	-9.09596827824645	0.314759840438327	2.99799232443574e-289	3.13088408813824e-285				FALSE	NA											mucin-19
TR65529|c1_g1_i1	3186.28852413046	-9.15641468553253	0.339161374500629	1.31258178258426e-280	9.41078935332869e-277				FALSE	NA											NA
TR212942|c1_g1_i2	2311.80974914931	-9.12776389434494	0.320998194759128	8.35409969502845e-275	4.94587400876372e-271				FALSE	NA											NA
TR210201|c8_g12_i1	22356.7547475058	-9.31944186376151	0.368497789953405	5.40685957213943e-265	3.22658799990573e-261				FALSE	NA											mucin-19
TR89246|c0_g1_i1	311.460063046689	-8.1283743994713	0.246206379180059	1.84497584687397e-263	8.19210186103099e-260				FALSE	NA											NA
TR266700|c3_g3_i1	3670.70026306035	-9.72502581939812	0.40789430132915	2.94608666633738e-259	1.16278027176482e-255				FALSE	NA											NA
TR243050|c11_g3_i4	3264.42014280491	-9.44714486600156	0.378555168277844	2.80982761704393e-252	1.10407891350498e-248				FALSE	NA											NA
TR199029|c1_g1_i1	3283.97099611801	-9.27607649202608	0.375855308699169	6.79508711178901e-251	2.2144813546109e-247				FALSE	NA											NA
TR91917|c0_g1_i1	4683.90552609836	-9.2568690325428	0.378951224633918	1.98749386481777e-244	5.93737165911047e-241				FALSE	NA											NA
TR35019|c0_g1_i1	1575.33586607506	-9.1254195449804	0.360305137075636	1.95262160967485e-241	6.27438556956635e-238				FALSE	NA											NA
