baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR89791|c0_g1_i1	3511.07046161307	6.07806423818571	0.724826316646258	1.03440790961361e-29	1.60181802295322e-25	XP_014285855.1 flightin isoform X2 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				FLN	NA		GO:0003008(L=2),GO:0003009(L=6),GO:0003010(L=7),GO:0003012(L=3),GO:0006461(L=5),GO:0006936(L=4),GO:0006941(L=5),GO:0006996(L=3),GO:0007010(L=4),GO:0007525(L=4),GO:0007527(L=5),GO:0008150(L=0),GO:0009653(L=3),GO:0009987(L=1),GO:0010927(L=3),GO:0014703(L=8),GO:0014866(L=7),GO:0016043(L=2),GO:0022607(L=3),GO:0030029(L=3),GO:0030036(L=4),GO:0030154(L=4),GO:0030239(L=6),GO:0030241(L=8),GO:0031032(L=5),GO:0031033(L=5),GO:0031034(L=7),GO:0032501(L=1),GO:0032502(L=1),GO:0032989(L=4),GO:0034622(L=5),GO:0042692(L=5),GO:0043623(L=6),GO:0043933(L=3),GO:0044085(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045214(L=6),GO:0048468(L=5),GO:0048646(L=3),GO:0048856(L=2),GO:0048869(L=3),GO:0050879(L=3),GO:0050881(L=4),GO:0051146(L=6),GO:0055001(L=6),GO:0055002(L=7),GO:0061061(L=3),GO:0065003(L=4),GO:0070271(L=3),GO:0070925(L=4),GO:0071688(L=5),GO:0071822(L=4),GO:0071840(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005856(L=5),GO:0005859(L=5),GO:0005863(L=4),GO:0015629(L=6),GO:0016459(L=6),GO:0016460(L=7),GO:0030016(L=6),GO:0030017(L=6),GO:0031672(L=4),GO:0032982(L=7),GO:0032991(L=1),GO:0036379(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043234(L=2),GO:0043292(L=5),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044449(L=5),GO:0044464(L=2),			flightin
TR224521|c3_g1_i2	2211.87083029559	4.14253312961396	0.417449610451416	3.11970586513792e-28	2.28772778990187e-24				FALSE	NA				TM2	Tropomyosin	4260,5410,5414	GO:0007275(L=3),GO:0007507(L=5),GO:0008150(L=0),GO:0032501(L=1),GO:0032502(L=1),GO:0044699(L=1),GO:0044707(L=2),GO:0044767(L=2),GO:0048513(L=4),GO:0048731(L=4),GO:0048856(L=2),GO:0072358(L=5),GO:0072359(L=5),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005856(L=5),GO:0005862(L=5),GO:0005865(L=6),GO:0015629(L=6),GO:0030016(L=6),GO:0030017(L=6),GO:0036379(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043292(L=5),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044449(L=5),GO:0044464(L=2),	GO:0003674(L=0),GO:0003779(L=4),GO:0005488(L=1),GO:0005515(L=2),GO:0008092(L=3),	PFAM (Tropomyosin), SMART (COIL, TRANS)	tropomyosin 2
TR107782|c0_g1_i1	165.78500764116	2.39810520131255	0.235062770030992	2.63571460509825e-27	1.36049976628158e-23				FALSE	NA											NA
TR252075|c10_g5_i2	1138.1215884924	3.55485857516837	0.3722924524068	8.81934011472669e-27	3.35090123032338e-23				FALSE	NA				TM1	Tropomyosin	4260,5410,5414	GO:0000003(L=1),GO:0000578(L=6),GO:0000902(L=5),GO:0000904(L=5),GO:0003002(L=5),GO:0003006(L=2),GO:0003008(L=2),GO:0003012(L=3),GO:0006403(L=3),GO:0006936(L=4),GO:0007028(L=3),GO:0007275(L=3),GO:0007276(L=3),GO:0007281(L=4),GO:0007292(L=5),GO:0007308(L=5),GO:0007309(L=4),GO:0007314(L=8),GO:0007315(L=5),GO:0007316(L=5),GO:0007350(L=6),GO:0007351(L=7),GO:0007389(L=4),GO:0007399(L=5),GO:0008150(L=0),GO:0008298(L=4),GO:0008358(L=9),GO:0008595(L=6),GO:0009653(L=3),GO:0009790(L=4),GO:0009798(L=5),GO:0009880(L=5),GO:0009948(L=6),GO:0009952(L=6),GO:0009987(L=1),GO:0009994(L=5),GO:0010591(L=6),GO:0016043(L=2),GO:0016358(L=8),GO:0019094(L=7),GO:0019953(L=2),GO:0021700(L=3),GO:0022008(L=5),GO:0022412(L=3),GO:0022414(L=2),GO:0022607(L=3),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0031175(L=5),GO:0031344(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032989(L=4),GO:0032990(L=5),GO:0033036(L=2),GO:0035282(L=6),GO:0044085(L=2),GO:0044087(L=3),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045451(L=8),GO:0048468(L=5),GO:0048469(L=4),GO:0048477(L=4),GO:0048599(L=4),GO:0048609(L=3),GO:0048610(L=-1),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051128(L=4),GO:0051179(L=1),GO:0051641(L=2),GO:0060491(L=5),GO:0060810(L=5),GO:0060811(L=6),GO:0065007(L=1),GO:0070727(L=3),GO:0071840(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005856(L=5),GO:0005862(L=5),GO:0005865(L=6),GO:0015629(L=6),GO:0030016(L=6),GO:0030017(L=6),GO:0032991(L=1),GO:0036379(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043292(L=5),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044449(L=5),GO:0044464(L=2),GO:0070864(L=3),GO:0070865(L=4),	GO:0003674(L=0),GO:0003779(L=4),GO:0005488(L=1),GO:0005515(L=2),GO:0008092(L=3),GO:0051015(L=4),	PFAM (Tropomyosin), SMART (COIL)	NA
TR244851|c3_g1_i2	1480.79451985362	2.48804721952056	0.249867233286219	1.78468180064647e-26	5.33097476019722e-23	XP_026729986.1 PDZ and LIM domain protein Zasp isoform X3 [Trichoplusia ni]	trichoplusia ni	No	FALSE	NA					LIM domain		GO:0001952(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0010810(L=4),GO:0030155(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0065007(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005856(L=5),GO:0015629(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0008092(L=3),GO:0008270(L=6),GO:0016740(L=2),GO:0042805(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0051371(L=6),GO:0051393(L=5),	PFAM (LIM, PDZ), SMART (LIM, PDZ, ZM, COIL)	LIM/PDZ
TR261662|c1_g1_i1	322.846848504788	2.40357243660305	0.240886007809792	4.57534914642778e-26	1.26526100693656e-22	tr|R4WSB9|R4WSB9_RIPPE AMP dependent coa ligase OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					AMP dependent coa ligase		GO:0001676(L=5),GO:0006082(L=3),GO:0006629(L=3),GO:0006631(L=4),GO:0006637(L=4),GO:0006638(L=4),GO:0006639(L=5),GO:0006641(L=7),GO:0006732(L=4),GO:0006793(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009058(L=2),GO:0009062(L=5),GO:0009108(L=5),GO:0009966(L=4),GO:0009968(L=5),GO:0009987(L=1),GO:0010646(L=4),GO:0010648(L=5),GO:0016042(L=4),GO:0016054(L=4),GO:0019433(L=7),GO:0019752(L=5),GO:0023051(L=3),GO:0023057(L=4),GO:0032787(L=6),GO:0035383(L=3),GO:0035384(L=4),GO:0043436(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044242(L=4),GO:0044248(L=3),GO:0044249(L=3),GO:0044255(L=3),GO:0044281(L=3),GO:0044282(L=4),GO:0044710(L=2),GO:0044712(L=3),GO:0046395(L=5),GO:0046461(L=5),GO:0046464(L=7),GO:0046486(L=4),GO:0046503(L=5),GO:0046626(L=7),GO:0046627(L=7),GO:0048519(L=3),GO:0048523(L=4),GO:0048583(L=3),GO:0048585(L=4),GO:0050789(L=2),GO:0050794(L=3),GO:0051186(L=3),GO:0051188(L=4),GO:0055114(L=3),GO:0065007(L=1),GO:0071616(L=6),GO:0071704(L=2),GO:0072329(L=6),GO:1900076(L=7),GO:1900077(L=7),GO:1901575(L=3),GO:1901576(L=3),		GO:0003674(L=0),GO:0003824(L=1),GO:0004467(L=5),GO:0004497(L=3),GO:0015645(L=4),GO:0016491(L=2),GO:0016701(L=3),GO:0016703(L=4),GO:0016874(L=2),GO:0016877(L=3),GO:0045289(L=4),GO:0047077(L=5),	PFAM (AMP-binding)	NA
TR216041|c1_g1_i1	238.187541503857	3.19286589845696	0.334986226552738	1.07405986279451e-24	2.3319324956681e-21	tr|A0A2R7WGF1|A0A2R7WGF1_ONCFA PDZ domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS008527 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					PDZ domain (Also known as DHR or GLGF)					PFAM (PDZ), SMART (COIL, PDZ)	NA
TR250190|c2_g2_i3	537.800815284178	2.92615375576378	0.299224879698344	1.15375333886471e-24	2.39293067791579e-21	tr|R4WDI5|R4WDI5_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					NA					PFAM (I-set, V-set), SMART (COIL, IGc2, IG)	NA
TR203462|c0_g1_i1	2041.06866655222	2.17098345806533	0.225451855992396	1.59595639827093e-24	2.70925271211885e-21	tr|R4WKE5|R4WKE5_RIPPE Aconitate hydratase, mitochondrial OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					Aconitate hydratase	20,300,630,720,1100,1110,1120,1210,1230	GO:0006091(L=3),GO:0006099(L=7),GO:0008150(L=0),GO:0008152(L=1),GO:0009060(L=6),GO:0009987(L=1),GO:0015980(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044710(L=2),GO:0045333(L=4),GO:0055114(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0005811(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0003994(L=5),GO:0005488(L=1),GO:0016829(L=2),GO:0016835(L=3),GO:0016836(L=4),GO:0051536(L=3),GO:0051539(L=4),GO:0051540(L=2),GO:0052633(L=5),	PFAM (Aconitase, Aconitase_C), SMART (SIGNAL)	Aconitase
TR250190|c2_g3_i1	51.702274153351	3.20691683089414	0.339171905741087	1.71343785813671e-24	2.70925271211885e-21				FALSE	NA											NA
