baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR220255|c3_g1_i1	3.43722146588801	0.253389402025099	0.665998233521423	3.70328560545747e-06	0.125765139010283	XP_014285328.1 protein takeout [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Haemolymph juvenile hormone binding protein (JHBP)			GO:0005575(L=0),GO:0005576(L=1),GO:0005615(L=3),GO:0044421(L=2),		PFAM (JHBP), SMART (JHBP, SIGNAL, TRANS)	NA
TR234421|c0_g2_i1	3.90391159092364	0.16970372625394	0.618166339998381	4.60897639939471e-06	0.125765139010283				FALSE	NA											NA
TR214071|c2_g1_i1	1.67565494537414	0.18594401615641	0.625781963223554	2.59178719539037e-05	0.353610486003084	tr|A0A1B6JVI3|A0A1B6JVI3_9HEMI Uncharacterized protein OS=Homalodisca liturata OX=320908 GN=g.16518 PE=3 SV=1	homalodisca liturata	No	FALSE	NA					to Tigger transposable element-derived protein 6				GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0008270(L=6),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DDE, Transposase_Tc5, CENP-B_N, ARID), SMART (CENPB, ZnF_C2H2, COIL, ARID)	NA
TR286895|c0_g1_i1	16.2384251310454	0.680286475150423	1.5708083012322	2.45296129404477e-05	0.353610486003084	XP_014287886.1 zinc finger protein 43-like isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Zinc finger, C2H2 type		GO:0000003(L=1),GO:0006355(L=7),GO:0007049(L=3),GO:0007126(L=4),GO:0007140(L=4),GO:0007276(L=3),GO:0007283(L=6),GO:0008150(L=0),GO:0009889(L=4),GO:0009891(L=5),GO:0009893(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010556(L=5),GO:0010557(L=6),GO:0010604(L=5),GO:0010628(L=6),GO:0019219(L=5),GO:0019222(L=3),GO:0019953(L=2),GO:0022402(L=4),GO:0022414(L=2),GO:0031323(L=4),GO:0031325(L=5),GO:0031326(L=5),GO:0031328(L=6),GO:0032501(L=1),GO:0032504(L=2),GO:0044699(L=1),GO:0044702(L=3),GO:0044763(L=2),GO:0045893(L=8),GO:0045935(L=6),GO:0048232(L=5),GO:0048518(L=3),GO:0048522(L=4),GO:0048609(L=3),GO:0048610(L=-1),GO:0050789(L=2),GO:0050794(L=3),GO:0051037(L=7),GO:0051039(L=7),GO:0051171(L=4),GO:0051173(L=5),GO:0051252(L=5),GO:0051254(L=6),GO:0051321(L=3),GO:0060255(L=4),GO:0065007(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2001141(L=6),	GO:0000228(L=5),GO:0000785(L=5),GO:0000790(L=5),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005694(L=4),GO:0031974(L=1),GO:0031981(L=6),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043233(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044427(L=5),GO:0044428(L=5),GO:0044446(L=3),GO:0044454(L=5),GO:0044464(L=2),GO:0070013(L=3),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0005515(L=2),GO:0008270(L=6),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (zf-C2H2, zf-AD, THAP, ubiquitin), SMART (ZnF_C2H2, zf-AD, THAP, COIL)	NA
TR262411|c0_g1_i1	33.795308154665	0.126669253581224	0.601603652266792	3.74001638822938e-05	0.40821530874246				FALSE	NA											NA
TR186180|c0_g1_i1	2.34460672895538	0.21105115232802	0.637786393126306	0.000418365093988494	0.590559962002945				FALSE	NA											NA
TR198882|c1_g5_i3	3.24483638734709	0.189885381772283	0.626782498994199	0.000362161320680002	0.590559962002945				FALSE	NA											NA
TR199356|c0_g2_i1	8.01008243014012	0.152275018190126	0.61024379291782	0.000279356449510136	0.590559962002945	XP_014241567.1 circadian clock-controlled protein-like [Cimex lectularius]	cimex lectularius	No	FALSE	NA					NA					PFAM (JHBP), SMART (SIGNAL, JHBP)	NA
TR205805|c0_g2_i2	228.461574144529	7.37767744006447	2.83432738997262	0.000247373320610106	0.590559962002945	XP_014280437.1 phospholipid-transporting ATPase IA isoform X5 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					E1-E2 ATPase		GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006810(L=3),GO:0006811(L=4),GO:0006812(L=5),GO:0006820(L=5),GO:0006869(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009987(L=1),GO:0010876(L=3),GO:0015711(L=5),GO:0015748(L=4),GO:0015914(L=7),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0033036(L=2),GO:0034220(L=5),GO:0034641(L=3),GO:0034655(L=4),GO:0042278(L=5),GO:0042454(L=7),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044710(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),GO:0055086(L=3),GO:0071702(L=4),GO:0071704(L=2),GO:0072521(L=4),GO:0072523(L=5),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),	GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),	GO:0000166(L=3),GO:0000287(L=5),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0004012(L=5),GO:0005215(L=1),GO:0005319(L=3),GO:0005488(L=1),GO:0005524(L=7),GO:0005548(L=4),GO:0008324(L=5),GO:0015075(L=4),GO:0015399(L=4),GO:0015405(L=5),GO:0015662(L=6),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016820(L=4),GO:0016887(L=7),GO:0017076(L=4),GO:0017111(L=6),GO:0019829(L=6),GO:0022804(L=3),GO:0022857(L=2),GO:0022891(L=3),GO:0022892(L=2),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0042623(L=8),GO:0042625(L=5),GO:0042626(L=5),GO:0043167(L=2),GO:0043168(L=3),GO:0043169(L=3),GO:0043492(L=9),GO:0046872(L=4),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (E1-E2_ATPase, Hydrolase, PBP), SMART (TRANS, COIL)	E1-E2 ATPase
TR210058|c0_g1_i1	5.92566965488464	-0.152288053890688	0.610915473089151	0.000240044087187837	0.590559962002945				FALSE	NA											NA
