model	transcript	DEG.rank	baseMean	log2FoldChange	padj	manual.ann	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.Protein.Domains	Contaminant	xenic
adult gonad by sex	TR111903|c0_g1_i1	1	1777.7	10.541	0	tubulin-b2b	TUBB2B	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	PFAM (Tubulin, Tubulin_C, Misat_Myo_SegII), SMART (Tubulin, Tubulin_C, COIL)	No	FALSE
adult gonad by sex	TR197681|c0_g1_i1	4	565.05	8.7	0	NA		Inherit from opiNOG: coiled-coil domain containing 39	SMART (COIL)	No	FALSE
adult gonad by sex	TR198031|c0_g2_i1	5	364.71	9.7884	0	MPI	MPI	mannose-6-phosphate isomerase	PFAM (PMI_typeI)	No	FALSE
adult gonad by sex	TR198060|c0_g1_i3	6	422.46	9.7682	0	ZnF		ZnF_BED	PFAM (zf-BED), SMART (ZnF_BED, COIL)	No	FALSE
adult gonad by sex	TR198091|c0_g1_i2	7	1056.8	4.0376	0	NA		Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)	PFAM (Ferrochelatase)	No	FALSE
adult gonad by sex	TR199616|c2_g1_i2	12	502.94	8.3607	0	KIF20B	KIF20B	kinesin family member 20B	PFAM (Kinesin), SMART (COIL, KISc)	No	FALSE
adult gonad by sex	TR200022|c0_g1_i1	13	159.69	5.8161	0	NA		Inherit from biNOG: WD repeat domain 66	PFAM (WD40), SMART (WD40)	No	FALSE
adult gonad by sex	TR200031|c1_g1_i1	14	1169.6	6.6994	0	dynein HC		dynein heavy chain	PFAM (Dynein_heavy, DHC_N2, AAA_5, DHC_N1), SMART (COIL, AAA)	No	FALSE
adult gonad by sex	TR200039|c0_g1_i2	15	235.53	-2.4555	0	Fsn	DP	Transcription factor	PFAM (E2F_TDP, DP), SMART (DP, COIL)	No	FALSE
adult gonad by sex	TR200420|c0_g1_i1	16	161.9	7.3769	0	PiCot					FALSE
adult gonad by sex	TR200420|c1_g1_i2	17	696.75	7.2516	0	NA		Inherit from euNOG: Major Facilitator Superfamily	PFAM (MFS_1, Sugar_tr), SMART (TRANS)	No	FALSE
adult gonad by sex	TR200526|c0_g2_i2	18	1360.7	10.077	0	NA		fructose-bisphosphate aldolase	PFAM (Glycolytic)	No	FALSE
adult gonad by sex	TR200725|c4_g1_i2	19	267.12	3.7359	0	E3-Ub ligase		e3 ubiquitin-protein ligase	PFAM (RCC1, HECT), SMART (HECTc, TRANS)	No	FALSE
adult gonad by sex	TR201716|c1_g2_i1	22	1801.2	8.5527	0	NA	CCDC173	coiled-coil domain containing 173	SMART (COIL)	No	FALSE
adult gonad by sex	TR202024|c0_g1_i2	24	636.39	7.4631	0	NA		Inherit from biNOG: Dehydrogenase	PFAM (KR, adh_short, 3Beta_HSD)	No	FALSE
adult gonad by sex	TR202260|c0_g1_i1	27	427.78	4.2946	0	NA		FHA	PFAM (FHA, G-patch, DUF1777), SMART (COIL, G_patch, FHA)	No	FALSE
