baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR278702|c0_g1_i1	5.01133628502876	-15.0832921469239	1.79859762121573	7.30206433307109e-22	2.06532696324756e-17				FALSE	NA											NA
TR224521|c3_g1_i2	2232.86850775687	-12.5452874752888	1.39262955411739	5.05201087216261e-21	3.26326884289199e-17				FALSE	NA				TM2	Tropomyosin	4260,5410,5414	GO:0007275(L=3),GO:0007507(L=5),GO:0008150(L=0),GO:0032501(L=1),GO:0032502(L=1),GO:0044699(L=1),GO:0044707(L=2),GO:0044767(L=2),GO:0048513(L=4),GO:0048731(L=4),GO:0048856(L=2),GO:0072358(L=5),GO:0072359(L=5),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005856(L=5),GO:0005862(L=5),GO:0005865(L=6),GO:0015629(L=6),GO:0030016(L=6),GO:0030017(L=6),GO:0036379(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043292(L=5),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044449(L=5),GO:0044464(L=2),	GO:0003674(L=0),GO:0003779(L=4),GO:0005488(L=1),GO:0005515(L=2),GO:0008092(L=3),	PFAM (Tropomyosin), SMART (COIL, TRANS)	tropomyosin 2
TR91067|c0_g1_i1	7.59963249454673	-21.8382003595457	3.13822692042333	1.2091528976975e-20	7.19445037441599e-17				FALSE	NA											flightin
TR216041|c1_g1_i1	240.444121827227	-10.0071139459737	1.12313079069895	1.97925047987241e-19	5.49394090622576e-16	tr|A0A2R7WGF1|A0A2R7WGF1_ONCFA PDZ domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS008527 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					PDZ domain (Also known as DHR or GLGF)					PFAM (PDZ), SMART (COIL, PDZ)	NA
TR213339|c0_g1_i7	55.9111887679009	-8.05225930524137	0.861988101155249	2.01808195965527e-19	5.56030713130548e-16				FALSE	NA											NA
TR270801|c2_g4_i1	418.933805687208	-4.42954827048556	0.490982951236401	3.74143679377812e-19	6.90096877103894e-16	XP_014288289.1 clustered mitochondria protein homolog isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Involved in proper cytoplasmic distribution of mitochondria (By similarity)		GO:0006412(L=5),GO:0006413(L=6),GO:0006996(L=3),GO:0007005(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0016043(L=2),GO:0019538(L=3),GO:0034645(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0048311(L=5),GO:0048312(L=6),GO:0051179(L=1),GO:0051640(L=3),GO:0051641(L=2),GO:0051646(L=4),GO:0071704(L=2),GO:0071840(L=1),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005852(L=5),GO:0032991(L=1),GO:0043234(L=2),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003743(L=6),GO:0005488(L=1),GO:0008135(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DUF727), SMART (COIL)	NA
TR244851|c3_g1_i2	1492.51861005458	-7.58825370415017	0.837018168393769	8.00714550472317e-19	1.10767061129731e-15	XP_026729986.1 PDZ and LIM domain protein Zasp isoform X3 [Trichoplusia ni]	trichoplusia ni	No	FALSE	NA					LIM domain		GO:0001952(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0010810(L=4),GO:0030155(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0065007(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005856(L=5),GO:0015629(L=6),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0008092(L=3),GO:0008270(L=6),GO:0016740(L=2),GO:0042805(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0051371(L=6),GO:0051393(L=5),	PFAM (LIM, PDZ), SMART (LIM, PDZ, ZM, COIL)	LIM/PDZ
TR270866|c1_g3_i1	65.0486198690942	-8.65781754240301	0.950677031951976	6.82737378988039e-19	1.10767061129731e-15				FALSE	NA											jockey RT
TR250190|c2_g3_i1	52.176074964788	-9.98418243184981	1.1280771235014	1.62960588737755e-18	2.36777370501381e-15				FALSE	NA											NA
TR257749|c0_g1_i1	844.443656285719	-4.33193562258988	0.494988607319595	2.52424983101272e-18	2.98663771709645e-15	tr|R4WIQ2|R4WIQ2_RIPPE ATP synthase-coupling factor 6, mitochondrial OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				ATPSYN-CF6	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (By similarity)	190,1100,5010,5012,5016	GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006164(L=7),GO:0006195(L=7),GO:0006200(L=-1),GO:0006725(L=3),GO:0006753(L=4),GO:0006754(L=8),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006810(L=3),GO:0006811(L=4),GO:0006812(L=5),GO:0006818(L=4),GO:0007154(L=2),GO:0007267(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009058(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009124(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009127(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009142(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009145(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009152(L=7),GO:0009154(L=7),GO:0009156(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009163(L=5),GO:0009164(L=5),GO:0009165(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009168(L=8),GO:0009169(L=8),GO:0009199(L=7),GO:0009201(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009206(L=8),GO:0009207(L=8),GO:0009259(L=5),GO:0009260(L=7),GO:0009261(L=5),GO:0009987(L=1),GO:0015672(L=6),GO:0015985(L=7),GO:0015986(L=8),GO:0015992(L=7),GO:0018130(L=4),GO:0019438(L=4),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0023052(L=1),GO:0030154(L=4),GO:0032502(L=1),GO:0034220(L=5),GO:0034641(L=3),GO:0034654(L=4),GO:0034655(L=4),GO:0042278(L=5),GO:0042451(L=7),GO:0042454(L=7),GO:0042455(L=7),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044249(L=3),GO:0044270(L=4),GO:0044271(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0045165(L=5),GO:0045168(L=5),GO:0046034(L=7),GO:0046128(L=7),GO:0046129(L=7),GO:0046130(L=7),GO:0046331(L=7),GO:0046390(L=5),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0048869(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),GO:0055086(L=3),GO:0071704(L=2),GO:0072521(L=4),GO:0072522(L=5),GO:0072523(L=5),GO:0090407(L=4),GO:1901135(L=3),GO:1901136(L=4),GO:1901137(L=4),GO:1901292(L=4),GO:1901293(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901362(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901566(L=4),GO:1901575(L=3),GO:1901576(L=3),GO:1901657(L=3),GO:1901658(L=4),GO:1901659(L=4),	GO:0000275(L=5),GO:0000276(L=5),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0005740(L=6),GO:0005743(L=5),GO:0005753(L=5),GO:0005756(L=5),GO:0016020(L=1),GO:0016469(L=4),GO:0019866(L=4),GO:0031090(L=3),GO:0031966(L=5),GO:0031967(L=3),GO:0031975(L=3),GO:0032991(L=1),GO:0033177(L=5),GO:0033178(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044425(L=2),GO:0044429(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044455(L=4),GO:0044464(L=2),GO:0045259(L=4),GO:0045261(L=4),GO:0045263(L=4),GO:0045269(L=4),	GO:0003674(L=0),GO:0003824(L=1),GO:0005215(L=1),GO:0008324(L=5),GO:0008553(L=8),GO:0015075(L=4),GO:0015077(L=7),GO:0015078(L=8),GO:0015399(L=4),GO:0015405(L=5),GO:0015662(L=6),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016820(L=4),GO:0016887(L=7),GO:0017111(L=6),GO:0019829(L=6),GO:0022804(L=3),GO:0022857(L=2),GO:0022890(L=6),GO:0022891(L=3),GO:0022892(L=2),GO:0042623(L=8),GO:0042625(L=5),GO:0042626(L=5),GO:0043492(L=9),	PFAM (ATP-synt_F6)	NA
