model	transcript	DEG.rank	baseMean	log2FoldChange	padj	manual.ann	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.Protein.Domains	Contaminant	xenic
adult ovaries by morph	TR252663|c0_g1_i2	8	10.959	1.3919	0.033476	Sox14	SOX14	HMG (high mobility group) box	PFAM (HMG_box), SMART (HMG)	No	FALSE
adult thorax by morph	TR89791|c0_g1_i1	1	3511.1	6.0781	1.6018e-25	flightin	FLN	NA		No	FALSE
adult thorax by morph	TR224521|c3_g1_i2	2	2211.9	4.1425	2.2877e-24	tropomyosin	TM2	Tropomyosin	PFAM (Tropomyosin), SMART (COIL, TRANS)		FALSE
adult thorax by morph	TR252075|c10_g5_i2	4	1138.1	3.5549	3.3509e-23	tropomyosin	TM1	Tropomyosin	PFAM (Tropomyosin), SMART (COIL)		FALSE
adult thorax by morph	TR244851|c3_g1_i2	5	1480.8	2.488	5.331e-23	Zasp52		LIM domain	PFAM (LIM, PDZ), SMART (LIM, PDZ, ZM, COIL)	No	FALSE
adult thorax by morph	TR261662|c1_g1_i1	6	322.85	2.4036	1.2653e-22	NA		AMP dependent coa ligase	PFAM (AMP-binding)	No	FALSE
adult thorax by morph	TR216041|c1_g1_i1	7	238.19	3.1929	2.3319e-21	NA		PDZ domain (Also known as DHR or GLGF)	PFAM (PDZ), SMART (COIL, PDZ)	No	FALSE
adult thorax by morph	TR250190|c2_g2_i3	8	537.8	2.9262	2.3929e-21	NA		NA	PFAM (I-set, V-set), SMART (COIL, IGc2, IG)	No	FALSE
adult thorax by morph	TR203462|c0_g1_i1	9	2041.1	2.171	2.7093e-21	aconitase		Aconitate hydratase	PFAM (Aconitase, Aconitase_C), SMART (SIGNAL)	No	FALSE
adult thorax by morph	TR230832|c0_g1_i1	11	132.27	2.3613	7.3819e-21	NA		NA	SMART (COIL, TRANS)	No	FALSE
adult thorax by morph	TR263318|c0_g1_i1	12	634.46	1.8893	2.2675e-20	NA	NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6	PFAM (NDUF_B6), SMART (TRANS)	No	FALSE
adult thorax by morph	TR237584|c0_g1_i1	14	2299.8	1.974	2.8602e-20	Mtpα	HADHA	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	PFAM (3HCDH, 3HCDH_N, ECH), SMART (COIL)	No	FALSE
adult thorax by morph	TR91067|c0_g1_i1	15	7.5276	6.6037	2.8602e-20	flightin					FALSE
adult thorax by morph	TR256738|c0_g1_i1	19	2566.7	1.8778	1.8874e-19	NA	CS	citrate synthase	PFAM (Citrate_synt)	No	FALSE
adult thorax by morph	TR270801|c2_g4_i1	21	417.3	1.3433	4.0997e-19	NA		Involved in proper cytoplasmic distribution of mitochondria (By similarity)	PFAM (DUF727), SMART (COIL)	No	FALSE
adult thorax by morph	TR224521|c6_g1_i3	22	56.199	3.468	5.5033e-19	NA		acylphosphatase	PFAM (Acylphosphatase)	No	FALSE
adult thorax by morph	TR281024|c0_g1_i1	23	248.17	2.2067	5.5033e-19	Mohawk/CG11617		Homeobox domain	PFAM (Homeobox), SMART (HOX)	No	FALSE
adult thorax by morph	TR110012|c0_g1_i1	24	253.85	1.5381	5.6316e-19	NA		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	PFAM (CI-B14_5a)	No	FALSE
adult thorax by morph	TR199624|c0_g1_i1	25	264.76	2.037	7.6432e-19	NA		electron transfer flavoprotein-ubiquinone oxidoreductase	PFAM (ETF_QO, FAD_binding_2, Thi4, Pyr_redox_2, HI0933_like)	No	FALSE
adult thorax by morph	TR281260|c2_g1_i1	26	717.65	1.9847	7.6432e-19	acyl-CoA dehydrogenase		acyl-CoA dehydrogenase	PFAM (Acyl-CoA_dh_N, Acyl-CoA_dh_M, Acyl-CoA_dh_1, Acyl-CoA_dh_2)	No	FALSE
adult thorax by morph	TR250190|c2_g2_i2	29	1453.3	2.3946	1.0651e-18	NA		NA	PFAM (I-set, V-set), SMART (COIL, IGc2, IG)		FALSE
adult thorax by morph	TR102002|c0_g1_i1	30	316.56	1.619	1.4645e-18	NA	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	PFAM (Fer4)	No	FALSE
adult thorax by morph	TR227191|c0_g1_i1	31	420.4	1.528	1.4645e-18	NA		NADH dehydrogenase (ubiquinone) 1 beta subcomplex	PFAM (NDUF_B7, Cmc1), SMART (COIL)	No	FALSE
adult thorax by morph	TR270866|c1_g3_i1	32	64.504	2.5869	1.7643e-18	RT					FALSE
adult thorax by morph	TR211449|c0_g2_i1	33	198.48	1.8903	2.4976e-18	ICDH		Isocitrate dehydrogenase	PFAM (Iso_dh)	No	FALSE
adult thorax by morph	TR207970|c15_g3_i1	34	86.556	1.911	4.4457e-18	NA		mitochondrial carnitine acylcarnitine	PFAM (Mito_carr), SMART (TRANS)	No	FALSE
adult thorax by morph	TR245004|c0_g1_i1	35	471.22	1.1714	4.4457e-18	DRE4	DRE4	FACT complex subunit (SPT16/CDC68)	PFAM (Peptidase_M24, SPT16, Rtt106), SMART (COIL)	No	FALSE
adult thorax by morph	TR214216|c1_g1_i1	36	1568.3	3.2803	4.7491e-18	troponin I	WUPA	Troponin I	PFAM (Troponin), SMART (COIL)	No	FALSE
adult thorax by morph	TR253505|c0_g1_i1	37	438.97	1.371	4.7491e-18	NA	L(3)NEO18	NADH-ubiquinone oxidoreductase sgdh subunit	PFAM (NDUF_B5), SMART (TRANS, COIL)	No	FALSE
adult thorax by morph	TR264530|c0_g2_i2	38	1575.4	2.2266	4.7491e-18	NA		IG_like	PFAM (I-set, Pkinase_Tyr, Pkinase, fn3, ig, RhoGEF, V-set, Kdo), SMART (IG, IGc2, IG_like, FN3, STYKc, COIL, PH, RhoGEF, SH3, S_TKc, SIGNAL)	No	FALSE
adult thorax by morph	TR267485|c3_g1_i4	39	239.58	1.8481	5.3786e-18	hexokinase	HEX-A	hexokinase	PFAM (Hexokinase_1, Hexokinase_2)	No	FALSE
adult thorax by morph	TR215970|c0_g1_i1	40	64.37	2.213	8.7359e-18	NA		PITH domain	PFAM (PITH)	No	FALSE
adult thorax by morph	TR229914|c4_g1_i5	41	119.44	1.8403	9.0229e-18	NA		Thioredoxin	PFAM (Thioredoxin, AhpC-TSA)	No	FALSE
adult thorax by morph	TR242825|c0_g2_i2	42	133.23	1.6765	9.3869e-18	NA		AMP-binding enzyme	PFAM (AMP-binding), SMART (TRANS)	No	FALSE
adult thorax by morph	TR133684|c1_g1_i1	43	610.39	1.46	1.1758e-17	NA	NDUFV2	NADH dehydrogenase ubiquinone flavoprotein 2	PFAM (Complex1_24kDa)	No	FALSE
adult thorax by morph	TR242019|c0_g1_i1	44	285.67	1.582	1.4671e-17	RF1		Peptide chain release factor	PFAM (RF-1, PCRF), SMART (PCRF, COIL)	No	FALSE
adult thorax by morph	TR257749|c0_g1_i1	45	843.42	1.2788	1.5863e-17	ATPSYN-CF6	ATPSYN-CF6	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (By similarity)	PFAM (ATP-synt_F6)	No	FALSE
adult thorax by morph	TR206842|c3_g1_i1	46	777.6	1.5338	1.6707e-17	CcO		cytochrome C oxidase	PFAM (COX4), SMART (TRANS)	No	FALSE
adult thorax by morph	TR184099|c0_g1_i1	47	2091	1.4378	1.7574e-17	ATP5A1	ATP5A1	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	PFAM (ATP-synt_ab_N, ATP-synt_ab_C, ATP-synt_ab, HAS-barrel)	No	FALSE
adult thorax by morph	TR36566|c0_g1_i1	48	1800.8	3.1758	1.9082e-17	troponin C	TPNCIIIA	troponin C	PFAM (efhand), SMART (EFh, SIGNAL)	No	FALSE
adult thorax by morph	TR203549|c1_g2_i1	49	4521.9	1.4186	1.9429e-17	NA		Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	PFAM (ATP-synt_ab_C, ATP-synt_ab_N, ATP-synt_ab, NMD3), SMART (AAA)	No	FALSE
adult thorax by morph	TR44688|c0_g1_i1	50	457	1.6604	2.2583e-17	RFeSP	RFESP	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	PFAM (UCR_TM, Rieske, Ubiq-Cytc-red_N), SMART (TRANS)	No	FALSE
adult thorax by morph	TR267306|c5_g5_i1	51	761.53	1.3776	3.1253e-17	ATP5ME					FALSE
adult thorax by morph	TR281553|c6_g3_i1	52	1304.8	1.4146	3.2994e-17	cytochrome c1		Cytochrome c1	PFAM (Cytochrom_C1), SMART (TRANS, COIL, SIGNAL)	No	FALSE
adult thorax by morph	TR285672|c2_g1_i3	53	3358.2	1.1591	3.5584e-17	ATP5G2	ATP5G2	ATP synthase	PFAM (ATP-synt_C), SMART (TRANS)	No	FALSE
adult thorax by morph	TR251411|c0_g1_i2	54	370.32	2.0679	4.1834e-17	NA		Thiolase, C-terminal domain	PFAM (Thiolase_N, Thiolase_C, ketoacyl-synt), SMART (TRANS)	No	FALSE
adult thorax by morph	TR202178|c0_g1_i1	55	676.33	1.3804	4.4166e-17	NA	UQCRC2	Ubiquinol-cytochrome C reductase	PFAM (Peptidase_M16_C, Peptidase_M16), SMART (COIL)	No	FALSE
adult thorax by morph	TR203153|c0_g2_i1	56	160.5	1.4776	4.4166e-17	NA	MDH2	Malate dehydrogenase	PFAM (Ldh_1_N, Ldh_1_C), SMART (ZnF_U1, ZnF_C2H2)	No	FALSE
