baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR207970|c10_g4_i1	1144.00023457202	9.00387699271798	2.55076520912933	9.0280888427985e-09	0.000109853227744215				FALSE	NA										
TR223060|c1_g3_i7	37.0466634063531	-1.53190101310646	0.321063364216361	3.76059050745683e-08	0.000228096862017664	XP_014282603.1 glucose-6-phosphate isomerase [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				PGI	glucose-6-phosphate isomerase	10,30,500,520,1100,1110,1120	GO:0005975(L=3),GO:0005996(L=4),GO:0006006(L=7),GO:0006007(L=7),GO:0006091(L=3),GO:0006094(L=7),GO:0006096(L=5),GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009058(L=2),GO:0009987(L=1),GO:0016051(L=4),GO:0016052(L=4),GO:0019318(L=5),GO:0019319(L=7),GO:0019320(L=7),GO:0019538(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044710(L=2),GO:0044723(L=3),GO:0044724(L=4),GO:0046364(L=5),GO:0046365(L=5),GO:0055114(L=3),GO:0071704(L=2),GO:1901575(L=3),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005811(L=5),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004190(L=6),GO:0004347(L=5),GO:0004616(L=5),GO:0008233(L=3),GO:0016491(L=2),GO:0016614(L=3),GO:0016616(L=4),GO:0016787(L=2),GO:0016853(L=2),GO:0016860(L=3),GO:0016861(L=4),GO:0070001(L=5),GO:0070011(L=4),	PFAM (PGI)
TR285223|c1_g3_i2	247.250899290602	8.59789697909427	3.06324616602589	5.62371842142105e-08	0.000228096862017664	tr|A0A2R7WUY5|A0A2R7WUY5_ONCFA Uncharacterized protein (Fragment) OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS015269 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA				MINPP1	Multiple inositol polyphosphate phosphatase	4150,4151,4910,562	GO:0001503(L=3),GO:0006082(L=3),GO:0006457(L=2),GO:0006793(L=3),GO:0006796(L=4),GO:0006797(L=4),GO:0006950(L=2),GO:0007154(L=2),GO:0007165(L=3),GO:0007275(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009888(L=3),GO:0009987(L=1),GO:0016311(L=5),GO:0019538(L=3),GO:0023052(L=1),GO:0030282(L=5),GO:0031214(L=4),GO:0031929(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0035556(L=4),GO:0043170(L=3),GO:0043436(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0048015(L=6),GO:0048017(L=5),GO:0048513(L=4),GO:0048731(L=4),GO:0048856(L=2),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0065007(L=1),GO:0071704(L=2),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005783(L=4),GO:0005788(L=5),GO:0005886(L=3),GO:0016020(L=1),GO:0031931(L=5),GO:0031974(L=1),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043233(L=2),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044432(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),GO:0070013(L=3),GO:0071944(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0003993(L=6),GO:0004446(L=7),GO:0004721(L=6),GO:0005488(L=1),GO:0005524(L=7),GO:0008969(L=6),GO:0016787(L=2),GO:0016788(L=3),GO:0016791(L=5),GO:0017076(L=4),GO:0030351(L=8),GO:0030352(L=8),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0034416(L=6),GO:0034417(L=7),GO:0035639(L=4),GO:0036094(L=2),GO:0042578(L=4),GO:0043167(L=2),GO:0043168(L=3),GO:0052743(L=7),GO:0052745(L=6),GO:0052826(L=8),GO:0052827(L=7),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Acid_phosphat_A), SMART (SIGNAL, TRANS)
TR225598|c3_g1_i2	184.040208168051	0.037217186831302	0.177145486136397	1.25359583708187e-07	0.000283729308167607				FALSE	NA										
TR283169|c0_g1_i1	404.859194553826	0.0189324395999431	0.1728315508709	1.02024121872103e-07	0.000283729308167607				FALSE	NA										
TR221658|c1_g1_i4	436.408801478384	0.0303201610071975	0.175136231085327	1.87779845073754e-07	0.000429092976020506				FALSE	NA										
TR259386|c0_g2_i1	348.149280405825	6.19663533673836	2.01297129428488	2.57087409832236e-07	0.000497144776482846				FALSE	NA										
TR42446|c1_g1_i3	209.353118399316	-0.0589516395433704	0.18590033321683	3.3871111276548e-07	0.000580487855328693				FALSE	NA										
TR206885|c0_g2_i2	53.2304106414569	-0.0460873981344899	0.180479848373766	4.73141098447618e-07	0.000589727890989751	XP_014288845.1 dynamin isoform X6 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				SHI	GED	4144,4721,4961,5100	GO:0000003(L=1),GO:0000910(L=4),GO:0001654(L=7),GO:0001661(L=3),GO:0001667(L=5),GO:0001738(L=6),GO:0001745(L=6),GO:0002009(L=5),GO:0002064(L=6),GO:0003006(L=2),GO:0003008(L=2),GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006184(L=-1),GO:0006195(L=7),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006810(L=3),GO:0006897(L=5),GO:0006898(L=6),GO:0006900(L=5),GO:0006928(L=3),GO:0006950(L=2),GO:0006996(L=3),GO:0007010(L=4),GO:0007017(L=3),GO:0007049(L=3),GO:0007154(L=2),GO:0007267(L=3),GO:0007268(L=7),GO:0007275(L=3),GO:0007276(L=3),GO:0007277(L=4),GO:0007279(L=4),GO:0007281(L=4),GO:0007283(L=6),GO:0007286(L=4),GO:0007291(L=5),GO:0007292(L=5),GO:0007297(L=4),GO:0007298(L=7),GO:0007349(L=4),GO:0007423(L=6),GO:0007424(L=6),GO:0007427(L=6),GO:0007431(L=5),GO:0007435(L=5),GO:0007584(L=3),GO:0007610(L=1),GO:0007611(L=3),GO:0007612(L=4),GO:0007613(L=4),GO:0007614(L=7),GO:0007631(L=2),GO:0007635(L=3),GO:0007637(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0008306(L=7),GO:0008355(L=5),GO:0008593(L=5),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009266(L=3),GO:0009408(L=3),GO:0009605(L=2),GO:0009628(L=2),GO:0009653(L=3),GO:0009887(L=4),GO:0009888(L=3),GO:0009966(L=4),GO:0009967(L=5),GO:0009987(L=1),GO:0009991(L=3),GO:0010256(L=3),GO:0010623(L=4),GO:0010631(L=5),GO:0010646(L=4),GO:0010647(L=5),GO:0012501(L=4),GO:0016043(L=2),GO:0016050(L=4),GO:0016185(L=6),GO:0016192(L=4),GO:0016265(L=-1),GO:0016477(L=4),GO:0019226(L=4),GO:0019439(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0019953(L=2),GO:0022402(L=4),GO:0022412(L=3),GO:0022414(L=2),GO:0022612(L=4),GO:0023051(L=3),GO:0023052(L=1),GO:0023056(L=4),GO:0030029(L=3),GO:0030036(L=4),GO:0030154(L=4),GO:0030198(L=4),GO:0030536(L=3),GO:0030537(L=3),GO:0030707(L=5),GO:0030855(L=5),GO:0030865(L=5),GO:0030866(L=5),GO:0031644(L=5),GO:0031667(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032956(L=5),GO:0032970(L=4),GO:0033043(L=5),GO:0034330(L=3),GO:0034331(L=4),GO:0034332(L=5),GO:0034334(L=5),GO:0034641(L=3),GO:0034655(L=4),GO:0035152(L=6),GO:0035272(L=5),GO:0035637(L=3),GO:0040008(L=3),GO:0040011(L=1),GO:0042048(L=4),GO:0042221(L=2),GO:0042278(L=5),GO:0042454(L=7),GO:0043062(L=3),GO:0043954(L=3),GO:0044057(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044702(L=3),GO:0044707(L=2),GO:0044708(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0045216(L=4),GO:0045747(L=6),GO:0046039(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046666(L=6),GO:0046667(L=7),GO:0046700(L=4),GO:0048167(L=5),GO:0048168(L=6),GO:0048172(L=8),GO:0048232(L=5),GO:0048468(L=5),GO:0048477(L=4),GO:0048488(L=8),GO:0048489(L=6),GO:0048499(L=4),GO:0048513(L=4),GO:0048515(L=6),GO:0048518(L=3),GO:0048522(L=4),GO:0048583(L=3),GO:0048584(L=4),GO:0048592(L=5),GO:0048609(L=3),GO:0048610(L=-1),GO:0048646(L=3),GO:0048729(L=4),GO:0048731(L=4),GO:0048732(L=6),GO:0048749(L=8),GO:0048856(L=2),GO:0048869(L=3),GO:0048870(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050803(L=3),GO:0050804(L=8),GO:0050877(L=3),GO:0050890(L=4),GO:0050896(L=1),GO:0051128(L=4),GO:0051179(L=1),GO:0051234(L=2),GO:0051239(L=3),GO:0051301(L=3),GO:0051493(L=6),GO:0051640(L=3),GO:0051641(L=2),GO:0051648(L=4),GO:0051649(L=3),GO:0051650(L=4),GO:0051656(L=3),GO:0051674(L=2),GO:0051780(L=4),GO:0051969(L=5),GO:0055086(L=3),GO:0060004(L=3),GO:0060429(L=4),GO:0060541(L=5),GO:0061024(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0070142(L=7),GO:0071704(L=2),GO:0071840(L=1),GO:0072521(L=4),GO:0072523(L=5),GO:0090130(L=3),GO:0090132(L=4),GO:0097479(L=5),GO:0097480(L=6),GO:1901068(L=7),GO:1901069(L=8),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005856(L=5),GO:0005875(L=6),GO:0005886(L=3),GO:0015630(L=6),GO:0016020(L=1),GO:0032991(L=1),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044446(L=3),GO:0044464(L=2),GO:0045202(L=1),GO:0070864(L=3),GO:0071944(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003774(L=7),GO:0003777(L=8),GO:0003779(L=4),GO:0003824(L=1),GO:0003924(L=7),GO:0005488(L=1),GO:0005515(L=2),GO:0005525(L=7),GO:0005543(L=3),GO:0008017(L=5),GO:0008092(L=3),GO:0008289(L=2),GO:0015631(L=4),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0017076(L=4),GO:0017111(L=6),GO:0019001(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032561(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Dynamin_N, PH, Dynamin_M, GED), SMART (PH, DYNc, GED)
TR259825|c0_g3_i1	302.748135031077	0.0370077774354718	0.177254378641951	5.73016154864497e-07	0.000589727890989751				FALSE	NA										
