baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR93529|c0_g1_i1	7.32823508427173	-0.452263840803931	0.895636260197262	4.62728634394258e-07	0.0111576606954163				FALSE	NA											NA
TR112383|c0_g1_i1	64.6246208172017	0.30313547854538	0.701687387656179	1.96640417039422e-06	0.0149809785165878				FALSE	NA											NA
TR233905|c15_g3_i1	5.09736411855468	-13.572372518835	3.26844444859814	1.0336757915837e-06	0.0149809785165878				FALSE	NA											NA
TR250989|c2_g1_i1	12.1402747465249	-0.402421218843757	0.813115025590245	2.70834240337257e-06	0.022075021844289	XP_014292724.1 pancreatic triacylglycerol lipase [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Triacylglycerol lipase	561,1100,561,1100,4972,4975,4977	GO:0006629(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0044238(L=2),GO:0044710(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0003824(L=1),GO:0004806(L=5),GO:0016298(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0050253(L=5),GO:0052689(L=4),	PFAM (Lipase), SMART (TRANS, SIGNAL)	NA
TR212591|c0_g1_i2	11.5827851646077	-9.13411700390411	2.35965885817847	3.94349104553023e-06	0.0257139277114844				FALSE	NA											NA
TR253285|c3_g2_i1	5.51142003693911	-0.224541708829599	0.640656688378599	5.57689178461957e-06	0.0303039004756586				FALSE	NA											NA
TR156829|c0_g1_i1	2.77701205555337	0.29310372649796	0.690933549115045	1.28415267298379e-05	0.0598103279961295				FALSE	NA											NA
TR204445|c4_g1_i1	17.7252567884815	-0.251178133529033	0.65882012517625	1.7953649042157e-05	0.0633845153417547				FALSE	NA											NA
TR205328|c20_g3_i1	37.9016621824672	-0.418997122493914	0.835387742883681	2.77328513996231e-05	0.0633845153417547	XP_014291531.1 protein PRRC2C isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from opiNOG: BAT2 N-terminus					PFAM (BAT2_N), SMART (COIL)	PRRC2C
TR274228|c1_g7_i1	7.12533316417581	12.5019556342829	3.08987482131155	1.91773793174913e-05	0.0633845153417547				FALSE	NA											NA
