baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR201504|c0_g3_i1	10.0963630148647	-1.65698693065824e-07	0.00144269504079648	1.7179295057031e-06	0.0043569736117977	XP_014282082.1 serine/threonine-protein kinase Genghis Khan isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				GEK	serine threonine-protein kinase		GO:0006464(L=5),GO:0006468(L=6),GO:0006793(L=3),GO:0006796(L=4),GO:0006996(L=3),GO:0007010(L=4),GO:0007015(L=5),GO:0007154(L=2),GO:0007165(L=3),GO:0007275(L=3),GO:0007399(L=5),GO:0008037(L=3),GO:0008038(L=5),GO:0008039(L=8),GO:0008064(L=6),GO:0008150(L=0),GO:0008152(L=1),GO:0008154(L=6),GO:0009987(L=1),GO:0016043(L=2),GO:0016310(L=5),GO:0019222(L=3),GO:0019538(L=3),GO:0022008(L=5),GO:0023052(L=1),GO:0030029(L=3),GO:0030036(L=4),GO:0030154(L=4),GO:0030182(L=7),GO:0030832(L=6),GO:0031532(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032535(L=3),GO:0032956(L=5),GO:0032970(L=4),GO:0033043(L=5),GO:0035556(L=4),GO:0036211(L=4),GO:0043170(L=3),GO:0043412(L=4),GO:0043933(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048468(L=5),GO:0048666(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051128(L=4),GO:0051493(L=6),GO:0051716(L=2),GO:0055114(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0071704(L=2),GO:0071822(L=4),GO:0071840(L=1),GO:0090066(L=3),	GO:0005575(L=0),GO:0005623(L=1),GO:0030424(L=5),GO:0030426(L=4),GO:0030427(L=3),GO:0042995(L=3),GO:0043005(L=4),GO:0044463(L=3),GO:0044464(L=2),GO:0097458(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0004672(L=5),GO:0004674(L=6),GO:0004697(L=7),GO:0005488(L=1),GO:0005524(L=7),GO:0005543(L=3),GO:0008289(L=2),GO:0016301(L=4),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0016740(L=2),GO:0016772(L=3),GO:0016773(L=4),GO:0017076(L=4),GO:0019992(L=3),GO:0030234(L=2),GO:0030554(L=5),GO:0030695(L=4),GO:0032440(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0043169(L=3),GO:0046872(L=4),GO:0060589(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Pkinase_Tyr, Pkinase, Pkinase_C, C1_1, CNH, DMPK_coil), SMART (COIL, S_TK_X, S_TKc, C1, PH, PBD, CNH, TRANS, STYKc)	Genghis Khan
TR210077|c0_g1_i1	40.617467509568	8.00099923014924e-08	0.00144269503639787	1.67639804947991e-06	0.0043569736117977				FALSE	NA											NA
TR244766|c0_g1_i3	7.69593717940273	-2.44519752937708e-08	0.00144269503620072	1.98416285617246e-06	0.0043569736117977	XP_014288564.1 nucleosome-remodeling factor subunit NURF301 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				E(BX)	Fetal alzheimer antigen		GO:0000075(L=5),GO:0000077(L=7),GO:0000902(L=5),GO:0000904(L=5),GO:0002165(L=4),GO:0002376(L=1),GO:0002520(L=5),GO:0006139(L=3),GO:0006259(L=4),GO:0006323(L=6),GO:0006325(L=4),GO:0006333(L=5),GO:0006334(L=7),GO:0006338(L=5),GO:0006351(L=5),GO:0006355(L=7),GO:0006357(L=8),GO:0006464(L=5),GO:0006473(L=7),GO:0006475(L=8),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007049(L=3),GO:0007093(L=6),GO:0007095(L=8),GO:0007154(L=2),GO:0007165(L=3),GO:0007267(L=3),GO:0007275(L=3),GO:0007346(L=5),GO:0007399(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008593(L=5),GO:0009058(L=2),GO:0009059(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009889(L=4),GO:0009966(L=4),GO:0009967(L=5),GO:0009987(L=1),GO:0010033(L=3),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0010564(L=5),GO:0010646(L=4),GO:0010647(L=5),GO:0010948(L=6),GO:0014070(L=4),GO:0016043(L=2),GO:0016070(L=4),GO:0016358(L=8),GO:0016569(L=5),GO:0016570(L=6),GO:0016573(L=7),GO:0018130(L=4),GO:0018193(L=6),GO:0018205(L=7),GO:0018393(L=9),GO:0018394(L=8),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0019538(L=3),GO:0022008(L=5),GO:0022402(L=4),GO:0022607(L=3),GO:0023051(L=3),GO:0023052(L=1),GO:0023056(L=4),GO:0030030(L=3),GO:0030097(L=7),GO:0030154(L=4),GO:0030182(L=7),GO:0030518(L=5),GO:0030522(L=4),GO:0031175(L=5),GO:0031323(L=4),GO:0031326(L=5),GO:0031497(L=7),GO:0031570(L=6),GO:0031572(L=8),GO:0032501(L=1),GO:0032502(L=1),GO:0032774(L=5),GO:0032989(L=4),GO:0032990(L=5),GO:0033554(L=3),GO:0033993(L=4),GO:0034622(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0034728(L=5),GO:0035073(L=6),GO:0035075(L=5),GO:0035076(L=7),GO:0035210(L=5),GO:0036211(L=4),GO:0036314(L=4),GO:0036315(L=5),GO:0042221(L=2),GO:0042766(L=6),GO:0043170(L=3),GO:0043412(L=4),GO:0043543(L=6),GO:0043933(L=3),GO:0044085(L=2),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044271(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0044773(L=8),GO:0044774(L=7),GO:0045165(L=5),GO:0045168(L=5),GO:0045747(L=6),GO:0046331(L=7),GO:0046483(L=3),GO:0048468(L=5),GO:0048513(L=4),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048534(L=3),GO:0048583(L=3),GO:0048584(L=4),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051171(L=4),GO:0051252(L=5),GO:0051276(L=4),GO:0051716(L=2),GO:0051726(L=4),GO:0060255(L=4),GO:0065003(L=4),GO:0065004(L=6),GO:0065007(L=1),GO:0070887(L=3),GO:0071103(L=5),GO:0071310(L=4),GO:0071390(L=6),GO:0071396(L=5),GO:0071407(L=5),GO:0071704(L=2),GO:0071824(L=4),GO:0071840(L=1),GO:0080090(L=4),GO:0090304(L=4),GO:0097305(L=4),GO:0097306(L=5),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:1901654(L=4),GO:1901655(L=5),GO:1901700(L=3),GO:1901701(L=4),GO:1901987(L=6),GO:1901988(L=7),GO:1901990(L=6),GO:1901991(L=7),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0016589(L=8),GO:0031010(L=7),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),GO:0070603(L=6),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003824(L=1),GO:0004402(L=9),GO:0005102(L=3),GO:0005488(L=1),GO:0005515(L=2),GO:0008080(L=6),GO:0008270(L=6),GO:0016407(L=5),GO:0016410(L=5),GO:0016740(L=2),GO:0016746(L=3),GO:0016747(L=4),GO:0016922(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (PHD, Bromodomain, DDT), SMART (PHD, COIL, AT_hook, BROMO, DDT)	NA
TR245066|c1_g2_i1	5.97473607176995	-3.53966423723728e-08	0.00144269503824474	1.98347425578978e-06	0.0043569736117977	tr|A0A1B6EFX8|A0A1B6EFX8_9HEMI Thioredoxin domain-containing protein (Fragment) OS=Clastoptera arizonana OX=38151 GN=g.37544 PE=4 SV=1	clastoptera arizonana	No	FALSE	NA					Inherit from KOG: Protein disulfide isomerase		GO:0006457(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0019538(L=3),GO:0019725(L=3),GO:0042592(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0045454(L=4),GO:0050789(L=2),GO:0050794(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005623(L=1),GO:0005886(L=3),GO:0016020(L=1),GO:0044464(L=2),GO:0071944(L=3),	GO:0003674(L=0),GO:0003756(L=5),GO:0003824(L=1),GO:0016853(L=2),GO:0016860(L=3),GO:0016862(L=4),GO:0016864(L=4),	PFAM (Thioredoxin, HyaE), SMART (TRANS, COIL, SIGNAL)	NA
TR257549|c1_g1_i1	41.4218227136455	-1.00991796693983e-06	0.001442695173879	1.63115240520157e-06	0.0043569736117977				FALSE	NA											NA
TR268345|c1_g1_i1	42.3751025091306	1.44735088908008e-07	0.00144269503638216	1.58994400816878e-06	0.0043569736117977				FALSE	NA											NA
TR274112|c0_g3_i1	5.19575867239889	-3.90993664359845e-08	0.00144269503862014	1.91240960357162e-06	0.0043569736117977	XP_014285474.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				GFAT1	Glucosamine-fructose-6-phosphate aminotransferase	250,520,1100,1110	GO:0005975(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0016051(L=4),GO:0044238(L=2),GO:0044723(L=3),GO:0071704(L=2),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0004044(L=5),GO:0004360(L=6),GO:0005488(L=1),GO:0008483(L=4),GO:0016740(L=2),GO:0016757(L=3),GO:0016763(L=4),GO:0016769(L=3),GO:0030246(L=2),GO:0070548(L=5),	PFAM (SIS, GATase_2), SMART (COIL)	GFAT1
TR50958|c0_g1_i1	33.4816307075072	9.26800493191623e-08	0.00144269503712488	1.69202295487645e-06	0.0043569736117977				FALSE	NA											NA
TR217337|c0_g1_i1	34.7027654835633	5.78500764303199e-07	0.00144269497436304	4.2328843325947e-06	0.00826211989674345				FALSE	NA											hemiptericin
TR248164|c0_g1_i1	13.150543537513	-2.68183588905673	0.749536590564884	6.11695251577477e-06	0.0107456504844615				FALSE	NA											NA
