baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR219101|c0_g3_i1	7.46533542177257	-3.60435759654767e-07	0.00144269504856876	3.72673971149074e-05	0.457438665886931				FALSE	NA											NA
TR270866|c1_g3_i1	7.36455596037941	-5.12965427754067e-07	0.00144269506150721	2.66858540665129e-05	0.457438665886931				FALSE	NA											jockey RT
TR224117|c0_g1_i1	235.680709081253	-7.40147087975329e-07	0.00144269507889571	0.000144584036223595	0.929905702027689	XP_014291397.1 fatty acid synthase-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Fatty acid	61,1100,4910	GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0044710(L=2),GO:0055114(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005811(L=5),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0003960(L=5),GO:0004312(L=5),GO:0004313(L=6),GO:0004314(L=6),GO:0004315(L=6),GO:0004316(L=5),GO:0004317(L=6),GO:0004319(L=5),GO:0004320(L=7),GO:0005488(L=1),GO:0008270(L=6),GO:0016295(L=7),GO:0016296(L=7),GO:0016297(L=5),GO:0016407(L=5),GO:0016417(L=5),GO:0016418(L=6),GO:0016419(L=6),GO:0016420(L=5),GO:0016491(L=2),GO:0016614(L=3),GO:0016616(L=4),GO:0016627(L=3),GO:0016628(L=4),GO:0016651(L=3),GO:0016655(L=4),GO:0016740(L=2),GO:0016746(L=3),GO:0016747(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0016790(L=4),GO:0016829(L=2),GO:0016835(L=3),GO:0016836(L=4),GO:0019171(L=5),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0047451(L=6),	PFAM (KR, Ketoacyl-synt_C, ADH_zinc_N, adh_short, ketoacyl-synt, Acyl_transf_1, Thioesterase, PP-binding, Thiolase_N), SMART (PKS_ER, PKS_KR, PKS_KS)	NA
TR229884|c0_g1_i1	11.4198482937827	-1.05302353238475e-06	0.00144269512404714	0.000204948803782778	0.929905702027689	XP_014275328.1 alanine--tRNA ligase, mitochondrial isoform X2 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					tRNA synthetases class II (A)	970	GO:0006082(L=3),GO:0006139(L=3),GO:0006399(L=7),GO:0006412(L=5),GO:0006418(L=6),GO:0006419(L=7),GO:0006520(L=3),GO:0006725(L=3),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0016070(L=4),GO:0019538(L=3),GO:0019752(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034660(L=5),GO:0043038(L=4),GO:0043039(L=5),GO:0043170(L=3),GO:0043436(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044281(L=3),GO:0044710(L=2),GO:0046483(L=3),GO:0071704(L=2),GO:0090304(L=4),GO:1901360(L=3),GO:1901564(L=3),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003824(L=1),GO:0004812(L=5),GO:0004813(L=6),GO:0005488(L=1),GO:0005524(L=7),GO:0016874(L=2),GO:0016875(L=3),GO:0016876(L=4),GO:0017076(L=4),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (tRNA-synt_2c, tRNA_SAD), SMART (COIL, tRNA_SAD)	NA
TR283220|c5_g1_i1	2.07589707221942	-3.4166018130811e-07	0.00144269504698784	0.000227277453752338	0.929905702027689	tr|A0A2R7WTM6|A0A2R7WTM6_ONCFA SWIM-type domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS014419 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA				ZSWIM7	zinc finger, SWIM-type containing 7		GO:0000724(L=7),GO:0000725(L=7),GO:0006139(L=3),GO:0006259(L=4),GO:0006281(L=5),GO:0006302(L=7),GO:0006310(L=5),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0010468(L=5),GO:0010608(L=6),GO:0019222(L=3),GO:0031647(L=3),GO:0033554(L=3),GO:0034641(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0050789(L=2),GO:0050821(L=4),GO:0050896(L=1),GO:0051716(L=2),GO:0060255(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0071704(L=2),GO:0090304(L=4),GO:1901360(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044424(L=3),GO:0044464(L=2),GO:0097196(L=3),	GO:0003674(L=0),GO:0005488(L=1),GO:0008270(L=6),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),	PFAM (SWIM)	NA
TR284386|c1_g1_i1	205.278654145917	-4.35913122899169e-07	0.00144269505321283	0.00019402933803737	0.929905702027689				FALSE	NA											NA
TR100010|c0_g1_i1	3.74073421647491	1.12789848221776e-07	0.00144269503082713	0.172494551673953	0.990466558888807				FALSE	NA											NA
TR100248|c0_g1_i1	3.14006597138141	-3.50860745292948e-08	0.00144269502948181	0.654477438301662	0.990466558888807				FALSE	NA											NA
TR100409|c0_g1_i1	3.39149528225521	4.06718404132169e-08	0.00144269502763423	0.645303729871536	0.990466558888807				FALSE	NA											NA
TR100511|c0_g1_i1	1.99819802054574	-1.22967616755631e-07	0.00144269502965818	0.255269602972501	0.990466558888807				FALSE	NA											NA
