baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR235318|c17_g1_i1	299.263588749987	3.17490024296059	0.148029226257808	3.26402652126669e-104	5.32962350296954e-100	XP_014285187.1 zinc finger protein 135 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Zinc finger protein				GO:0003674(L=0),GO:0003676(L=3),GO:0005488(L=1),GO:0008270(L=6),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (zf-C2H2), SMART (ZnF_C2H2, COIL)	ZnF135
TR243272|c2_g1_i1	1390.18011756618	6.42332696981951	0.348804783801407	2.9648069779884e-101	2.28231107679758e-97	XP_014284945.1 heat shock protein 83 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				HSP90AA1	Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function	4141,4151,4612,4621,4626,4914,4915,5200,5215	GO:0000086(L=5),GO:0000278(L=4),GO:0000902(L=5),GO:0000904(L=5),GO:0001764(L=7),GO:0002682(L=3),GO:0002684(L=4),GO:0002694(L=4),GO:0002696(L=5),GO:0003008(L=2),GO:0003009(L=6),GO:0003012(L=3),GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006457(L=2),GO:0006461(L=5),GO:0006605(L=6),GO:0006626(L=7),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006809(L=4),GO:0006810(L=3),GO:0006839(L=4),GO:0006886(L=5),GO:0006915(L=5),GO:0006928(L=3),GO:0006935(L=3),GO:0006936(L=4),GO:0006937(L=6),GO:0006941(L=5),GO:0006942(L=7),GO:0006950(L=2),GO:0006970(L=3),GO:0006986(L=4),GO:0006996(L=3),GO:0007005(L=4),GO:0007006(L=4),GO:0007008(L=6),GO:0007049(L=3),GO:0007154(L=2),GO:0007165(L=3),GO:0007275(L=3),GO:0007399(L=5),GO:0007409(L=7),GO:0007411(L=7),GO:0008016(L=6),GO:0008104(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0008361(L=4),GO:0009056(L=2),GO:0009058(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009266(L=3),GO:0009408(L=3),GO:0009605(L=2),GO:0009628(L=2),GO:0009651(L=4),GO:0009653(L=3),GO:0009719(L=2),GO:0009725(L=3),GO:0009889(L=4),GO:0009891(L=5),GO:0009893(L=4),GO:0009987(L=1),GO:0010033(L=3),GO:0010591(L=6),GO:0010592(L=6),GO:0010657(L=6),GO:0010658(L=7),GO:0010659(L=8),GO:0012501(L=4),GO:0014070(L=4),GO:0015031(L=4),GO:0016043(L=2),GO:0016265(L=-1),GO:0016477(L=4),GO:0016482(L=4),GO:0017038(L=4),GO:0019222(L=3),GO:0019439(L=4),GO:0019538(L=3),GO:0019637(L=3),GO:0019693(L=4),GO:0022008(L=5),GO:0022402(L=4),GO:0022607(L=3),GO:0023052(L=1),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0031175(L=5),GO:0031323(L=4),GO:0031325(L=5),GO:0031326(L=5),GO:0031328(L=6),GO:0031344(L=5),GO:0031346(L=6),GO:0032386(L=5),GO:0032388(L=6),GO:0032501(L=1),GO:0032502(L=1),GO:0032535(L=3),GO:0032768(L=5),GO:0032879(L=3),GO:0032880(L=4),GO:0032989(L=4),GO:0032990(L=5),GO:0033036(L=2),GO:0033157(L=6),GO:0033158(L=8),GO:0033160(L=7),GO:0033365(L=5),GO:0033993(L=4),GO:0034613(L=4),GO:0034622(L=5),GO:0034641(L=3),GO:0034655(L=4),GO:0035966(L=3),GO:0040011(L=1),GO:0042026(L=3),GO:0042221(L=2),GO:0042278(L=5),GO:0042306(L=7),GO:0042330(L=3),GO:0042454(L=7),GO:0043170(L=3),GO:0043623(L=6),GO:0043627(L=2),GO:0043933(L=3),GO:0044057(L=4),GO:0044085(L=2),GO:0044087(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044249(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044270(L=4),GO:0044271(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044710(L=2),GO:0044743(L=7),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0044770(L=5),GO:0044772(L=5),GO:0045040(L=8),GO:0045184(L=4),GO:0045428(L=6),GO:0045429(L=7),GO:0045580(L=8),GO:0045582(L=8),GO:0045583(L=8),GO:0045585(L=9),GO:0045595(L=5),GO:0045597(L=5),GO:0045619(L=6),GO:0045621(L=7),GO:0045793(L=5),GO:0045933(L=7),GO:0045989(L=8),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046209(L=4),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0046822(L=7),GO:0046907(L=3),GO:0048468(L=5),GO:0048518(L=3),GO:0048522(L=4),GO:0048545(L=4),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0048870(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050793(L=3),GO:0050794(L=3),GO:0050863(L=6),GO:0050865(L=4),GO:0050867(L=5),GO:0050870(L=7),GO:0050879(L=3),GO:0050881(L=4),GO:0050896(L=1),GO:0050999(L=6),GO:0051049(L=4),GO:0051050(L=4),GO:0051094(L=4),GO:0051128(L=4),GO:0051130(L=5),GO:0051131(L=7),GO:0051171(L=4),GO:0051173(L=5),GO:0051179(L=1),GO:0051222(L=6),GO:0051223(L=5),GO:0051234(L=2),GO:0051239(L=3),GO:0051240(L=4),GO:0051249(L=5),GO:0051251(L=6),GO:0051341(L=4),GO:0051641(L=2),GO:0051649(L=3),GO:0051674(L=2),GO:0051716(L=2),GO:0055085(L=4),GO:0055086(L=3),GO:0055117(L=8),GO:0060341(L=4),GO:0060452(L=8),GO:0060491(L=5),GO:0061024(L=3),GO:0061564(L=8),GO:0065002(L=6),GO:0065003(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0070201(L=5),GO:0070271(L=3),GO:0070585(L=6),GO:0070727(L=3),GO:0071702(L=4),GO:0071704(L=2),GO:0071806(L=5),GO:0071822(L=4),GO:0071840(L=1),GO:0072521(L=4),GO:0072523(L=5),GO:0072594(L=6),GO:0072655(L=7),GO:0090066(L=3),GO:0090257(L=5),GO:0090316(L=7),GO:0097285(L=-1),GO:0097485(L=4),GO:1900180(L=7),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),GO:1902105(L=6),GO:1902107(L=6),GO:2000026(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005829(L=4),GO:0005886(L=3),GO:0005903(L=4),GO:0009986(L=3),GO:0016020(L=1),GO:0016323(L=3),GO:0016324(L=3),GO:0031012(L=2),GO:0031253(L=3),GO:0031410(L=4),GO:0031526(L=4),GO:0031982(L=3),GO:0032991(L=1),GO:0042470(L=7),GO:0042995(L=3),GO:0043005(L=4),GO:0043025(L=4),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044297(L=3),GO:0044424(L=3),GO:0044425(L=2),GO:0044444(L=4),GO:0044459(L=3),GO:0044463(L=3),GO:0044464(L=2),GO:0045177(L=3),GO:0048471(L=5),GO:0048770(L=6),GO:0071944(L=3),GO:0097458(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0001884(L=4),GO:0002134(L=4),GO:0002135(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003729(L=6),GO:0003824(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0005525(L=7),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016887(L=7),GO:0017076(L=4),GO:0017111(L=6),GO:0019001(L=5),GO:0019103(L=4),GO:0019904(L=3),GO:0030234(L=2),GO:0030235(L=3),GO:0030554(L=5),GO:0030911(L=4),GO:0032549(L=4),GO:0032550(L=5),GO:0032551(L=5),GO:0032552(L=3),GO:0032553(L=3),GO:0032554(L=4),GO:0032555(L=4),GO:0032557(L=4),GO:0032558(L=6),GO:0032559(L=6),GO:0032561(L=6),GO:0032564(L=4),GO:0035639(L=4),GO:0036094(L=2),GO:0042802(L=3),GO:0042803(L=4),GO:0043167(L=2),GO:0043168(L=3),GO:0046983(L=3),GO:0051082(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (HSP90, HATPase_c), SMART (COIL, HATPase_c)	hsp90
TR222053|c0_g1_i1	132.014017590251	5.02670889592707	0.238523310275098	2.03186448376589e-100	1.13201975440222e-96	tr|A0A146LGM9|A0A146LGM9_LYGHE TRAF3-interacting protein 1 (Fragment) OS=Lygus hesperus OX=30085 GN=traf3ip1_1 PE=4 SV=1	lygus hesperus	No	FALSE	NA				TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1		GO:0000902(L=5),GO:0001655(L=5),GO:0001822(L=5),GO:0006996(L=3),GO:0007275(L=3),GO:0008150(L=0),GO:0009653(L=3),GO:0009987(L=1),GO:0010927(L=3),GO:0016043(L=2),GO:0022607(L=3),GO:0030030(L=3),GO:0030031(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0032989(L=4),GO:0032990(L=5),GO:0044085(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0044782(L=4),GO:0048513(L=4),GO:0048646(L=3),GO:0048731(L=4),GO:0048793(L=7),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0060271(L=5),GO:0070925(L=4),GO:0071840(L=1),GO:0072001(L=5),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005856(L=5),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0044424(L=3),GO:0044464(L=2),		PFAM (MIP-T3), SMART (COIL)	TRAF3IP1
TR274047|c1_g3_i2	243.48425786491	3.05352501486415	0.153233125747108	6.17450049331658e-90	2.52076114068918e-86	XP_014288811.1 structural maintenance of chromosomes protein 4 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					structural maintenance of chromosomes protein	4111	GO:0000070(L=5),GO:0000226(L=4),GO:0000278(L=4),GO:0000280(L=5),GO:0000819(L=6),GO:0006139(L=3),GO:0006259(L=4),GO:0006281(L=5),GO:0006310(L=5),GO:0006323(L=6),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007010(L=4),GO:0007017(L=3),GO:0007049(L=3),GO:0007051(L=5),GO:0007052(L=5),GO:0007059(L=3),GO:0007062(L=5),GO:0007067(L=5),GO:0007076(L=5),GO:0007275(L=3),GO:0007399(L=5),GO:0007422(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0016043(L=2),GO:0022402(L=4),GO:0030261(L=7),GO:0032501(L=1),GO:0032502(L=1),GO:0033554(L=3),GO:0034641(L=3),GO:0043170(L=3),GO:0043933(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0046483(L=3),GO:0048285(L=4),GO:0048731(L=4),GO:0048856(L=2),GO:0050896(L=1),GO:0051276(L=4),GO:0051716(L=2),GO:0055114(L=3),GO:0071103(L=5),GO:0071704(L=2),GO:0071822(L=4),GO:0071840(L=1),GO:0090304(L=4),GO:1901360(L=3),	GO:0000785(L=5),GO:0000793(L=5),GO:0000796(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005694(L=4),GO:0005737(L=4),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044427(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003824(L=1),GO:0005488(L=1),GO:0005524(L=7),GO:0016491(L=2),GO:0017076(L=4),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (SMC_N, SMC_hinge), SMART (COIL, SMC_hinge)	SMC4
TR207117|c0_g1_i1	87.2553649236414	5.26946421177801	0.269646915987109	4.78139239708647e-89	1.92445006314851e-85	tr|A0A2R7WLL6|A0A2R7WLL6_ONCFA T-complex protein 1 subunit gamma OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS008547 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA				CCT3	Chaperonin containing Tcp1, subunit 3 (Gamma)		GO:0000003(L=1),GO:0006457(L=2),GO:0006458(L=3),GO:0007338(L=5),GO:0007339(L=6),GO:0008037(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009566(L=3),GO:0009987(L=1),GO:0009988(L=4),GO:0019538(L=3),GO:0019953(L=2),GO:0022414(L=2),GO:0032501(L=1),GO:0035036(L=5),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0048610(L=-1),GO:0051084(L=4),GO:0071704(L=2),	GO:0002199(L=3),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005829(L=4),GO:0005832(L=6),GO:0005856(L=5),GO:0005874(L=6),GO:0005886(L=3),GO:0015630(L=6),GO:0016020(L=1),GO:0032991(L=1),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043234(L=2),GO:0044297(L=3),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044445(L=5),GO:0044446(L=3),GO:0044464(L=2),GO:0071944(L=3),GO:0097223(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0017076(L=4),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0051082(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Cpn60_TCP1)	CCT3
TR284695|c0_g1_i2	74.4991186354279	4.73776319168989	0.241501208572043	5.30340333856896e-87	1.4200413851131e-83	XP_014279300.1 apical junction molecule [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											NA
TR197681|c0_g1_i1	97.9854140526044	5.88811972531337	0.314450428220607	4.15455863001494e-83	9.6920737267665e-80	XP_024217279.1 coiled-coil domain-containing protein 39 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from opiNOG: coiled-coil domain containing 39					SMART (COIL)	CCDC39
TR214409|c0_g1_i1	89.1075566309457	6.07144020985043	0.33090576095319	1.0337692924748e-81	2.07601857372037e-78	XP_014284523.1 uncharacterized protein LOC106685977 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											NA
TR57926|c0_g1_i1	68.131385924038	5.79310921847986	0.308478518886192	4.22470741986914e-81	7.54139558219029e-78	XP_014279637.1 uncharacterized protein LOC106682975 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											NA
TR205281|c0_g1_i2	93.7621642939252	4.53233420003661	0.245613496820543	1.284101342023e-80	2.14624759294516e-77	XP_014293734.1 chromosome-associated kinesin KIF4 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					FHA		GO:0000003(L=1),GO:0000070(L=5),GO:0000278(L=4),GO:0000280(L=5),GO:0000819(L=6),GO:0003006(L=2),GO:0006139(L=3),GO:0006259(L=4),GO:0006323(L=6),GO:0006725(L=3),GO:0006807(L=2),GO:0006928(L=3),GO:0006996(L=3),GO:0007017(L=3),GO:0007018(L=4),GO:0007049(L=3),GO:0007059(L=3),GO:0007067(L=5),GO:0007076(L=5),GO:0007126(L=4),GO:0007275(L=3),GO:0007276(L=3),GO:0007292(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0009790(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0019953(L=2),GO:0022402(L=4),GO:0022412(L=3),GO:0022414(L=2),GO:0030154(L=4),GO:0030261(L=7),GO:0030707(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0034641(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045448(L=5),GO:0046483(L=3),GO:0048285(L=4),GO:0048468(L=5),GO:0048477(L=4),GO:0048609(L=3),GO:0048610(L=-1),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051276(L=4),GO:0051321(L=3),GO:0051726(L=4),GO:0065007(L=1),GO:0071103(L=5),GO:0071704(L=2),GO:0071840(L=1),GO:0090304(L=4),GO:1901360(L=3),	GO:0000785(L=5),GO:0000792(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005694(L=4),GO:0005856(L=5),GO:0005871(L=7),GO:0005874(L=6),GO:0005875(L=6),GO:0015630(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044427(L=5),GO:0044430(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003682(L=3),GO:0003774(L=7),GO:0003777(L=8),GO:0003824(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0008017(L=5),GO:0008092(L=3),GO:0008157(L=6),GO:0008574(L=8),GO:0015631(L=4),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0017076(L=4),GO:0017111(L=6),GO:0019899(L=3),GO:0019902(L=4),GO:0019903(L=5),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Kinesin, FHA), SMART (COIL, FHA, KISc)	KIF4
