baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR280683|c0_g1_i2	1.24956417264163	2.98555001618111e-07	0.00144269501932634	6.30615438781537e-16	3.44347560346658e-11	XP_014285941.1 adenylate cyclase type 9 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Adenylate cyclase	230,4020,4062,4114,4270,4540,4713,4723,4724,4725,4727,4911,4912,4913,4914,4915,4916,4961,4962,4970,4971,4972,4976,5032,5110,5166,5414	GO:0006139(L=3),GO:0006163(L=5),GO:0006164(L=7),GO:0006171(L=8),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0007154(L=2),GO:0007165(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009117(L=5),GO:0009150(L=6),GO:0009152(L=7),GO:0009165(L=5),GO:0009187(L=7),GO:0009190(L=7),GO:0009259(L=5),GO:0009260(L=7),GO:0009987(L=1),GO:0018130(L=4),GO:0019438(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0023052(L=1),GO:0034641(L=3),GO:0034654(L=4),GO:0035556(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044271(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0046058(L=7),GO:0046390(L=5),GO:0046483(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0052652(L=7),GO:0055086(L=3),GO:0065007(L=1),GO:0071704(L=2),GO:0072521(L=4),GO:0072522(L=5),GO:0090407(L=4),GO:1901135(L=3),GO:1901137(L=4),GO:1901293(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901564(L=3),GO:1901566(L=4),GO:1901576(L=3),	GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),	GO:0000166(L=3),GO:0003674(L=0),GO:0003824(L=1),GO:0004016(L=3),GO:0005488(L=1),GO:0009975(L=2),GO:0016829(L=2),GO:0016849(L=3),GO:0036094(L=2),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Guanylate_cyc), SMART (TRANS, CYCc, COIL)	NA
TR238154|c5_g2_i2	4.36508523531116	-2.71957604709619e-07	0.00144269503531383	2.53646673924685e-14	1.46467996574861e-09				FALSE	NA											NA
TR223244|c3_g3_i4	0.912538425001934	1.48005066281004e-07	0.0014426950148545	8.97491043569586e-14	1.63358328113724e-09	XP_014275489.1 embryonic polarity protein dorsal-like isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				DL	Embryonic polarity		GO:0000003(L=1),GO:0000122(L=8),GO:0000381(L=9),GO:0000578(L=6),GO:0001703(L=7),GO:0001704(L=5),GO:0001705(L=5),GO:0001707(L=5),GO:0001708(L=5),GO:0001710(L=6),GO:0001712(L=6),GO:0001715(L=7),GO:0002376(L=1),GO:0002682(L=3),GO:0002697(L=4),GO:0002700(L=5),GO:0002759(L=6),GO:0002784(L=6),GO:0002786(L=7),GO:0002805(L=7),GO:0002807(L=8),GO:0002808(L=8),GO:0002813(L=9),GO:0002831(L=4),GO:0002920(L=5),GO:0003002(L=5),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006357(L=8),GO:0006366(L=6),GO:0006582(L=3),GO:0006725(L=3),GO:0006807(L=2),GO:0006928(L=3),GO:0006950(L=2),GO:0006952(L=3),GO:0006955(L=2),GO:0006963(L=8),GO:0006964(L=10),GO:0007154(L=2),GO:0007165(L=3),GO:0007166(L=4),GO:0007275(L=3),GO:0007276(L=3),GO:0007350(L=6),GO:0007351(L=7),GO:0007369(L=6),GO:0007389(L=4),GO:0007398(L=4),GO:0007399(L=5),GO:0007417(L=5),GO:0007419(L=5),GO:0007422(L=5),GO:0007498(L=4),GO:0007501(L=7),GO:0007507(L=5),GO:0008063(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008354(L=4),GO:0008358(L=9),GO:0008595(L=6),GO:0009058(L=2),GO:0009059(L=4),GO:0009653(L=3),GO:0009790(L=4),GO:0009798(L=5),GO:0009880(L=5),GO:0009888(L=3),GO:0009889(L=4),GO:0009890(L=5),GO:0009891(L=5),GO:0009892(L=4),GO:0009893(L=4),GO:0009948(L=6),GO:0009950(L=6),GO:0009952(L=6),GO:0009953(L=6),GO:0009987(L=1),GO:0010004(L=8),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0010557(L=6),GO:0010558(L=6),GO:0010604(L=5),GO:0010605(L=5),GO:0010628(L=6),GO:0010629(L=6),GO:0010668(L=5),GO:0016070(L=4),GO:0016477(L=4),GO:0018130(L=4),GO:0018958(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0019748(L=3),GO:0019953(L=2),GO:0022008(L=5),GO:0022412(L=3),GO:0022414(L=2),GO:0023052(L=1),GO:0030154(L=4),GO:0030182(L=7),GO:0031323(L=4),GO:0031324(L=5),GO:0031325(L=5),GO:0031326(L=5),GO:0031327(L=6),GO:0031328(L=6),GO:0031347(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032774(L=5),GO:0034248(L=5),GO:0034250(L=6),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0035006(L=4),GO:0035206(L=4),GO:0035282(L=6),GO:0040011(L=1),GO:0042127(L=4),GO:0042386(L=2),GO:0042387(L=3),GO:0042440(L=3),GO:0043170(L=3),GO:0043484(L=8),GO:0043900(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044702(L=3),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045087(L=3),GO:0045165(L=5),GO:0045892(L=8),GO:0045893(L=8),GO:0045934(L=6),GO:0045935(L=6),GO:0045944(L=8),GO:0046483(L=3),GO:0048024(L=8),GO:0048332(L=5),GO:0048333(L=5),GO:0048468(L=5),GO:0048513(L=4),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048583(L=3),GO:0048598(L=5),GO:0048609(L=3),GO:0048610(L=-1),GO:0048646(L=3),GO:0048666(L=6),GO:0048699(L=7),GO:0048729(L=4),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),GO:0048870(L=3),GO:0048934(L=6),GO:0048935(L=7),GO:0050684(L=8),GO:0050776(L=4),GO:0050789(L=2),GO:0050793(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051171(L=4),GO:0051172(L=5),GO:0051173(L=5),GO:0051179(L=1),GO:0051239(L=3),GO:0051252(L=5),GO:0051253(L=6),GO:0051254(L=6),GO:0051674(L=2),GO:0051716(L=2),GO:0060255(L=4),GO:0060795(L=5),GO:0065007(L=1),GO:0071704(L=2),GO:0072358(L=5),GO:0072359(L=5),GO:0080090(L=4),GO:0080134(L=4),GO:0090304(L=4),GO:1900424(L=6),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:1901615(L=3),GO:2000112(L=6),GO:2000113(L=7),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005737(L=4),GO:0031594(L=2),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),GO:0045202(L=1),	GO:0000975(L=5),GO:0000976(L=7),GO:0000977(L=8),GO:0000981(L=3),GO:0000982(L=4),GO:0001012(L=7),GO:0001067(L=4),GO:0001071(L=1),GO:0001077(L=5),GO:0001228(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003700(L=2),GO:0005488(L=1),GO:0005515(L=2),GO:0008134(L=3),GO:0016015(L=1),GO:0019955(L=3),GO:0043565(L=5),GO:0044212(L=6),GO:0070379(L=4),GO:0070491(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (RHD), SMART (IPT, COIL)	Dorsal
TR235193|c2_g1_i1	0.787164732902619	6.08537962444413e-08	0.00144269502345542	3.10451727437439e-13	8.90279673280876e-09	XP_024217355.1 actin-binding Rho-activating protein-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from biNOG: actin-binding Rho activating protein					SMART (COIL, SIGNAL)	NA
TR235695|c2_g2_i4	0.133751092877216	-1.48369136711633e-07	0.00144269503884786	2.59833393009438e-11	5.94542953114184e-07	XP_014289821.1 phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					3-kinase catalytic subunit	562,4012,4062,4066,4070,4150,4151,4210,4370,4380,4510,4620,4630,4650,4660,4662,4664,4666,4668,4670,4722,4725,4810,4910,4914,4915,4930,4960,4973,5100,5142,5145,5146,5160,5161,5162,5164,5166,5169,5200,5203,5205,5210,5211,5212,5213,5214,5215,5218,5220,5221,5222,5223	GO:0000003(L=1),GO:0000902(L=5),GO:0000904(L=5),GO:0001558(L=4),GO:0001700(L=6),GO:0002164(L=4),GO:0002165(L=4),GO:0002168(L=5),GO:0003008(L=2),GO:0006417(L=7),GO:0006629(L=3),GO:0006644(L=4),GO:0006650(L=5),GO:0006661(L=7),GO:0006793(L=3),GO:0006796(L=4),GO:0006914(L=2),GO:0006950(L=2),GO:0006979(L=3),GO:0007154(L=2),GO:0007165(L=3),GO:0007166(L=4),GO:0007167(L=5),GO:0007169(L=6),GO:0007267(L=3),GO:0007268(L=7),GO:0007275(L=3),GO:0007276(L=3),GO:0007292(L=5),GO:0007390(L=7),GO:0007399(L=5),GO:0007416(L=5),GO:0007431(L=5),GO:0007435(L=5),GO:0007436(L=6),GO:0007517(L=6),GO:0007519(L=6),GO:0007528(L=4),GO:0007552(L=4),GO:0007610(L=1),GO:0007631(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0008286(L=7),GO:0008361(L=4),GO:0008610(L=4),GO:0008654(L=4),GO:0009056(L=2),GO:0009058(L=2),GO:0009653(L=3),GO:0009719(L=2),GO:0009725(L=3),GO:0009790(L=4),GO:0009791(L=4),GO:0009792(L=5),GO:0009886(L=4),GO:0009888(L=3),GO:0009889(L=4),GO:0009891(L=5),GO:0009893(L=4),GO:0009966(L=4),GO:0009968(L=5),GO:0009987(L=1),GO:0010033(L=3),GO:0010243(L=3),GO:0010468(L=5),GO:0010556(L=5),GO:0010557(L=6),GO:0010604(L=5),GO:0010608(L=6),GO:0010646(L=4),GO:0010648(L=5),GO:0010975(L=9),GO:0014706(L=5),GO:0016043(L=2),GO:0016049(L=2),GO:0016310(L=5),GO:0016358(L=8),GO:0019222(L=3),GO:0019226(L=4),GO:0019637(L=3),GO:0019953(L=2),GO:0021700(L=3),GO:0022008(L=5),GO:0022414(L=2),GO:0022607(L=3),GO:0022611(L=2),GO:0022612(L=4),GO:0023051(L=3),GO:0023052(L=1),GO:0023057(L=4),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0030258(L=4),GO:0030307(L=5),GO:0030536(L=3),GO:0030537(L=3),GO:0031175(L=5),GO:0031323(L=4),GO:0031325(L=5),GO:0031326(L=5),GO:0031328(L=6),GO:0031344(L=5),GO:0031644(L=5),GO:0032268(L=5),GO:0032270(L=6),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032535(L=3),GO:0032868(L=5),GO:0032869(L=6),GO:0032870(L=4),GO:0032989(L=4),GO:0032990(L=5),GO:0035272(L=5),GO:0035556(L=4),GO:0035637(L=3),GO:0036092(L=8),GO:0040007(L=1),GO:0040008(L=3),GO:0040014(L=4),GO:0042058(L=8),GO:0042059(L=8),GO:0042127(L=4),GO:0042221(L=2),GO:0042692(L=5),GO:0043434(L=4),GO:0044057(L=4),GO:0044085(L=2),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044249(L=3),GO:0044255(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044702(L=3),GO:0044707(L=2),GO:0044708(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045017(L=4),GO:0045570(L=6),GO:0045572(L=7),GO:0045595(L=5),GO:0045664(L=8),GO:0045727(L=7),GO:0045793(L=5),GO:0045927(L=4),GO:0046474(L=5),GO:0046486(L=4),GO:0046488(L=7),GO:0046620(L=4),GO:0046622(L=6),GO:0046834(L=5),GO:0046854(L=7),GO:0048015(L=6),GO:0048017(L=5),GO:0048167(L=5),GO:0048168(L=6),GO:0048169(L=8),GO:0048468(L=5),GO:0048477(L=4),GO:0048513(L=4),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048583(L=3),GO:0048585(L=4),GO:0048589(L=2),GO:0048598(L=5),GO:0048609(L=3),GO:0048638(L=4),GO:0048639(L=5),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048732(L=6),GO:0048741(L=7),GO:0048747(L=7),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050767(L=7),GO:0050773(L=10),GO:0050789(L=2),GO:0050793(L=3),GO:0050794(L=3),GO:0050803(L=3),GO:0050804(L=8),GO:0050807(L=5),GO:0050808(L=3),GO:0050877(L=3),GO:0050896(L=1),GO:0051094(L=4),GO:0051124(L=7),GO:0051128(L=4),GO:0051146(L=6),GO:0051239(L=3),GO:0051240(L=4),GO:0051246(L=5),GO:0051247(L=6),GO:0051716(L=2),GO:0051823(L=6),GO:0051960(L=5),GO:0051969(L=5),GO:0055001(L=6),GO:0055002(L=7),GO:0055115(L=3),GO:0060074(L=5),GO:0060255(L=4),GO:0060284(L=5),GO:0060537(L=4),GO:0060538(L=7),GO:0061061(L=3),GO:0065007(L=1),GO:0065008(L=2),GO:0070887(L=3),GO:0071310(L=4),GO:0071375(L=5),GO:0071417(L=4),GO:0071495(L=3),GO:0071704(L=2),GO:0071840(L=1),GO:0080090(L=4),GO:0090066(L=3),GO:0090407(L=4),GO:1901184(L=7),GO:1901185(L=7),GO:1901576(L=3),GO:1901652(L=4),GO:1901653(L=5),GO:1901698(L=3),GO:1901699(L=4),GO:1901700(L=3),GO:1901701(L=4),GO:2000026(L=4),GO:2000112(L=6),GO:2000377(L=5),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005829(L=4),GO:0005942(L=3),GO:0005943(L=5),GO:0032991(L=1),GO:0043234(L=2),GO:0044424(L=3),GO:0044444(L=4),GO:0044445(L=5),GO:0044464(L=2),	GO:0000166(L=3),GO:0001727(L=5),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0016301(L=4),GO:0016303(L=6),GO:0016307(L=5),GO:0016740(L=2),GO:0016772(L=3),GO:0016773(L=4),GO:0017076(L=4),GO:0017124(L=4),GO:0019904(L=3),GO:0030554(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035004(L=5),GO:0035005(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0046934(L=6),GO:0052742(L=5),GO:0052813(L=5),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (PI3_PI4_kinase, PI3Ka, PI3K_rbd, PI3K_C2, PI3K_p85B), SMART (PI3Ka, PI3Kc, PI3K_C2, PI3K_rbd, PI3K_p85B, COIL)	PI3K
TR221483|c3_g2_i1	32.6306918479069	-1.97315000509934e-05	0.00144273496027554	7.68184219287206e-06	0.0699111654902964	tr|T1HPR5|T1HPR5_RHOPR MFS domain-containing protein (Fragment) OS=Rhodnius prolixus OX=13249 PE=4 SV=1	rhodnius prolixus	No	FALSE	NA				STL1	Sugar transporter		GO:0006810(L=3),GO:0006811(L=4),GO:0006812(L=5),GO:0006818(L=4),GO:0008150(L=0),GO:0008643(L=4),GO:0009987(L=1),GO:0015672(L=6),GO:0015791(L=6),GO:0015793(L=6),GO:0015850(L=4),GO:0015992(L=7),GO:0034220(L=5),GO:0044699(L=1),GO:0044763(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),GO:0071702(L=4),	GO:0005575(L=0),GO:0005623(L=1),GO:0005886(L=3),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),GO:0044464(L=2),GO:0071944(L=3),	GO:0003674(L=0),GO:0005215(L=1),GO:0008324(L=5),GO:0015075(L=4),GO:0015291(L=4),GO:0015293(L=5),GO:0015294(L=6),GO:0015295(L=7),GO:0022804(L=3),GO:0022857(L=2),GO:0022891(L=3),GO:0022892(L=2),	PFAM (MFS_1, Sugar_tr), SMART (TRANS)	STL1
TR103016|c0_g1_i1	9.76390185537567	1.87742331116909	1.06412602964486	1.62362947687187e-05	0.0858073064819187				FALSE	NA											NA
TR227346|c2_g1_i2	52.6204970865365	0.991169605108073	0.298103471110511	3.52085726510775e-05	0.130142073463161	XP_014283449.1 LON peptidase N-terminal domain and RING finger protein 2 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					ATP-dependent protease La (LON) domain		GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006508(L=4),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009987(L=1),GO:0019439(L=4),GO:0019538(L=3),GO:0019637(L=3),GO:0019693(L=4),GO:0034641(L=3),GO:0034655(L=4),GO:0042278(L=5),GO:0042454(L=7),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044270(L=4),GO:0044281(L=3),GO:0044710(L=2),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0055086(L=3),GO:0071704(L=2),GO:0072521(L=4),GO:0072523(L=5),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),		GO:0003674(L=0),GO:0003824(L=1),GO:0004176(L=5),GO:0005488(L=1),GO:0008233(L=3),GO:0008270(L=6),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016887(L=7),GO:0017111(L=6),GO:0042623(L=8),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0070011(L=4),	PFAM (LON, zf-C3HC4), SMART (RING, TPR, COIL, TRANS)	NA
TR235669|c8_g13_i9	7.26259440375943	2.42369004566218e-06	0.00144269407587185	1.95257811559009e-05	0.130142073463161				FALSE	NA											NA
TR252663|c0_g1_i2	4.65084524959294	1.08723349294077	0.324296511687931	2.29373501474232e-05	0.130142073463161	XP_041985107.1 transcription factor SOX-4-like isoform X2 [Aricia agestis]	aricia agestis	No	FALSE	NA				SOX14	HMG (high mobility group) box		GO:0000902(L=5),GO:0000904(L=5),GO:0006355(L=7),GO:0006357(L=8),GO:0007275(L=3),GO:0007399(L=5),GO:0007552(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009653(L=3),GO:0009889(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010556(L=5),GO:0016043(L=2),GO:0016322(L=8),GO:0016358(L=8),GO:0019219(L=5),GO:0019222(L=3),GO:0021700(L=3),GO:0022008(L=5),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0031175(L=5),GO:0031323(L=4),GO:0031326(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032989(L=4),GO:0032990(L=5),GO:0042551(L=5),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048468(L=5),GO:0048469(L=4),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0055114(L=3),GO:0060255(L=4),GO:0065007(L=1),GO:0071840(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0001071(L=1),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003700(L=2),GO:0003824(L=1),GO:0005488(L=1),GO:0008301(L=5),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0032440(L=5),GO:0043565(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (HMG_box), SMART (HMG)	SOX14
