baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR219566|c0_g1_i1	98.981845493742	2.87272996657937	0.0863597265200847	1.22043939789425e-242	1.29953222113922e-237	tr|R4WJT1|R4WJT1_RIPPE 5-aminolevulinate synthase OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				ALAS	5-aminolevulinate synthase	260,860,1100	GO:0006725(L=3),GO:0006778(L=4),GO:0006779(L=5),GO:0006783(L=4),GO:0006807(L=2),GO:0007275(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009987(L=1),GO:0018130(L=4),GO:0019438(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0033013(L=4),GO:0033014(L=5),GO:0034641(L=3),GO:0040003(L=5),GO:0042168(L=3),GO:0042335(L=4),GO:0042440(L=3),GO:0044237(L=2),GO:0044249(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044767(L=2),GO:0046148(L=4),GO:0046483(L=3),GO:0048856(L=2),GO:0051186(L=3),GO:0051188(L=4),GO:0071704(L=2),GO:1901360(L=3),GO:1901362(L=4),GO:1901564(L=3),GO:1901566(L=4),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0005759(L=6),GO:0031974(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043233(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044429(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),GO:0070013(L=3),	GO:0003674(L=0),GO:0003824(L=1),GO:0003870(L=7),GO:0005488(L=1),GO:0016410(L=5),GO:0016740(L=2),GO:0016746(L=3),GO:0016747(L=4),GO:0016748(L=5),GO:0016749(L=6),GO:0030170(L=3),GO:0043167(L=2),GO:0043168(L=3),GO:0048037(L=2),	PFAM (Aminotran_5, Cys_Met_Meta_PP, Aminotran_1_2, Beta_elim_lyase)	ALAS
TR231371|c0_g1_i1	56.7436694627209	3.35885861455058	0.146096606329728	3.37211208272014e-158	1.43537897834792e-153	tr|R4WQX9|R4WQX9_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					NA					PFAM (DTW), SMART (TRANS, DTW)	NA
TR259365|c0_g2_i1	1414.69967749223	-3.31912281703298	0.125807366502727	2.04170384734529e-153	7.24673408672059e-149	XP_014289046.1 uncharacterized protein LOC106688874 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											NA
TR36039|c0_g2_i1	3307.95163160004	-10.3100122535256	0.477502799344451	2.78510050394765e-153	1.40907834109638e-148				FALSE	NA											NA
TR263757|c1_g1_i1	2048.4086572248	-9.89644490134008	0.426088868638978	8.10213468589801e-151	3.28479658102023e-146	XP_014277408.1 venom protease-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					serine protease		GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),		GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (CLIP, Trypsin), SMART (Tryp_SPc, CLIP, SIGNAL, TRANS)	NA
TR198006|c2_g1_i1	1646.77952220617	9.75343352816584	0.444391279029522	5.71698503086222e-150	9.03689911453668e-146				FALSE	NA											NA
TR259405|c0_g1_i3	908.616750004798	7.92914584939312	0.326969275636833	1.1071610911534e-147	1.50008685101599e-143				FALSE	NA											NA
TR221533|c0_g1_i2	1009.88207824567	-3.85522151520054	0.148922870755412	6.09102014766931e-148	1.54082851823429e-143	tr|A0A2R7W168|A0A2R7W168_ONCFA Heat shock protein cognate 70-2 OS=Oncopeltus fasciatus OX=7536 GN=Hsc70-2 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA				HSPA8	Heat shock 70kDa protein	3040,4010,4141,4144,4612,4915,5134,5145,5162,5164,5169	GO:0000003(L=1),GO:0000079(L=9),GO:0000086(L=5),GO:0000278(L=4),GO:0000375(L=7),GO:0000377(L=8),GO:0000398(L=7),GO:0000723(L=6),GO:0000902(L=5),GO:0000904(L=5),GO:0001505(L=3),GO:0001558(L=4),GO:0001654(L=7),GO:0001700(L=6),GO:0001910(L=4),GO:0001912(L=5),GO:0001914(L=5),GO:0001916(L=6),GO:0001932(L=7),GO:0001934(L=8),GO:0002064(L=6),GO:0002119(L=5),GO:0002164(L=4),GO:0002682(L=3),GO:0002684(L=4),GO:0002697(L=4),GO:0002699(L=5),GO:0002703(L=5),GO:0002705(L=6),GO:0002706(L=6),GO:0002708(L=7),GO:0002709(L=7),GO:0002711(L=8),GO:0002819(L=5),GO:0002821(L=6),GO:0002822(L=6),GO:0002824(L=7),GO:0003001(L=-1),GO:0003006(L=2),GO:0003008(L=2),GO:0005975(L=3),GO:0006082(L=3),GO:0006108(L=7),GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006195(L=7),GO:0006200(L=-1),GO:0006259(L=4),GO:0006281(L=5),GO:0006351(L=5),GO:0006355(L=7),GO:0006396(L=5),GO:0006397(L=7),GO:0006401(L=5),GO:0006402(L=6),GO:0006412(L=5),GO:0006457(L=2),GO:0006458(L=3),GO:0006464(L=5),GO:0006468(L=6),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006810(L=3),GO:0006836(L=4),GO:0006892(L=6),GO:0006897(L=5),GO:0006898(L=6),GO:0006915(L=5),GO:0006928(L=3),GO:0006935(L=3),GO:0006950(L=2),GO:0006952(L=3),GO:0006974(L=4),GO:0006986(L=4),GO:0006996(L=3),GO:0007049(L=3),GO:0007126(L=4),GO:0007127(L=4),GO:0007140(L=4),GO:0007141(L=6),GO:0007154(L=2),GO:0007267(L=3),GO:0007268(L=7),GO:0007269(L=8),GO:0007275(L=3),GO:0007276(L=3),GO:0007281(L=4),GO:0007283(L=6),GO:0007286(L=4),GO:0007338(L=5),GO:0007339(L=6),GO:0007399(L=5),GO:0007409(L=7),GO:0007411(L=7),GO:0007413(L=6),GO:0007423(L=6),GO:0007568(L=3),GO:0008037(L=3),GO:0008038(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0008285(L=5),GO:0008340(L=5),GO:0008380(L=7),GO:0009056(L=2),GO:0009057(L=4),GO:0009058(L=2),GO:0009059(L=4),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009123(L=5),GO:0009125(L=5),GO:0009126(L=7),GO:0009128(L=7),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009158(L=7),GO:0009161(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009167(L=7),GO:0009169(L=8),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009266(L=3),GO:0009408(L=3),GO:0009410(L=3),GO:0009566(L=3),GO:0009605(L=2),GO:0009611(L=3),GO:0009612(L=3),GO:0009628(L=2),GO:0009653(L=3),GO:0009790(L=4),GO:0009791(L=4),GO:0009792(L=5),GO:0009887(L=4),GO:0009888(L=3),GO:0009889(L=4),GO:0009890(L=5),GO:0009892(L=4),GO:0009893(L=4),GO:0009987(L=1),GO:0009988(L=4),GO:0010033(L=3),GO:0010035(L=3),GO:0010038(L=4),GO:0010171(L=4),GO:0010259(L=4),GO:0010466(L=8),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0010558(L=6),GO:0010562(L=6),GO:0010604(L=5),GO:0010605(L=5),GO:0010608(L=6),GO:0010629(L=6),GO:0010941(L=4),GO:0010951(L=7),GO:0012501(L=4),GO:0016032(L=3),GO:0016043(L=2),GO:0016070(L=4),GO:0016071(L=5),GO:0016192(L=4),GO:0016197(L=4),GO:0016246(L=8),GO:0016265(L=-1),GO:0016310(L=5),GO:0016441(L=6),GO:0016458(L=5),GO:0018130(L=4),GO:0019048(L=4),GO:0019219(L=5),GO:0019220(L=6),GO:0019222(L=3),GO:0019226(L=4),GO:0019229(L=8),GO:0019438(L=4),GO:0019439(L=4),GO:0019538(L=3),GO:0019637(L=3),GO:0019693(L=4),GO:0019752(L=5),GO:0019953(L=2),GO:0022008(L=5),GO:0022402(L=4),GO:0022411(L=3),GO:0022412(L=3),GO:0022414(L=2),GO:0023052(L=1),GO:0023061(L=4),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0030308(L=5),GO:0030855(L=5),GO:0031047(L=6),GO:0031099(L=3),GO:0031101(L=6),GO:0031175(L=5),GO:0031323(L=4),GO:0031324(L=5),GO:0031325(L=5),GO:0031326(L=5),GO:0031327(L=6),GO:0031341(L=3),GO:0031343(L=4),GO:0031399(L=6),GO:0031401(L=7),GO:0031660(L=7),GO:0031662(L=10),GO:0032200(L=5),GO:0032268(L=5),GO:0032270(L=6),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032774(L=5),GO:0032844(L=4),GO:0032940(L=3),GO:0032989(L=4),GO:0032990(L=5),GO:0033554(L=3),GO:0033674(L=7),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0034655(L=4),GO:0035036(L=5),GO:0035194(L=7),GO:0035637(L=3),GO:0035821(L=2),GO:0035966(L=3),GO:0036211(L=4),GO:0040007(L=1),GO:0040008(L=3),GO:0040011(L=1),GO:0040029(L=6),GO:0042026(L=3),GO:0042060(L=4),GO:0042127(L=4),GO:0042147(L=5),GO:0042221(L=2),GO:0042246(L=5),GO:0042278(L=5),GO:0042325(L=7),GO:0042327(L=8),GO:0042330(L=3),GO:0042454(L=7),GO:0042592(L=3),GO:0042981(L=6),GO:0043010(L=8),GO:0043066(L=7),GO:0043067(L=5),GO:0043069(L=6),GO:0043085(L=4),GO:0043086(L=4),GO:0043154(L=9),GO:0043170(L=3),GO:0043281(L=9),GO:0043412(L=4),GO:0043436(L=4),GO:0043549(L=8),GO:0043648(L=6),GO:0044003(L=5),GO:0044057(L=4),GO:0044087(L=3),GO:0044092(L=3),GO:0044093(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044249(L=3),GO:0044260(L=3),GO:0044265(L=4),GO:0044267(L=4),GO:0044270(L=4),GO:0044271(L=4),GO:0044281(L=3),GO:0044403(L=3),GO:0044419(L=2),GO:0044699(L=1),GO:0044700(L=2),GO:0044702(L=3),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044764(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0044770(L=5),GO:0044772(L=5),GO:0045595(L=5),GO:0045597(L=5),GO:0045637(L=6),GO:0045639(L=6),GO:0045646(L=7),GO:0045648(L=7),GO:0045737(L=9),GO:0045787(L=5),GO:0045859(L=8),GO:0045860(L=7),GO:0045892(L=8),GO:0045906(L=8),GO:0045926(L=4),GO:0045934(L=6),GO:0045937(L=7),GO:0046034(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046686(L=5),GO:0046700(L=4),GO:0046903(L=4),GO:0046907(L=3),GO:0048193(L=5),GO:0048232(L=5),GO:0048468(L=5),GO:0048513(L=4),GO:0048515(L=6),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048583(L=3),GO:0048584(L=4),GO:0048589(L=2),GO:0048592(L=5),GO:0048593(L=6),GO:0048609(L=3),GO:0048610(L=-1),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050776(L=4),GO:0050778(L=5),GO:0050789(L=2),GO:0050790(L=3),GO:0050793(L=3),GO:0050794(L=3),GO:0050877(L=3),GO:0050896(L=1),GO:0051084(L=4),GO:0051085(L=4),GO:0051094(L=4),GO:0051128(L=4),GO:0051129(L=5),GO:0051171(L=4),GO:0051172(L=5),GO:0051174(L=5),GO:0051179(L=1),GO:0051234(L=2),GO:0051239(L=3),GO:0051241(L=4),GO:0051246(L=5),GO:0051247(L=6),GO:0051252(L=5),GO:0051253(L=6),GO:0051276(L=4),GO:0051321(L=3),GO:0051336(L=4),GO:0051338(L=4),GO:0051346(L=5),GO:0051347(L=5),GO:0051641(L=2),GO:0051649(L=3),GO:0051701(L=4),GO:0051704(L=1),GO:0051716(L=2),GO:0051726(L=4),GO:0051817(L=4),GO:0052547(L=7),GO:0052548(L=7),GO:0055086(L=3),GO:0055114(L=3),GO:0060249(L=4),GO:0060255(L=4),GO:0060429(L=4),GO:0060548(L=5),GO:0061024(L=3),GO:0061077(L=3),GO:0061564(L=8),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0070193(L=5),GO:0070194(L=4),GO:0071704(L=2),GO:0071840(L=1),GO:0071900(L=8),GO:0071902(L=8),GO:0072521(L=4),GO:0072523(L=5),GO:0080090(L=4),GO:0090083(L=5),GO:0090084(L=5),GO:0090304(L=4),GO:0097485(L=4),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901362(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901576(L=3),GO:1901657(L=3),GO:1901658(L=4),GO:2000026(L=4),GO:2000112(L=6),GO:2000113(L=7),GO:2000116(L=8),GO:2000117(L=8),GO:2001141(L=6),	GO:0000228(L=5),GO:0000785(L=5),GO:0000790(L=5),GO:0000793(L=5),GO:0000794(L=5),GO:0000795(L=8),GO:0000974(L=3),GO:0001673(L=7),GO:0002199(L=3),GO:0005575(L=0),GO:0005576(L=1),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005654(L=5),GO:0005681(L=6),GO:0005694(L=4),GO:0005726(L=5),GO:0005730(L=5),GO:0005737(L=4),GO:0005739(L=5),GO:0005759(L=6),GO:0005783(L=4),GO:0005811(L=5),GO:0005829(L=4),GO:0005840(L=5),GO:0005856(L=5),GO:0005875(L=6),GO:0005886(L=3),GO:0005891(L=5),GO:0008021(L=3),GO:0008180(L=6),GO:0009986(L=3),GO:0012506(L=4),GO:0015630(L=6),GO:0016020(L=1),GO:0016021(L=4),GO:0016234(L=4),GO:0016235(L=5),GO:0016323(L=3),GO:0016324(L=3),GO:0016604(L=7),GO:0016607(L=8),GO:0030135(L=6),GO:0030136(L=7),GO:0030529(L=4),GO:0030659(L=5),GO:0030662(L=6),GO:0030665(L=7),GO:0031090(L=3),GO:0031224(L=3),GO:0031410(L=4),GO:0031974(L=1),GO:0031981(L=6),GO:0031982(L=3),GO:0032991(L=1),GO:0034702(L=4),GO:0034703(L=5),GO:0034704(L=6),GO:0036128(L=6),GO:0042470(L=7),GO:0042995(L=3),GO:0043005(L=4),GO:0043025(L=4),GO:0043073(L=6),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043230(L=2),GO:0043231(L=4),GO:0043232(L=3),GO:0043233(L=2),GO:0043234(L=2),GO:0044297(L=3),GO:0044421(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044425(L=2),GO:0044427(L=5),GO:0044428(L=5),GO:0044429(L=5),GO:0044430(L=5),GO:0044433(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044451(L=5),GO:0044454(L=5),GO:0044456(L=2),GO:0044459(L=3),GO:0044464(L=2),GO:0045177(L=3),GO:0045202(L=1),GO:0048471(L=5),GO:0048770(L=6),GO:0060198(L=8),GO:0061200(L=9),GO:0061202(L=9),GO:0065010(L=3),GO:0070013(L=3),GO:0070062(L=4),GO:0071011(L=7),GO:0071013(L=7),GO:0071944(L=3),GO:0097223(L=3),GO:0097458(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003735(L=2),GO:0003824(L=1),GO:0004672(L=5),GO:0004674(L=6),GO:0005198(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0008289(L=2),GO:0016301(L=4),GO:0016462(L=5),GO:0016491(L=2),GO:0016614(L=3),GO:0016615(L=4),GO:0016616(L=4),GO:0016627(L=3),GO:0016628(L=4),GO:0016740(L=2),GO:0016772(L=3),GO:0016773(L=4),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0016887(L=7),GO:0017076(L=4),GO:0017111(L=6),GO:0030554(L=5),GO:0032440(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0042623(L=8),GO:0043167(L=2),GO:0043168(L=3),GO:0043531(L=4),GO:0044183(L=3),GO:0051082(L=3),GO:0051087(L=3),GO:0051861(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (HSP70, MreB_Mbl), SMART (COIL)	hsp70
TR257929|c0_g1_i1	1029.16987368106	-2.67208265109309	0.104097099463559	2.34358891578682e-147	2.46969063630354e-143	tr|R4WJZ3|R4WJZ3_RIPPE Cullin OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				CUL-3	cullin 3	4120	GO:0000003(L=1),GO:0000902(L=5),GO:0000904(L=5),GO:0001654(L=7),GO:0001745(L=6),GO:0002064(L=6),GO:0002165(L=4),GO:0003006(L=2),GO:0006464(L=5),GO:0006508(L=4),GO:0006511(L=8),GO:0006810(L=3),GO:0006888(L=4),GO:0006915(L=5),GO:0006919(L=12),GO:0007275(L=3),GO:0007276(L=3),GO:0007281(L=4),GO:0007283(L=6),GO:0007286(L=4),GO:0007291(L=5),GO:0007349(L=4),GO:0007399(L=5),GO:0007409(L=7),GO:0007423(L=6),GO:0007444(L=6),GO:0007472(L=7),GO:0007476(L=8),GO:0007552(L=4),GO:0007560(L=6),GO:0007610(L=1),GO:0007622(L=2),GO:0007623(L=2),GO:0007626(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0009056(L=2),GO:0009057(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009887(L=4),GO:0009888(L=3),GO:0009987(L=1),GO:0010941(L=4),GO:0010950(L=7),GO:0010952(L=8),GO:0012501(L=4),GO:0016043(L=2),GO:0016192(L=4),GO:0016265(L=-1),GO:0016358(L=8),GO:0016482(L=4),GO:0016567(L=8),GO:0019222(L=3),GO:0019538(L=3),GO:0019941(L=7),GO:0019953(L=2),GO:0022008(L=5),GO:0022410(L=5),GO:0022412(L=3),GO:0022414(L=2),GO:0030030(L=3),GO:0030154(L=4),GO:0030162(L=6),GO:0030163(L=4),GO:0030182(L=7),GO:0030431(L=3),GO:0030855(L=5),GO:0031175(L=5),GO:0032446(L=7),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032989(L=4),GO:0032990(L=5),GO:0035107(L=4),GO:0035114(L=5),GO:0035120(L=6),GO:0035220(L=7),GO:0036211(L=4),GO:0042745(L=4),GO:0042749(L=5),GO:0042752(L=3),GO:0042981(L=6),GO:0043067(L=5),GO:0043085(L=4),GO:0043170(L=3),GO:0043280(L=9),GO:0043281(L=9),GO:0043412(L=4),GO:0043632(L=5),GO:0044093(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044257(L=5),GO:0044260(L=3),GO:0044265(L=4),GO:0044267(L=4),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044708(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0045187(L=5),GO:0045475(L=3),GO:0046907(L=3),GO:0048193(L=5),GO:0048232(L=5),GO:0048468(L=5),GO:0048511(L=1),GO:0048512(L=3),GO:0048513(L=4),GO:0048515(L=6),GO:0048563(L=4),GO:0048569(L=6),GO:0048583(L=3),GO:0048592(L=5),GO:0048609(L=3),GO:0048610(L=-1),GO:0048646(L=3),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048707(L=5),GO:0048731(L=4),GO:0048736(L=4),GO:0048737(L=5),GO:0048749(L=8),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050795(L=3),GO:0050896(L=1),GO:0051179(L=1),GO:0051234(L=2),GO:0051239(L=3),GO:0051246(L=5),GO:0051336(L=4),GO:0051345(L=5),GO:0051603(L=6),GO:0051641(L=2),GO:0051649(L=3),GO:0052547(L=7),GO:0052548(L=7),GO:0060255(L=4),GO:0060429(L=4),GO:0061564(L=8),GO:0065007(L=1),GO:0065009(L=2),GO:0070647(L=6),GO:0071704(L=2),GO:0071840(L=1),GO:0080090(L=4),GO:0097202(L=9),GO:1901575(L=3),GO:2000116(L=8),GO:2001056(L=8),	GO:0000151(L=4),GO:0000152(L=5),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005737(L=4),GO:0005801(L=5),GO:0019005(L=6),GO:0031461(L=5),GO:0031463(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0004842(L=4),GO:0005488(L=1),GO:0005515(L=2),GO:0016874(L=2),GO:0016879(L=3),GO:0016881(L=4),GO:0019787(L=3),GO:0019899(L=3),GO:0031625(L=5),GO:0044389(L=4),	PFAM (Cullin, Cullin_Nedd8, Sedlin_N, Sybindin), SMART (Cullin_Nedd8, CULLIN, COIL)	NA
TR59669|c0_g1_i1	10229.3538853182	-11.0381141935264	0.584181539412458	4.38438466259445e-147	4.66852278674453e-143				FALSE	NA											jagged-2-like
