baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR234497|c0_g1_i1	2.18542835383471	-0.000113457202223943	0.0255189751122275	1.90434039951508e-22	1.57419691445901e-17				FALSE	NA											NA
TR210393|c7_g1_i5	12.3336920892612	5.18884597946791e-05	0.0255187236748415	2.23757021255617e-14	3.19106483712984e-10				FALSE	NA											serine-rich protein
TR248552|c0_g1_i1	0.823827459929522	0.000101429305483252	0.0255189641751906	1.24147634017513e-14	3.19106483712984e-10				FALSE	NA											NA
TR226551|c2_g1_i1	68.6627686486881	4.23160802625066	0.760491549054783	1.29875973259661e-11	1.05733642513712e-07				FALSE	NA											NA
TR235193|c2_g1_i1	0.787164732902619	-5.10304742632025e-05	0.0255187054179561	6.89133295404321e-12	1.12467010278937e-07	XP_024217355.1 actin-binding Rho-activating protein-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from biNOG: actin-binding Rho activating protein					SMART (COIL, SIGNAL)	NA
TR198854|c3_g1_i5	0.572866059484951	-4.81275893250392e-05	0.025518713549427	5.81797998585184e-11	7.86163551237272e-07	XP_014275338.1 ensconsin isoform X7 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				ENS	MAP7 (E-MAP-115) family		GO:0007275(L=3),GO:0007517(L=6),GO:0007519(L=6),GO:0007610(L=1),GO:0007626(L=2),GO:0008150(L=0),GO:0009888(L=3),GO:0009987(L=1),GO:0014706(L=5),GO:0019222(L=3),GO:0030154(L=4),GO:0031987(L=3),GO:0032501(L=1),GO:0032502(L=1),GO:0032879(L=3),GO:0032886(L=4),GO:0040011(L=1),GO:0040023(L=4),GO:0042692(L=5),GO:0044699(L=1),GO:0044707(L=2),GO:0044708(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048468(L=5),GO:0048513(L=4),GO:0048731(L=4),GO:0048741(L=7),GO:0048747(L=7),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051146(L=6),GO:0051179(L=1),GO:0051234(L=2),GO:0051270(L=4),GO:0051336(L=4),GO:0051640(L=3),GO:0051641(L=2),GO:0051647(L=4),GO:0051649(L=3),GO:0051656(L=3),GO:0055001(L=6),GO:0055002(L=7),GO:0060537(L=4),GO:0060538(L=7),GO:0060632(L=5),GO:0061061(L=3),GO:0065007(L=1),GO:0065009(L=2),GO:2000574(L=5),	GO:0005575(L=0),GO:0005623(L=1),GO:0044464(L=2),GO:0045177(L=3),	GO:0003674(L=0),GO:0005488(L=1),GO:0005515(L=2),GO:0008017(L=5),GO:0008092(L=3),GO:0015631(L=4),	PFAM (MAP7), SMART (COIL)	MAP7
TR274702|c0_g1_i3	41.6944079586624	-2.84038538542669	0.778369128478396	3.60859124794451e-09	1.67633658012555e-05	tr|R4G4W2|R4G4W2_RHOPR Putative sodium/solute symporter OS=Rhodnius prolixus OX=13249 PE=2 SV=1	rhodnius prolixus	No	FALSE	NA				SLC5A8	solute carrier family 5	4977	GO:0003333(L=6),GO:0006082(L=3),GO:0006139(L=3),GO:0006259(L=4),GO:0006281(L=5),GO:0006289(L=7),GO:0006461(L=5),GO:0006520(L=3),GO:0006575(L=3),GO:0006590(L=4),GO:0006725(L=3),GO:0006732(L=4),GO:0006766(L=4),GO:0006767(L=5),GO:0006768(L=4),GO:0006790(L=3),GO:0006807(L=2),GO:0006810(L=3),GO:0006811(L=4),GO:0006812(L=5),GO:0006814(L=7),GO:0006820(L=5),GO:0006865(L=5),GO:0006915(L=5),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007010(L=4),GO:0007584(L=3),GO:0007610(L=1),GO:0007631(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0008343(L=3),GO:0009605(L=2),GO:0009653(L=3),GO:0009719(L=2),GO:0009725(L=3),GO:0009987(L=1),GO:0009991(L=3),GO:0010033(L=3),GO:0010243(L=3),GO:0010817(L=3),GO:0010927(L=3),GO:0012501(L=4),GO:0014070(L=4),GO:0014074(L=4),GO:0015672(L=6),GO:0015698(L=6),GO:0015705(L=7),GO:0015711(L=5),GO:0015718(L=7),GO:0015849(L=4),GO:0015878(L=6),GO:0015887(L=7),GO:0015939(L=4),GO:0016043(L=2),GO:0016265(L=-1),GO:0018958(L=4),GO:0019752(L=5),GO:0022607(L=3),GO:0030001(L=6),GO:0030029(L=3),GO:0030036(L=4),GO:0030154(L=4),GO:0030239(L=6),GO:0030534(L=3),GO:0031032(L=5),GO:0031033(L=5),GO:0031034(L=7),GO:0031667(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0032787(L=6),GO:0032870(L=4),GO:0032989(L=4),GO:0033554(L=3),GO:0034220(L=5),GO:0034622(L=5),GO:0034641(L=3),GO:0034698(L=4),GO:0035461(L=5),GO:0035725(L=8),GO:0042221(L=2),GO:0042403(L=3),GO:0042445(L=2),GO:0042692(L=5),GO:0042886(L=5),GO:0043170(L=3),GO:0043436(L=4),GO:0043603(L=4),GO:0043623(L=6),GO:0043933(L=3),GO:0044085(L=2),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044281(L=3),GO:0044699(L=1),GO:0044707(L=2),GO:0044708(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0046483(L=3),GO:0046683(L=4),GO:0046942(L=7),GO:0048468(L=5),GO:0048646(L=3),GO:0048856(L=2),GO:0048869(L=3),GO:0050896(L=1),GO:0051146(L=6),GO:0051179(L=1),GO:0051180(L=4),GO:0051181(L=4),GO:0051182(L=6),GO:0051186(L=3),GO:0051234(L=2),GO:0051591(L=4),GO:0051716(L=2),GO:0051780(L=4),GO:0055001(L=6),GO:0055002(L=7),GO:0055085(L=4),GO:0061061(L=3),GO:0065003(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0070271(L=3),GO:0070887(L=3),GO:0070925(L=4),GO:0071310(L=4),GO:0071320(L=6),GO:0071371(L=5),GO:0071407(L=5),GO:0071417(L=4),GO:0071495(L=3),GO:0071688(L=5),GO:0071702(L=4),GO:0071704(L=2),GO:0071705(L=4),GO:0071822(L=4),GO:0071840(L=1),GO:0072337(L=5),GO:0072348(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901564(L=3),GO:1901615(L=3),GO:1901698(L=3),GO:1901699(L=4),GO:1901700(L=3),GO:1901701(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005886(L=3),GO:0005887(L=4),GO:0005903(L=4),GO:0012506(L=4),GO:0016020(L=1),GO:0016021(L=4),GO:0016323(L=3),GO:0016324(L=3),GO:0031090(L=3),GO:0031224(L=3),GO:0031226(L=3),GO:0031253(L=3),GO:0031526(L=4),GO:0031982(L=3),GO:0042995(L=3),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044422(L=2),GO:0044424(L=3),GO:0044425(L=2),GO:0044459(L=3),GO:0044463(L=3),GO:0044464(L=2),GO:0045177(L=3),GO:0071944(L=3),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003684(L=5),GO:0005215(L=1),GO:0005342(L=4),GO:0005488(L=1),GO:0008028(L=6),GO:0008324(L=5),GO:0008507(L=8),GO:0008509(L=5),GO:0008514(L=6),GO:0008523(L=4),GO:0015075(L=4),GO:0015077(L=7),GO:0015081(L=8),GO:0015103(L=6),GO:0015111(L=7),GO:0015291(L=4),GO:0015293(L=5),GO:0015294(L=6),GO:0015296(L=5),GO:0015355(L=5),GO:0015370(L=7),GO:0015373(L=6),GO:0022804(L=3),GO:0022857(L=2),GO:0022890(L=6),GO:0022891(L=3),GO:0022892(L=2),GO:0046873(L=7),GO:0046943(L=5),GO:0051183(L=2),GO:0090482(L=3),GO:0097159(L=2),GO:1901363(L=2),	PFAM (SSF), SMART (TRANS)	SLC5A8
TR198212|c1_g9_i2	1.84429474539142	0.00109166584226499	0.0255524603301891	2.65819256625006e-09	2.71136742218026e-05				FALSE	NA											NA
TR227438|c1_g6_i1	8.46399324519031	4.60130862649456	1.2061058998734	4.00282121252675e-09	3.2453244738488e-05				FALSE	NA											NA
TR54542|c1_g1_i1	302.413301657792	3.28418827410266	0.678615075980827	9.07270792350761e-09	3.2453244738488e-05				FALSE	NA											NA
