baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR223124|c1_g1_i7	15.4803258249395	-0.00931265737854557	0.128867628464108	4.92344641152243e-08	0.000893849099082022				FALSE	NA										
TR233133|c2_g3_i1	95.6083411863545	-1.98525361299321	0.465356626885883	7.42938061804098e-08	0.000893849099082022				FALSE	NA										
TR203979|c1_g1_i6	43.8933009532846	-0.0475323445791236	0.141350940097843	7.01344132916675e-07	0.00208530552176704				FALSE	NA										
TR230706|c0_g1_i1	57.6082083445877	-0.0427939145173633	0.138767848396025	7.27329048555662e-07	0.00208530552176704	tr|R4WRV0|R4WRV0_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA										
TR234167|c0_g1_i1	39.1942012639881	-0.05166554541243	0.144009344282311	8.65892403829834e-07	0.00208530552176704				FALSE	NA										
TR252126|c7_g4_i1	12.8804295249677	-0.031868114499547	0.13404845552404	4.01020927545906e-07	0.00208530552176704	tr|R4WRZ3|R4WRZ3_RIPPE Tetraspanin OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				TSP42EE	tetraspanin	4142,5205	GO:0008150(L=0),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044424(L=3),GO:0044425(L=2),GO:0044444(L=4),GO:0044464(L=2),GO:0045169(L=5),	GO:0003674(L=0),	PFAM (Tetraspannin), SMART (TRANS)
TR98320|c0_g1_i1	91.7513575901175	-0.0449346513071903	0.139973135478635	7.57067984309108e-07	0.00208530552176704	tr|R4WE26|R4WE26_RIPPE Unkown protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					NA		GO:0008150(L=0),	GO:0005575(L=0),	GO:0003674(L=0),	SMART (SIGNAL, TRANS)
TR198098|c1_g1_i1	34.3980473480893	-0.0327732183857469	0.134283404102664	3.30712482732778e-06	0.00384251691032595	XP_017008079.2 LOW QUALITY PROTEIN: chitin-binding domain protein cbd-1 [Drosophila takahashii]	drosophila takahashii	No	FALSE	NA					chitin binding		GO:0006022(L=4),GO:0006030(L=5),GO:0006040(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0043170(L=3),GO:0071704(L=2),GO:1901071(L=5),GO:1901135(L=3),GO:1901564(L=3),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0005198(L=1),GO:0005488(L=1),GO:0008061(L=3),GO:0016490(L=2),GO:0097367(L=2),	PFAM (CBM_14), SMART (ChtBD2, SIGNAL, TRANS)
TR198120|c0_g2_i1	13.0128130641082	-0.0310741506701748	0.133768841848128	2.22672931543611e-06	0.00384251691032595				FALSE	NA										
TR202485|c0_g3_i1	95.5128720290738	-0.0249717964205671	0.131613970852824	3.58694104713961e-06	0.00384251691032595				FALSE	NA										
TR204666|c0_g7_i1	40.7952974405752	-0.0473672584829437	0.141650708262557	7.06510391122258e-06	0.00384251691032595				FALSE	NA										
TR215053|c0_g1_i1	21.7257746562111	-0.0281800571435889	0.132657019042172	2.30592540161616e-06	0.00384251691032595	XP_014283697.1 aggrecan core protein-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA										
TR232320|c0_g1_i1	7.38930562828605	-0.025966032569732	0.132094008643359	2.20222447302938e-06	0.00384251691032595	tr|R4WJX0|R4WJX0_RIPPE Mitochondrial carrier protein OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					transmembrane transporter activity		GO:0006810(L=3),GO:0008150(L=0),GO:0009987(L=1),GO:0044699(L=1),GO:0044763(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0005740(L=6),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0031967(L=3),GO:0031975(L=3),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044422(L=2),GO:0044424(L=3),GO:0044425(L=2),GO:0044429(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0005215(L=1),GO:0022857(L=2),	PFAM (Mito_carr), SMART (TRANS)
TR250701|c1_g1_i3	29.3506876106775	-0.039324684635761	0.137072225126233	4.26183080553608e-06	0.00384251691032595	XP_014293975.1 vanin-like protein 2 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Carbon-nitrogen hydrolase	780,1100,4977	GO:0006325(L=4),GO:0006464(L=5),GO:0006807(L=2),GO:0006950(L=2),GO:0006996(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009266(L=3),GO:0009305(L=6),GO:0009408(L=3),GO:0009628(L=2),GO:0009987(L=1),GO:0016043(L=2),GO:0016569(L=5),GO:0016570(L=6),GO:0018054(L=7),GO:0018193(L=6),GO:0018205(L=7),GO:0019538(L=3),GO:0036211(L=4),GO:0043170(L=3),GO:0043412(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0050896(L=1),GO:0051276(L=4),GO:0071110(L=7),GO:0071704(L=2),GO:0071840(L=1),		GO:0003674(L=0),GO:0003824(L=1),GO:0016787(L=2),GO:0016810(L=3),GO:0016811(L=4),	PFAM (CN_hydrolase), SMART (SIGNAL, TRANS)
TR251439|c0_g1_i1	8.49171293061166	-0.0502787485090424	0.143002606814073	3.0640010535917e-06	0.00384251691032595	XP_014283746.1 MFS-type transporter SLC18B1 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Major Facilitator Superfamily		GO:0006810(L=3),GO:0008150(L=0),GO:0009987(L=1),GO:0044699(L=1),GO:0044763(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055085(L=4),	GO:0005575(L=0),GO:0005623(L=1),GO:0005886(L=3),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),GO:0044464(L=2),GO:0071944(L=3),	GO:0003674(L=0),GO:0005215(L=1),	PFAM (MFS_1), SMART (TRANS)
