baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR199998|c0_g1_i3	5.82834140925471	-1.81338541767471e-05	0.00144274845524886	4.33132529965887e-25	1.07862993937405e-20	tr|A0A1B6JCY1|A0A1B6JCY1_9HEMI DM domain-containing protein OS=Homalodisca liturata OX=320908 GN=g.55112 PE=4 SV=1	homalodisca liturata	No	FALSE	NA				DMRTC2	DMRT-like family C2		GO:0000003(L=1),GO:0003006(L=2),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0007548(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009889(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0016070(L=4),GO:0018130(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0022414(L=2),GO:0030154(L=4),GO:0031323(L=4),GO:0031326(L=5),GO:0032502(L=1),GO:0032774(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0043167(L=2),GO:0043169(L=3),GO:0043565(L=5),GO:0046872(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DM), SMART (DM)	dsx
TR250960|c0_g2_i1	8.94072998887787	-3.87394736962897	0.44652870360489	1.64345745548141e-20	2.04635105069268e-16				FALSE	NA											NA
TR267513|c0_g1_i2	3.57956563600168	6.98305003264292	1.3293620541568	3.38851859285445e-19	2.81280928392848e-15				FALSE	NA											NA
TR171647|c0_g1_i1	7.26154677389692	10.230169007782	2.89406780750948	3.80978854288071e-17	2.37187910208396e-13				FALSE	NA											NA
TR199998|c0_g1_i1	10.7425591146484	-3.5100234569405	0.467945304928398	2.40671389001104e-16	1.05161233121285e-12	tr|A0A6A4KCS6|A0A6A4KCS6_APOLU DM domain-containing protein OS=Apolygus lucorum OX=248454 GN=GE061_02928 PE=4 SV=1	apolygus lucorum	No	FALSE	NA				DMRTC2	DMRT-like family C2		GO:0000003(L=1),GO:0003006(L=2),GO:0006139(L=3),GO:0006351(L=5),GO:0006355(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0007548(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009889(L=4),GO:0009987(L=1),GO:0010467(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0016070(L=4),GO:0018130(L=4),GO:0019219(L=5),GO:0019222(L=3),GO:0019438(L=4),GO:0022414(L=2),GO:0030154(L=4),GO:0031323(L=4),GO:0031326(L=5),GO:0032502(L=1),GO:0032774(L=5),GO:0034641(L=3),GO:0034645(L=4),GO:0034654(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0044271(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0046483(L=3),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0080090(L=4),GO:0090304(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0043167(L=2),GO:0043169(L=3),GO:0043565(L=5),GO:0046872(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (DM), SMART (DM)	dsx
TR247537|c0_g1_i1	10.0911228847768	5.49556361920246	0.763770315319525	4.20636542375379e-16	5.78707243945099e-12				FALSE	NA											NA
TR261339|c1_g8_i1	10.1166365490207	-3.44095979474363	0.489315368251293	1.98606339586889e-15	7.06556239247472e-12	XP_014290589.1 histone acetyltransferase KAT8-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				MOF	Histone acetyltransferase		GO:0006325(L=4),GO:0006355(L=7),GO:0006464(L=5),GO:0006473(L=7),GO:0006475(L=8),GO:0006996(L=3),GO:0007549(L=7),GO:0008150(L=0),GO:0008152(L=1),GO:0009047(L=8),GO:0009889(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010556(L=5),GO:0016043(L=2),GO:0016569(L=5),GO:0016570(L=6),GO:0016573(L=7),GO:0018193(L=6),GO:0018205(L=7),GO:0018393(L=9),GO:0018394(L=8),GO:0019219(L=5),GO:0019222(L=3),GO:0019538(L=3),GO:0031323(L=4),GO:0031326(L=5),GO:0036211(L=4),GO:0040029(L=6),GO:0043170(L=3),GO:0043412(L=4),GO:0043543(L=6),GO:0043967(L=8),GO:0043984(L=9),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044763(L=2),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0051276(L=4),GO:0060255(L=4),GO:0065007(L=1),GO:0071704(L=2),GO:0071840(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2001141(L=6),	GO:0000123(L=7),GO:0000803(L=5),GO:0000805(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005654(L=5),GO:0005667(L=4),GO:0005694(L=4),GO:0005700(L=5),GO:0005705(L=6),GO:0016456(L=7),GO:0030529(L=4),GO:0031974(L=1),GO:0031981(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043233(L=2),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044427(L=5),GO:0044428(L=5),GO:0044446(L=3),GO:0044451(L=5),GO:0044464(L=2),GO:0044545(L=9),GO:0046536(L=6),GO:0070013(L=3),	GO:0003674(L=0),GO:0003676(L=3),GO:0003682(L=3),GO:0003723(L=4),GO:0003729(L=6),GO:0003824(L=1),GO:0004402(L=9),GO:0004468(L=7),GO:0005488(L=1),GO:0005515(L=2),GO:0008080(L=6),GO:0010485(L=10),GO:0016407(L=5),GO:0016410(L=5),GO:0016740(L=2),GO:0016746(L=3),GO:0016747(L=4),GO:0046972(L=11),GO:0097159(L=2),GO:1901363(L=2),	PFAM (Tudor-knot, MOZ_SAS), SMART (CHROMO, COIL, ZnF_C2H2)	mof
TR238011|c0_g2_i1	44.4859864333937	1.20989132383132	0.16251258035494	5.22766370653738e-15	9.44493684735454e-12				FALSE	NA											NA
TR197140|c1_g1_i1	1.87625134782151	8.22922786659605	2.62975152144096	3.91208854382583e-15	1.2294950844525e-11				FALSE	NA											NA
TR278526|c5_g3_i2	9.93646934165821	2.45927729138061	0.333862017732512	7.4773535937519e-15	1.86208536545204e-11				FALSE	NA											HRP-2
