baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR25488|c0_g1_i1	78.7743540432181	7.08079077730487	1.46418769354211	1.20439502521132e-09	2.25995882852248e-05				FALSE	NA											NA
TR248035|c0_g2_i4	79.6880365532262	0.0016572303942549	0.0682334624034532	4.11016546239694e-08	0.000406319727331309	tr|O02024|O02024_RIPCL Vitellogenin OS=Riptortus clavatus OX=41704 PE=2 SV=1	riptortus clavatus	No	FALSE	NA				VG	vitellogenin		GO:0006801(L=4),GO:0006810(L=3),GO:0006869(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0010876(L=3),GO:0033036(L=2),GO:0044237(L=2),GO:0044699(L=1),GO:0044710(L=2),GO:0044765(L=3),GO:0051179(L=1),GO:0051234(L=2),GO:0055114(L=3),GO:0071702(L=4),GO:0072593(L=3),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0005215(L=1),GO:0005319(L=3),GO:0005488(L=1),GO:0022892(L=2),GO:0043167(L=2),GO:0043169(L=3),GO:0045735(L=1),GO:0046872(L=4),	PFAM (Vitellogenin_N, VWD, DUF1943, Sod_Cu), SMART (LPD_N, VWD, DUF1943, SIGNAL, COIL)	vitellogenin
TR198261|c0_g3_i4	4.27103129417711	0.000512222788584704	0.0682070837597098	2.22540635009476e-07	0.000918822354059672	XP_024217178.1 GATOR complex protein DEPDC5 isoform X3 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Protein of unknown function (DUF3608)		GO:0007154(L=2),GO:0007165(L=3),GO:0008150(L=0),GO:0009987(L=1),GO:0023052(L=1),GO:0035556(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044763(L=2),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0065007(L=1),			PFAM (DUF3608, DEP), SMART (COIL)	NA
TR204499|c1_g2_i1	6.15776774749962	0.000486250791625497	0.0682069259622333	2.13561716735713e-07	0.000918822354059672				FALSE	NA											NA
TR216498|c0_g1_i4	17.9242933808057	0.000782200123419513	0.0682109426153608	2.142451714083e-07	0.000918822354059672	XP_014287990.1 uncharacterized protein LOC106688167 isoform X3 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					NA					SMART (COIL)	NA
TR217419|c0_g1_i2	13.3633683693841	0.000589693994932945	0.0682081654528753	2.061561657506e-07	0.000918822354059672	XP_024220134.1 ankyrin repeat domain-containing protein 6 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Ankyrin repeat		GO:0001654(L=7),GO:0001736(L=6),GO:0001737(L=6),GO:0001738(L=6),GO:0001745(L=6),GO:0002009(L=5),GO:0002165(L=4),GO:0007163(L=3),GO:0007164(L=4),GO:0007275(L=3),GO:0007399(L=5),GO:0007423(L=6),GO:0007444(L=6),GO:0007472(L=7),GO:0007476(L=8),GO:0007552(L=4),GO:0007560(L=6),GO:0008150(L=0),GO:0008152(L=1),GO:0008544(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009887(L=4),GO:0009888(L=3),GO:0009913(L=6),GO:0009987(L=1),GO:0016043(L=2),GO:0022008(L=5),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0030855(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0035107(L=4),GO:0035114(L=5),GO:0035120(L=6),GO:0035220(L=7),GO:0035315(L=8),GO:0035316(L=7),GO:0035317(L=6),GO:0042067(L=7),GO:0043588(L=6),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048513(L=4),GO:0048563(L=4),GO:0048569(L=6),GO:0048592(L=5),GO:0048699(L=7),GO:0048707(L=5),GO:0048729(L=4),GO:0048731(L=4),GO:0048736(L=4),GO:0048737(L=5),GO:0048749(L=8),GO:0048856(L=2),GO:0048869(L=3),GO:0055114(L=3),GO:0060429(L=4),GO:0071840(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0032440(L=5),	PFAM (Ank), SMART (ANK, COIL, SIGNAL)	NA
TR221622|c0_g1_i7	7.29021676419887	-0.000458172066345181	0.0682061275297177	2.74623417480512e-07	0.000918822354059672	XP_014294542.1 uncharacterized protein LOC106692848 isoform X3 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				CHRO	Chromo (CHRromatin Organisation MOdifier) domain		GO:0000075(L=5),GO:0000090(L=5),GO:0000226(L=4),GO:0000278(L=4),GO:0000279(L=3),GO:0006325(L=4),GO:0006996(L=3),GO:0007010(L=4),GO:0007017(L=3),GO:0007049(L=3),GO:0007051(L=5),GO:0007052(L=5),GO:0007059(L=3),GO:0007088(L=6),GO:0007093(L=6),GO:0007094(L=10),GO:0007346(L=5),GO:0007552(L=4),GO:0008150(L=0),GO:0009653(L=3),GO:0009987(L=1),GO:0010564(L=5),GO:0010639(L=6),GO:0010948(L=6),GO:0016043(L=2),GO:0022402(L=4),GO:0022403(L=2),GO:0030071(L=9),GO:0031577(L=6),GO:0032502(L=1),GO:0033043(L=5),GO:0043933(L=3),GO:0044699(L=1),GO:0044763(L=2),GO:0044767(L=2),GO:0045786(L=5),GO:0045839(L=7),GO:0045841(L=9),GO:0048519(L=3),GO:0048523(L=4),GO:0048856(L=2),GO:0050000(L=4),GO:0050789(L=2),GO:0050794(L=3),GO:0051128(L=4),GO:0051129(L=5),GO:0051179(L=1),GO:0051234(L=2),GO:0051276(L=4),GO:0051303(L=4),GO:0051310(L=6),GO:0051322(L=3),GO:0051640(L=3),GO:0051641(L=2),GO:0051649(L=3),GO:0051656(L=3),GO:0051726(L=4),GO:0051783(L=6),GO:0051784(L=7),GO:0065007(L=1),GO:0071173(L=7),GO:0071174(L=9),GO:0071822(L=4),GO:0071840(L=1),GO:1901987(L=6),GO:1901988(L=7),GO:1901990(L=6),GO:1901991(L=7),GO:1902099(L=7),GO:1902100(L=8),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005694(L=4),GO:0005700(L=5),GO:0005705(L=6),GO:0005813(L=5),GO:0005815(L=6),GO:0005819(L=6),GO:0005856(L=5),GO:0015630(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044427(L=5),GO:0044430(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0005515(L=2),GO:0042393(L=3),GO:0097159(L=2),GO:1901363(L=2),	PFAM (Chromo), SMART (CHROMO, COIL)	NA
TR229926|c0_g1_i1	6.23921268282307	-0.000732184653779651	0.0682101989415197	2.18990695342618e-07	0.000918822354059672	XP_024217762.1 E3 ubiquitin-protein ligase Ubr3 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from biNOG: Ubiquitin protein ligase E3 component n-recognin 3		GO:0006464(L=5),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0016567(L=8),GO:0019538(L=3),GO:0032446(L=7),GO:0036211(L=4),GO:0043170(L=3),GO:0043412(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0070647(L=6),GO:0071704(L=2),		GO:0003674(L=0),GO:0003824(L=1),GO:0004842(L=4),GO:0005488(L=1),GO:0008270(L=6),GO:0016874(L=2),GO:0016879(L=3),GO:0016881(L=4),GO:0019787(L=3),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),	PFAM (zf-UBR), SMART (COIL, RING)	NA
TR231183|c0_g2_i2	6.22912858622824	0.000713169899173317	0.0682093426401326	2.1971685833851e-07	0.000918822354059672				FALSE	NA											NA
TR239212|c1_g2_i3	6.78434313631324	0.000690646932951281	0.0682094307419886	1.99678261934365e-07	0.000918822354059672				FALSE	NA											NA
