baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR274112|c0_g3_i1	2.48747069289455	0.000196443579337275	0.0741663840467811	9.05675927956864e-08	0.000978582840157392	XP_014285474.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				GFAT1	Glucosamine-fructose-6-phosphate aminotransferase	250,520,1100,1110	GO:0005975(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0016051(L=4),GO:0044238(L=2),GO:0044723(L=3),GO:0071704(L=2),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003824(L=1),GO:0004044(L=5),GO:0004360(L=6),GO:0005488(L=1),GO:0008483(L=4),GO:0016740(L=2),GO:0016757(L=3),GO:0016763(L=4),GO:0016769(L=3),GO:0030246(L=2),GO:0070548(L=5),	PFAM (SIS, GATase_2), SMART (COIL)	GFAT1
TR275728|c1_g2_i2	1.05467399730799	-0.000495195224590133	0.0741681477548198	8.56332751566756e-08	0.000978582840157392				FALSE	NA					Dual specificity phosphatase, catalytic domain		GO:0006464(L=5),GO:0006470(L=6),GO:0006793(L=3),GO:0006796(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0016311(L=5),GO:0019538(L=3),GO:0035335(L=7),GO:0036211(L=4),GO:0043170(L=3),GO:0043412(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0071704(L=2),		GO:0003674(L=0),GO:0003824(L=1),GO:0004721(L=6),GO:0004725(L=7),GO:0008138(L=7),GO:0016787(L=2),GO:0016788(L=3),GO:0016791(L=5),GO:0042578(L=4),	PFAM (DSPc, Y_phosphatase), SMART (PTPc_DSPc)	NA
TR277116|c0_g3_i2	5.21743224762418	0.000714281248941947	0.0741706333815983	7.78959684684982e-08	0.000978582840157392	XP_014291152.1 DNA repair protein RAD50 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					DNA repair protein RAD50	3440,3450	GO:0000723(L=6),GO:0002164(L=4),GO:0002165(L=4),GO:0002168(L=5),GO:0006139(L=3),GO:0006259(L=4),GO:0006281(L=5),GO:0006302(L=7),GO:0006725(L=3),GO:0006807(L=2),GO:0006950(L=2),GO:0006974(L=4),GO:0006996(L=3),GO:0007275(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009791(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0016233(L=7),GO:0032200(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0033554(L=3),GO:0034641(L=3),GO:0042592(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0046483(L=3),GO:0050896(L=1),GO:0051276(L=4),GO:0051716(L=2),GO:0055114(L=3),GO:0060249(L=4),GO:0065007(L=1),GO:0065008(L=2),GO:0071704(L=2),GO:0071840(L=1),GO:0090304(L=4),GO:0090305(L=5),GO:1901360(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0030870(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044446(L=3),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0004518(L=4),GO:0005488(L=1),GO:0005524(L=7),GO:0008270(L=6),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0017076(L=4),GO:0030554(L=5),GO:0032440(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Rad50_zn_hook), SMART (COIL)	NA
TR216685|c0_g1_i1	30.7788936727813	-0.00434870800771333	0.0743460128660732	3.39232460887226e-07	0.00274905505491485				FALSE	NA											NA
TR87016|c0_g1_i1	84.4518223696153	0.0121461620529226	0.0755744550018175	4.641801001117e-06	0.0300927958902415	XP_014289183.1 major heat shock 70 kDa protein Ba-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				HSP70AA	Heat shock protein	3040,4010,4141,4144,4612,4915,5134,5145,5162,5164,5169	GO:0001666(L=3),GO:0006457(L=2),GO:0006950(L=2),GO:0006996(L=3),GO:0007275(L=3),GO:0007399(L=5),GO:0007568(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0008340(L=5),GO:0009266(L=3),GO:0009408(L=3),GO:0009605(L=2),GO:0009628(L=2),GO:0009719(L=2),GO:0009987(L=1),GO:0009991(L=3),GO:0010033(L=3),GO:0010243(L=3),GO:0010259(L=4),GO:0014070(L=4),GO:0016043(L=2),GO:0019538(L=3),GO:0022008(L=5),GO:0030154(L=4),GO:0031427(L=4),GO:0031667(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0033554(L=3),GO:0034605(L=4),GO:0035079(L=5),GO:0035080(L=6),GO:0036293(L=4),GO:0042221(L=2),GO:0042594(L=3),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),GO:0050896(L=1),GO:0051276(L=4),GO:0051716(L=2),GO:0055114(L=3),GO:0070482(L=3),GO:0071704(L=2),GO:0071840(L=1),GO:1901698(L=3),GO:1901700(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0005811(L=5),GO:0005856(L=5),GO:0005875(L=6),GO:0015630(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0005488(L=1),GO:0005515(L=2),GO:0005524(L=7),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0017076(L=4),GO:0030554(L=5),GO:0032440(L=5),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0051082(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (HSP70, MreB_Mbl), SMART (COIL)	hsp70
TR284741|c0_g1_i1	6.10435537221694	-0.000660311774126063	0.0741704610625007	7.7539496597434e-06	0.0418907130367637	XP_014293479.1 uncharacterized protein LOC106692080 isoform X2 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					TUDOR		GO:0000003(L=1),GO:0000578(L=6),GO:0001709(L=5),GO:0003002(L=5),GO:0003006(L=2),GO:0006403(L=3),GO:0006810(L=3),GO:0006839(L=4),GO:0006996(L=3),GO:0007028(L=3),GO:0007275(L=3),GO:0007276(L=3),GO:0007277(L=4),GO:0007278(L=4),GO:0007281(L=4),GO:0007292(L=5),GO:0007308(L=5),GO:0007309(L=4),GO:0007314(L=8),GO:0007315(L=5),GO:0007350(L=6),GO:0007351(L=7),GO:0007389(L=4),GO:0008150(L=0),GO:0008298(L=4),GO:0008358(L=9),GO:0008595(L=6),GO:0009790(L=4),GO:0009798(L=5),GO:0009880(L=5),GO:0009948(L=6),GO:0009952(L=6),GO:0009987(L=1),GO:0009994(L=5),GO:0015931(L=5),GO:0016043(L=2),GO:0019090(L=5),GO:0019093(L=4),GO:0019953(L=2),GO:0021700(L=3),GO:0022412(L=3),GO:0022414(L=2),GO:0022607(L=3),GO:0030154(L=4),GO:0030719(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0033036(L=2),GO:0035282(L=6),GO:0043933(L=3),GO:0044085(L=2),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0045165(L=5),GO:0046907(L=3),GO:0048468(L=5),GO:0048469(L=4),GO:0048477(L=4),GO:0048599(L=4),GO:0048609(L=3),GO:0048610(L=-1),GO:0048856(L=2),GO:0048869(L=3),GO:0050657(L=6),GO:0050658(L=5),GO:0051179(L=1),GO:0051234(L=2),GO:0051236(L=4),GO:0051641(L=2),GO:0051649(L=3),GO:0070727(L=3),GO:0071702(L=4),GO:0071705(L=4),GO:0071826(L=4),GO:0071840(L=1),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005737(L=4),GO:0005739(L=5),GO:0030529(L=4),GO:0032991(L=1),GO:0035770(L=5),GO:0043186(L=6),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),GO:0045495(L=5),GO:0060293(L=6),		PFAM (TUDOR, SMN), SMART (TUDOR, COIL)	NA
TR239399|c1_g1_i1	3.86329026231981	0.000733346014253571	0.0741710363107266	7.59752571023509e-06	0.0447327424381976	tr|A0A0A9XBX9|A0A0A9XBX9_LYGHE MH2 domain-containing protein OS=Lygus hesperus OX=30085 GN=CM83_42866 PE=4 SV=1	lygus hesperus	No	FALSE	NA					DWB		GO:0006355(L=7),GO:0008150(L=0),GO:0009889(L=4),GO:0010468(L=5),GO:0010556(L=5),GO:0019219(L=5),GO:0019222(L=3),GO:0031323(L=4),GO:0031326(L=5),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0060255(L=4),GO:0065007(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0044464(L=2),		PFAM (MH2, IRF-3, Collagen), SMART (DWB)	NA
TR244715|c0_g3_i1	6.24714077306144	0.0115733728233634	0.0754648451524608	2.98399024766732e-05	0.0879327671619419	XP_014273977.1 synaptogyrin [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Membrane-associating domain		GO:0001505(L=3),GO:0003001(L=-1),GO:0003008(L=2),GO:0006810(L=3),GO:0006836(L=4),GO:0006887(L=4),GO:0007154(L=2),GO:0007267(L=3),GO:0007268(L=7),GO:0007269(L=8),GO:0007275(L=3),GO:0007399(L=5),GO:0008150(L=0),GO:0009987(L=1),GO:0016079(L=3),GO:0016192(L=4),GO:0017157(L=7),GO:0017158(L=8),GO:0019226(L=4),GO:0022008(L=5),GO:0023052(L=1),GO:0023061(L=4),GO:0030154(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0032879(L=3),GO:0032940(L=3),GO:0035637(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0046903(L=4),GO:0048489(L=6),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050877(L=3),GO:0051046(L=5),GO:0051049(L=4),GO:0051179(L=1),GO:0051234(L=2),GO:0051640(L=3),GO:0051641(L=2),GO:0051648(L=4),GO:0051649(L=3),GO:0051650(L=4),GO:0051656(L=3),GO:0060341(L=4),GO:0060627(L=5),GO:0065007(L=1),GO:0065008(L=2),GO:0097479(L=5),GO:0097480(L=6),	GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),		PFAM (MARVEL), SMART (TRANS)	NA
TR252098|c3_g7_i1	3.19289504396707	0.0201258103420552	0.0781729912536449	2.8965693754967e-05	0.0879327671619419				FALSE	NA											NA
TR80256|c0_g1_i1	2.4250232290872	-3.08453675618453	0.888078748450526	2.27537541430651e-05	0.0879327671619419				FALSE	NA											NA
