baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR43948|c0_g1_i1	183.437331229682	-3.79234626782418	0.561556014758909	2.19063205848776e-12	2.2288351810358e-08				FALSE	NA										
TR96897|c0_g1_i1	16.4216084084371	0.0354751905421979	0.118721033546508	1.77033123811597e-12	2.2288351810358e-08				FALSE	NA										
TR241330|c0_g1_i1	19.9233177813987	-4.52935205429678	0.736580595913091	1.18738741892435e-11	9.96608542641749e-08				FALSE	NA										
TR206416|c1_g1_i1	29.8223433198626	5.20039817288571	1.49980955419961	5.70086314383305e-11	1.01336373953703e-06				FALSE	NA										
TR48979|c0_g1_i1	3.79528401275738	0.0386966359127026	0.12031313376858	7.61563750738903e-10	4.09330791269332e-06				FALSE	NA										
TR196735|c1_g1_i1	22.225894979482	-0.049419257117387	0.127499527503214	1.63253503831212e-09	8.63257359562356e-06				FALSE	NA										
TR273210|c0_g1_i1	2.20048420079564	-0.0536253177652234	0.13036523896018	7.32930112789345e-09	3.71567314697484e-05				FALSE	NA										
TR200005|c10_g1_i1	167.394909025107	-2.66097593983702	0.649507725987358	3.16189726127711e-08	3.89935893352477e-05	tr|A0A0V0GAC1|A0A0V0GAC1_TRIDM Putative reverse transcriptase (Fragment) OS=Triatoma dimidiata OX=72491 PE=4 SV=1	triatoma dimidiata	No	FALSE	NA										
TR205302|c3_g5_i1	2.46545223967842	0.0297313100117769	0.116026551654703	1.09119593030736e-08	3.89935893352477e-05				FALSE	NA										
TR235344|c1_g1_i1	93.4491804915365	-0.925875887775561	0.185438416388989	1.25920306778919e-08	3.89935893352477e-05	tr|A0A2R7WW47|A0A2R7WW47_ONCFA TLDc domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS014904 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					TLDc			GO:0005575(L=0),GO:0005911(L=2),GO:0005923(L=4),GO:0030054(L=1),GO:0043296(L=3),GO:0070160(L=3),	GO:0003674(L=0),GO:0005198(L=1),	PFAM (TLD), SMART (TLDc)
