baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR54542|c1_g1_i1	299.73105596489	-6.39828417104557	1.21385713763254	1.59860909138264e-09	6.43492228910294e-05				FALSE	NA											NA
TR233861|c2_g1_i1	183.874378614688	-5.90265442076596	1.41840326795116	6.71716614560569e-09	0.000133478306201345	tr|A0A2R7WUH5|A0A2R7WUH5_ONCFA 2,3-bisphosphoglycerate 3-phosphatase OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS015270 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA					Multiple inositol polyphosphate phosphatase		GO:0006793(L=3),GO:0006796(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009987(L=1),GO:0016311(L=5),GO:0044237(L=2),		GO:0003674(L=0),GO:0003824(L=1),GO:0003993(L=6),GO:0004446(L=7),GO:0004721(L=6),GO:0016787(L=2),GO:0016788(L=3),GO:0016791(L=5),GO:0042578(L=4),GO:0052745(L=6),GO:0052826(L=8),	PFAM (Acid_phosphat_A), SMART (SIGNAL, TRANS)	NA
TR249826|c1_g2_i1	160.511931594773	-5.63221766977631	1.32255689666638	9.94788860887263e-09	0.000133478306201345				FALSE	NA											NA
TR210296|c1_g1_i1	117.480109358198	-5.26586408946665	1.20336211394002	2.97978718875239e-08	0.000281422351942019				FALSE	NA											NA
TR226551|c2_g1_i1	69.7330883968331	-6.19346548924583	1.42184700929037	5.55461397120373e-08	0.000384038383865676				FALSE	NA											NA
TR246647|c1_g1_i1	49.1498263154978	-5.97931408685573	1.35005129129649	6.69444257783401e-08	0.000384038383865676				FALSE	NA											NA
TR258388|c0_g1_i1	150.672059950333	-5.62312542126756	1.29510104501752	4.90676380721655e-08	0.000384038383865676				FALSE	NA											NA
TR133747|c0_g1_i1	66.988583974976	-7.05539106723177	1.56822690527001	9.42641484882845e-08	0.000458734556722826				FALSE	NA											venom protein
TR211445|c1_g1_i1	31.5410956832188	-6.2302507721096	1.59039203483313	9.11063117608344e-08	0.000458734556722826	XP_014286910.1 venom serine protease-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					serine-type endopeptidase activity	4080,4972,4974,5164	GO:0006508(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0019538(L=3),GO:0043170(L=3),GO:0044238(L=2),GO:0071704(L=2),	GO:0005575(L=0),GO:0005576(L=1),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004252(L=5),GO:0008233(L=3),GO:0008236(L=4),GO:0016787(L=2),GO:0017171(L=3),GO:0070011(L=4),	PFAM (Trypsin, CUB), SMART (Tryp_SPc, CUB, SIGNAL, TRANS)	trypsin
TR222470|c0_g1_i2	96.1715738926951	-6.08801191842449	1.64619310566408	1.18544538313053e-07	0.000477180378839403				FALSE	NA											NA
TR220259|c2_g1_i1	29.8246809031076	-4.87500220069215	1.22633362352254	1.36745649015713e-07	0.000624803599345447	tr|A0A2R7WEG2|A0A2R7WEG2_ONCFA Carboxylic ester hydrolase OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS007668 PE=3 SV=1	oncopeltus fasciatus	No	FALSE	NA					Esterase		GO:0008150(L=0),GO:0008152(L=1),		GO:0003674(L=0),GO:0003824(L=1),GO:0003990(L=6),GO:0004104(L=5),GO:0016787(L=2),GO:0016788(L=3),GO:0050253(L=5),GO:0052689(L=4),GO:0080030(L=5),GO:0080031(L=5),GO:0080032(L=5),	PFAM (COesterase, Abhydrolase_3), SMART (SIGNAL, TRANS)	NA
