baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR111903|c0_g1_i1	1777.73618004491	10.5407789151061	0.298686404002233	0	0	XP_024218613.1 tubulin beta chain [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				TUBB2B	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	4145,4540,5130	GO:0000086(L=5),GO:0000226(L=4),GO:0000278(L=4),GO:0000280(L=5),GO:0001764(L=7),GO:0001906(L=1),GO:0001909(L=2),GO:0002228(L=4),GO:0002252(L=2),GO:0002376(L=1),GO:0002443(L=3),GO:0002449(L=4),GO:0006139(L=3),GO:0006152(L=7),GO:0006163(L=5),GO:0006184(L=-1),GO:0006195(L=7),GO:0006457(L=2),GO:0006458(L=3),GO:0006461(L=5),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0006928(L=3),GO:0006950(L=2),GO:0006952(L=3),GO:0006955(L=2),GO:0006996(L=3),GO:0007010(L=4),GO:0007017(L=3),GO:0007018(L=4),GO:0007049(L=3),GO:0007051(L=5),GO:0007067(L=5),GO:0007098(L=7),GO:0007275(L=3),GO:0007399(L=5),GO:0007431(L=5),GO:0007435(L=5),GO:0007517(L=6),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009116(L=4),GO:0009117(L=5),GO:0009119(L=5),GO:0009141(L=5),GO:0009143(L=5),GO:0009144(L=7),GO:0009146(L=7),GO:0009150(L=6),GO:0009154(L=7),GO:0009164(L=5),GO:0009166(L=5),GO:0009199(L=7),GO:0009203(L=7),GO:0009205(L=7),GO:0009207(L=8),GO:0009259(L=5),GO:0009261(L=5),GO:0009653(L=3),GO:0009790(L=4),GO:0009792(L=5),GO:0009987(L=1),GO:0016043(L=2),GO:0016203(L=6),GO:0016477(L=4),GO:0019439(L=4),GO:0019538(L=3),GO:0019637(L=3),GO:0019693(L=4),GO:0022008(L=5),GO:0022402(L=4),GO:0022607(L=3),GO:0022612(L=4),GO:0030030(L=3),GO:0030154(L=4),GO:0031023(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0034622(L=5),GO:0034641(L=3),GO:0034655(L=4),GO:0035272(L=5),GO:0040011(L=1),GO:0042267(L=2),GO:0042278(L=5),GO:0042454(L=7),GO:0043170(L=3),GO:0043623(L=6),GO:0043933(L=3),GO:0044085(L=2),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044260(L=3),GO:0044267(L=4),GO:0044270(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0044770(L=5),GO:0044772(L=5),GO:0045087(L=3),GO:0046039(L=7),GO:0046128(L=7),GO:0046130(L=7),GO:0046434(L=4),GO:0046483(L=3),GO:0046700(L=4),GO:0048285(L=4),GO:0048513(L=4),GO:0048699(L=7),GO:0048731(L=4),GO:0048732(L=6),GO:0048856(L=2),GO:0048869(L=3),GO:0048870(L=3),GO:0050896(L=1),GO:0051084(L=4),GO:0051179(L=1),GO:0051225(L=6),GO:0051258(L=7),GO:0051297(L=6),GO:0051298(L=4),GO:0051674(L=2),GO:0055086(L=3),GO:0060538(L=7),GO:0061061(L=3),GO:0065003(L=4),GO:0070271(L=3),GO:0070925(L=4),GO:0071704(L=2),GO:0071822(L=4),GO:0071840(L=1),GO:0072521(L=4),GO:0072523(L=5),GO:1901068(L=7),GO:1901069(L=8),GO:1901135(L=3),GO:1901136(L=4),GO:1901292(L=4),GO:1901360(L=3),GO:1901361(L=4),GO:1901564(L=3),GO:1901565(L=4),GO:1901575(L=3),GO:1901657(L=3),GO:1901658(L=4),	GO:0000242(L=5),GO:0005575(L=0),GO:0005576(L=1),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005635(L=4),GO:0005641(L=5),GO:0005737(L=4),GO:0005813(L=5),GO:0005815(L=6),GO:0005829(L=4),GO:0005856(L=5),GO:0005874(L=6),GO:0005879(L=4),GO:0005886(L=3),GO:0005929(L=4),GO:0005930(L=5),GO:0012505(L=3),GO:0015630(L=6),GO:0016020(L=1),GO:0030424(L=5),GO:0031967(L=3),GO:0031970(L=4),GO:0031974(L=1),GO:0031975(L=3),GO:0031982(L=3),GO:0032991(L=1),GO:0033267(L=5),GO:0033269(L=5),GO:0042995(L=3),GO:0043005(L=4),GO:0043025(L=4),GO:0043209(L=3),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043230(L=2),GO:0043231(L=4),GO:0043232(L=3),GO:0043234(L=2),GO:0044297(L=3),GO:0044304(L=5),GO:0044421(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044447(L=4),GO:0044450(L=5),GO:0044463(L=3),GO:0044464(L=2),GO:0045298(L=6),GO:0065010(L=3),GO:0070062(L=4),GO:0071944(L=3),GO:0097458(L=3),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0003924(L=7),GO:0005102(L=3),GO:0005198(L=1),GO:0005200(L=2),GO:0005488(L=1),GO:0005515(L=2),GO:0005525(L=7),GO:0016462(L=5),GO:0016787(L=2),GO:0016817(L=3),GO:0016818(L=4),GO:0017076(L=4),GO:0017111(L=6),GO:0019001(L=5),GO:0032403(L=3),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032561(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0042287(L=4),GO:0042288(L=5),GO:0043167(L=2),GO:0043168(L=3),GO:0051082(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Tubulin, Tubulin_C, Misat_Myo_SegII), SMART (Tubulin, Tubulin_C, COIL)	tubulin-beta 2b
TR152168|c0_g2_i1	250.221748878976	8.70544330126951	0.233001628833648	0	0				FALSE	NA											band 7
TR197072|c0_g3_i3	1052.31577502547	10.2000298762878	0.289409501663201	0	0				FALSE	NA											NA
TR197681|c0_g1_i1	565.049988322207	8.70002436853997	0.230544141697129	0	0	XP_024217279.1 coiled-coil domain-containing protein 39 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from opiNOG: coiled-coil domain containing 39					SMART (COIL)	CCDC39
TR198031|c0_g2_i1	364.713360917396	9.78840105144709	0.246605824777216	0	0	XP_014284721.1 mannose-6-phosphate isomerase-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA				MPI	mannose-6-phosphate isomerase	51,520,1100,1110	GO:0005975(L=3),GO:0006139(L=3),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009117(L=5),GO:0009165(L=5),GO:0009225(L=4),GO:0009226(L=5),GO:0009298(L=6),GO:0009987(L=1),GO:0018130(L=4),GO:0019438(L=4),GO:0019637(L=3),GO:0019673(L=5),GO:0034641(L=3),GO:0034654(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044271(L=4),GO:0044281(L=3),GO:0044710(L=2),GO:0046483(L=3),GO:0055086(L=3),GO:0071704(L=2),GO:0090407(L=4),GO:1901135(L=3),GO:1901137(L=4),GO:1901293(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901576(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005739(L=5),GO:0005740(L=6),GO:0016020(L=1),GO:0031090(L=3),GO:0031966(L=5),GO:0031967(L=3),GO:0031975(L=3),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044422(L=2),GO:0044424(L=3),GO:0044429(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),	GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003824(L=1),GO:0004476(L=5),GO:0005488(L=1),GO:0008270(L=6),GO:0016853(L=2),GO:0016860(L=3),GO:0016861(L=4),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (PMI_typeI)	MPI
TR198060|c0_g1_i3	422.461278957329	9.76816489538359	0.268133331891101	0	0	tr|A0A2R7WFG9|A0A2R7WFG9_ONCFA BED-type domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS009282 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					ZnF_BED				GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0005488(L=1),GO:0097159(L=2),GO:1901363(L=2),	PFAM (zf-BED), SMART (ZnF_BED, COIL)	NA
TR198091|c0_g1_i2	1056.81223927779	4.03756882764728	0.0900225178002386	0	0	XP_014283495.1 ferrochelatase, mitochondrial [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)	860,1100,1110	GO:0006725(L=3),GO:0006778(L=4),GO:0006779(L=5),GO:0006783(L=4),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009987(L=1),GO:0018130(L=4),GO:0019438(L=4),GO:0033013(L=4),GO:0033014(L=5),GO:0034641(L=3),GO:0042168(L=3),GO:0042440(L=3),GO:0044237(L=2),GO:0044249(L=3),GO:0044271(L=4),GO:0044710(L=2),GO:0046148(L=4),GO:0046483(L=3),GO:0051186(L=3),GO:0051188(L=4),GO:0071704(L=2),GO:1901360(L=3),GO:1901362(L=4),GO:1901564(L=3),GO:1901566(L=4),GO:1901576(L=3),		GO:0003674(L=0),GO:0003824(L=1),GO:0004325(L=3),GO:0016829(L=2),	PFAM (Ferrochelatase)	NA
TR198274|c5_g1_i1	658.221359063511	10.1819593283213	0.243589086693644	0	0				FALSE	NA											NA
TR198709|c0_g1_i1	722.097677212276	10.5688002336937	0.288353977867654	0	0	tr|A0A2R7W9S8|A0A2R7W9S8_ONCFA Uncharacterized protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS006486 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA											NA
TR198881|c1_g1_i1	812.533947764241	6.68796677508875	0.174284098126135	0	0				FALSE	NA											NA
TR199205|c0_g1_i1	271.832429365746	9.1677315014644	0.240552506006502	0	0	XP_014280287.1 coiled-coil domain-containing protein 65 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA											NA
