baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains	manual.ann
TR268059|c0_g1_i1	6.82576278446932	-1.35264320786511e-06	0.00144269534829885	1.91434532552411e-14	9.64915371112822e-10	XP_014279259.1 androgen-induced gene 1 protein-like isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					FAR-17a/AIG1-like protein			GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),		PFAM (Far-17a_AIG1), SMART (TRANS)	NA
TR200751|c11_g1_i1	1.62352178563752	4.27452463689105e-08	0.00144269493385568	3.80534121034673e-12	2.51076413058677e-08				FALSE	NA					nudE nuclear distribution E homolog (A. nidulans)-like 1		GO:0006810(L=3),GO:0008150(L=0),GO:0051179(L=1),GO:0051234(L=2),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005815(L=6),GO:0005819(L=6),GO:0005856(L=5),GO:0005874(L=6),GO:0015630(L=6),GO:0032991(L=1),GO:0043226(L=1),GO:0043228(L=2),GO:0043229(L=3),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044430(L=5),GO:0044446(L=3),GO:0044464(L=2),		PFAM (NUDE_C), SMART (COIL)	NA
TR219091|c1_g1_i10	1.67455422091042	1.91797974475505e-07	0.00144269497860646	1.72769277458828e-12	2.51076413058677e-08	tr|A0A2R7WEE2|A0A2R7WEE2_ONCFA CAP-Gly domain-containing protein OS=Oncopeltus fasciatus OX=7536 GN=OFAS_OFAS009580 PE=4 SV=1	oncopeltus fasciatus	No	FALSE	NA					NA		GO:0000003(L=1),GO:0000070(L=5),GO:0000226(L=4),GO:0000278(L=4),GO:0000280(L=5),GO:0000819(L=6),GO:0002165(L=4),GO:0003006(L=2),GO:0006996(L=3),GO:0007010(L=4),GO:0007017(L=3),GO:0007049(L=3),GO:0007051(L=5),GO:0007052(L=5),GO:0007059(L=3),GO:0007067(L=5),GO:0007275(L=3),GO:0007276(L=3),GO:0007292(L=5),GO:0007444(L=6),GO:0007472(L=7),GO:0007476(L=8),GO:0007552(L=4),GO:0007560(L=6),GO:0008150(L=0),GO:0009653(L=3),GO:0009790(L=4),GO:0009791(L=4),GO:0009886(L=4),GO:0009887(L=4),GO:0009987(L=1),GO:0016043(L=2),GO:0019953(L=2),GO:0022402(L=4),GO:0022412(L=3),GO:0022414(L=2),GO:0030154(L=4),GO:0030707(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0033301(L=5),GO:0035107(L=4),GO:0035114(L=5),GO:0035120(L=6),GO:0035186(L=6),GO:0035220(L=7),GO:0043933(L=3),GO:0044699(L=1),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0045448(L=5),GO:0048285(L=4),GO:0048468(L=5),GO:0048477(L=4),GO:0048513(L=4),GO:0048563(L=4),GO:0048569(L=6),GO:0048609(L=3),GO:0048610(L=-1),GO:0048707(L=5),GO:0048731(L=4),GO:0048736(L=4),GO:0048737(L=5),GO:0048856(L=2),GO:0048869(L=3),GO:0051276(L=4),GO:0071822(L=4),GO:0071840(L=1),	GO:0000922(L=5),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0005635(L=4),GO:0005737(L=4),GO:0005813(L=5),GO:0005815(L=6),GO:0005819(L=6),GO:0005856(L=5),GO:0005874(L=6),GO:0005876(L=6),GO:0005938(L=5),GO:0012505(L=3),GO:0015630(L=6),GO:0016020(L=1),GO:0030496(L=3),GO:0031090(L=3),GO:0031965(L=5),GO:0031967(L=3),GO:0031975(L=3),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043228(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043232(L=3),GO:0043234(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044428(L=5),GO:0044430(L=5),GO:0044444(L=4),GO:0044446(L=3),GO:0044464(L=2),GO:0071944(L=3),	GO:0003674(L=0),GO:0005488(L=1),GO:0005515(L=2),GO:0019899(L=3),GO:0019900(L=4),GO:0019901(L=5),	SMART (COIL)	NA
TR280683|c0_g1_i2	1.83729625513821	1.92250131821042e-07	0.00144269497920243	1.25040420416584e-12	2.51076413058677e-08	XP_014285941.1 adenylate cyclase type 9 isoform X1 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Adenylate cyclase	230,4020,4062,4114,4270,4540,4713,4723,4724,4725,4727,4911,4912,4913,4914,4915,4916,4961,4962,4970,4971,4972,4976,5032,5110,5166,5414	GO:0006139(L=3),GO:0006163(L=5),GO:0006164(L=7),GO:0006171(L=8),GO:0006725(L=3),GO:0006753(L=4),GO:0006793(L=3),GO:0006796(L=4),GO:0006807(L=2),GO:0007154(L=2),GO:0007165(L=3),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009117(L=5),GO:0009150(L=6),GO:0009152(L=7),GO:0009165(L=5),GO:0009187(L=7),GO:0009190(L=7),GO:0009259(L=5),GO:0009260(L=7),GO:0009987(L=1),GO:0018130(L=4),GO:0019438(L=4),GO:0019637(L=3),GO:0019693(L=4),GO:0023052(L=1),GO:0034641(L=3),GO:0034654(L=4),GO:0035556(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044271(L=4),GO:0044281(L=3),GO:0044699(L=1),GO:0044700(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0046058(L=7),GO:0046390(L=5),GO:0046483(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0050896(L=1),GO:0051716(L=2),GO:0052652(L=7),GO:0055086(L=3),GO:0065007(L=1),GO:0071704(L=2),GO:0072521(L=4),GO:0072522(L=5),GO:0090407(L=4),GO:1901135(L=3),GO:1901137(L=4),GO:1901293(L=4),GO:1901360(L=3),GO:1901362(L=4),GO:1901564(L=3),GO:1901566(L=4),GO:1901576(L=3),	GO:0005575(L=0),GO:0016020(L=1),GO:0016021(L=4),GO:0031224(L=3),GO:0044425(L=2),	GO:0000166(L=3),GO:0003674(L=0),GO:0003824(L=1),GO:0004016(L=3),GO:0005488(L=1),GO:0009975(L=2),GO:0016829(L=2),GO:0016849(L=3),GO:0036094(L=2),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Guanylate_cyc), SMART (TRANS, CYCc, COIL)	NA
TR286166|c2_g1_i1	75.9199613333812	1.30429627484887e-06	0.00144269508041414	2.67603258821354e-08	0.000141251704136263	tr|R4WEB5|R4WEB5_RIPPE Cathepsin L (Fragment) OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA					cathepsin	4142,4145,4612,5205,5323	GO:0002165(L=4),GO:0006508(L=4),GO:0007275(L=3),GO:0007431(L=5),GO:0007435(L=5),GO:0007552(L=4),GO:0007559(L=-1),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0009056(L=2),GO:0009057(L=4),GO:0009653(L=3),GO:0009791(L=4),GO:0009886(L=4),GO:0009888(L=3),GO:0009987(L=1),GO:0012501(L=4),GO:0016265(L=-1),GO:0016271(L=-1),GO:0019538(L=3),GO:0022612(L=4),GO:0030163(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0035070(L=5),GO:0035071(L=6),GO:0035272(L=5),GO:0043170(L=3),GO:0044238(L=2),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048102(L=5),GO:0048513(L=4),GO:0048707(L=5),GO:0048731(L=4),GO:0048732(L=6),GO:0048856(L=2),GO:0071704(L=2),GO:1901575(L=3),	GO:0000323(L=6),GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005764(L=7),GO:0005773(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044444(L=4),GO:0044464(L=2),GO:0045169(L=5),	GO:0003674(L=0),GO:0003824(L=1),GO:0004175(L=5),GO:0004197(L=6),GO:0008233(L=3),GO:0008234(L=5),GO:0016787(L=2),GO:0070011(L=4),	PFAM (Peptidase_C1, Inhibitor_I29, Peptidase_C1_2), SMART (Pept_C1, Inhibitor_I29, SIGNAL, TRANS)	NA
TR237619|c8_g3_i1	94.837094043586	-0.487589953834664	0.125101110208053	3.44426625352805e-06	0.0102127746187189	tr|A0A084VR17|A0A084VR17_ANOSI Pacifastin light chain OS=Anopheles sinensis OX=74873 GN=ZHAS_00007917 PE=3 SV=1	anopheles sinensis	No	FALSE	NA					Pacifastin inhibitor (LCMII)		GO:0008150(L=0),GO:0010466(L=8),GO:0019222(L=3),GO:0043086(L=4),GO:0044092(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0051336(L=4),GO:0051346(L=5),GO:0052547(L=7),GO:0065007(L=1),GO:0065009(L=2),		GO:0003674(L=0),GO:0004857(L=3),GO:0030234(L=2),GO:0030414(L=4),GO:0061134(L=3),	PFAM (Pacifastin_I), SMART (SIGNAL)	NA
TR53065|c0_g1_i1	14.1239164854709	-5.26685125545067e-06	0.00144269816049444	1.14315239310003e-05	0.0290538955873303	XP_014272889.1 cuticle protein 16.5-like [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from euNOG: structural constituent of chitin-based cuticle				GO:0003674(L=0),GO:0005198(L=1),GO:0042302(L=2),	PFAM (Chitin_bind_4), SMART (SIGNAL)	cuticle protein
TR252663|c0_g1_i2	10.9587023486875	1.39187764233057	0.403038066492038	1.01474519916637e-05	0.0334764441204984	XP_041985107.1 transcription factor SOX-4-like isoform X2 [Aricia agestis]	aricia agestis	No	FALSE	NA				SOX14	HMG (high mobility group) box		GO:0000902(L=5),GO:0000904(L=5),GO:0006355(L=7),GO:0006357(L=8),GO:0007275(L=3),GO:0007399(L=5),GO:0007552(L=4),GO:0008150(L=0),GO:0008152(L=1),GO:0009653(L=3),GO:0009889(L=4),GO:0009987(L=1),GO:0010468(L=5),GO:0010556(L=5),GO:0016043(L=2),GO:0016322(L=8),GO:0016358(L=8),GO:0019219(L=5),GO:0019222(L=3),GO:0021700(L=3),GO:0022008(L=5),GO:0030030(L=3),GO:0030154(L=4),GO:0030182(L=7),GO:0031175(L=5),GO:0031323(L=4),GO:0031326(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032989(L=4),GO:0032990(L=5),GO:0042551(L=5),GO:0044699(L=1),GO:0044707(L=2),GO:0044710(L=2),GO:0044763(L=2),GO:0044767(L=2),GO:0048468(L=5),GO:0048469(L=4),GO:0048666(L=6),GO:0048667(L=6),GO:0048699(L=7),GO:0048731(L=4),GO:0048812(L=6),GO:0048813(L=6),GO:0048856(L=2),GO:0048858(L=5),GO:0048869(L=3),GO:0050789(L=2),GO:0050794(L=3),GO:0051171(L=4),GO:0051252(L=5),GO:0055114(L=3),GO:0060255(L=4),GO:0065007(L=1),GO:0071840(L=1),GO:0080090(L=4),GO:2000112(L=6),GO:2001141(L=6),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005634(L=5),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0044424(L=3),GO:0044464(L=2),	GO:0001071(L=1),GO:0003674(L=0),GO:0003676(L=3),GO:0003677(L=4),GO:0003700(L=2),GO:0003824(L=1),GO:0005488(L=1),GO:0008301(L=5),GO:0016491(L=2),GO:0016627(L=3),GO:0016628(L=4),GO:0032440(L=5),GO:0043565(L=5),GO:0097159(L=2),GO:1901363(L=2),	PFAM (HMG_box), SMART (HMG)	SOX14
TR202839|c0_g1_i1	49.1218771033676	-1.45799297616669e-05	0.00144271563607937	1.94318748982059e-05	0.0424669709464683	tr|R4WED7|R4WED7_RIPPE Unkown protein (Fragment) OS=Riptortus pedestris OX=329032 PE=2 SV=1	riptortus pedestris	No	FALSE	NA				SSPO	Low density lipoprotein receptor-related protein	4310	GO:0000003(L=1),GO:0002165(L=4),GO:0003006(L=2),GO:0006508(L=4),GO:0006511(L=8),GO:0006810(L=3),GO:0006811(L=4),GO:0006897(L=5),GO:0006898(L=6),GO:0007154(L=2),GO:0007155(L=2),GO:0007165(L=3),GO:0007166(L=4),GO:0007186(L=4),GO:0007275(L=3),GO:0007276(L=3),GO:0007281(L=4),GO:0007292(L=5),GO:0007444(L=6),GO:0007552(L=4),GO:0007560(L=6),GO:0007561(L=7),GO:0008150(L=0),GO:0008152(L=1),GO:0009056(L=2),GO:0009057(L=4),GO:0009653(L=3),GO:0009790(L=4),GO:0009791(L=4),GO:0009792(L=5),GO:0009886(L=4),GO:0009887(L=4),GO:0009987(L=1),GO:0009994(L=5),GO:0010466(L=8),GO:0010468(L=5),GO:0010951(L=7),GO:0016192(L=4),GO:0019222(L=3),GO:0019538(L=3),GO:0019941(L=7),GO:0019953(L=2),GO:0022412(L=3),GO:0022414(L=2),GO:0022610(L=1),GO:0023052(L=1),GO:0030154(L=4),GO:0030155(L=3),GO:0030163(L=4),GO:0030334(L=6),GO:0030728(L=5),GO:0032501(L=1),GO:0032502(L=1),GO:0032504(L=2),GO:0032879(L=3),GO:0034220(L=5),GO:0040008(L=3),GO:0040009(L=4),GO:0040010(L=5),GO:0040012(L=3),GO:0043086(L=4),GO:0043170(L=3),GO:0043632(L=5),GO:0044092(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044248(L=3),GO:0044257(L=5),GO:0044260(L=3),GO:0044265(L=4),GO:0044267(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044702(L=3),GO:0044707(L=2),GO:0044763(L=2),GO:0044765(L=3),GO:0044767(L=2),GO:0045927(L=4),GO:0045995(L=5),GO:0048468(L=5),GO:0048477(L=4),GO:0048513(L=4),GO:0048518(L=3),GO:0048563(L=4),GO:0048569(L=6),GO:0048599(L=4),GO:0048609(L=3),GO:0048610(L=-1),GO:0048707(L=5),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0050793(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051179(L=1),GO:0051234(L=2),GO:0051239(L=3),GO:0051246(L=5),GO:0051270(L=4),GO:0051336(L=4),GO:0051346(L=5),GO:0051603(L=6),GO:0051716(L=2),GO:0052547(L=7),GO:0052548(L=7),GO:0055085(L=4),GO:0060255(L=4),GO:0065007(L=1),GO:0065009(L=2),GO:0070613(L=7),GO:0071704(L=2),GO:0080090(L=4),GO:1901575(L=3),GO:2000026(L=4),GO:2000145(L=4),	GO:0005575(L=0),GO:0005576(L=1),GO:0005578(L=3),GO:0005604(L=4),GO:0005605(L=4),GO:0005606(L=6),GO:0005615(L=3),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0005768(L=5),GO:0005886(L=3),GO:0005887(L=4),GO:0010008(L=5),GO:0016020(L=1),GO:0016021(L=4),GO:0019898(L=3),GO:0031012(L=2),GO:0031090(L=3),GO:0031224(L=3),GO:0031226(L=3),GO:0031410(L=4),GO:0031982(L=3),GO:0032991(L=1),GO:0043226(L=1),GO:0043227(L=2),GO:0043229(L=3),GO:0043231(L=4),GO:0043234(L=2),GO:0043256(L=4),GO:0044420(L=3),GO:0044421(L=2),GO:0044422(L=2),GO:0044424(L=3),GO:0044425(L=2),GO:0044440(L=6),GO:0044444(L=4),GO:0044446(L=3),GO:0044459(L=3),GO:0044464(L=2),GO:0071944(L=3),	GO:0001540(L=4),GO:0003674(L=0),GO:0003676(L=3),GO:0003824(L=1),GO:0004175(L=5),GO:0004221(L=-1),GO:0004252(L=5),GO:0004857(L=3),GO:0004866(L=5),GO:0004867(L=6),GO:0004871(L=1),GO:0004872(L=2),GO:0004888(L=3),GO:0004930(L=4),GO:0005041(L=5),GO:0005215(L=1),GO:0005216(L=5),GO:0005230(L=6),GO:0005488(L=1),GO:0005509(L=5),GO:0005539(L=3),GO:0005540(L=4),GO:0008233(L=3),GO:0008234(L=5),GO:0008236(L=4),GO:0008270(L=6),GO:0008773(L=6),GO:0015075(L=4),GO:0015267(L=4),GO:0015276(L=5),GO:0016740(L=2),GO:0016772(L=3),GO:0016779(L=4),GO:0016787(L=2),GO:0016788(L=3),GO:0016790(L=4),GO:0017171(L=3),GO:0022803(L=3),GO:0022834(L=4),GO:0022836(L=5),GO:0022838(L=4),GO:0022839(L=6),GO:0022857(L=2),GO:0022891(L=3),GO:0022892(L=2),GO:0030228(L=4),GO:0030234(L=2),GO:0030246(L=2),GO:0030414(L=4),GO:0033218(L=2),GO:0038023(L=2),GO:0038024(L=3),GO:0042277(L=3),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0060089(L=1),GO:0061134(L=3),GO:0061135(L=4),GO:0070011(L=4),GO:0070569(L=5),GO:0097159(L=2),GO:0097367(L=2),GO:1901363(L=2),	PFAM (Ldl_recept_a, Ldl_recept_b, EGF_CA, TSP_1, TIL, fn3, CUB, EGF, Laminin_EGF, VWD, C8), SMART (LDLa, LY, EGF, EGF_CA, TRANS, EGF_like, TSP1, SIGNAL, FN3, VWC_def, CUB, VWC, EGF_Lam, C8, VWD, COIL)	SSPO
TR259363|c0_g1_i1	41.3770352651207	-0.937216585732842	0.266555371462077	2.06082248312255e-05	0.0543892269745703				FALSE	NA											NA
