ovaries by stage	TR208784|c0_g1_i1	2	763.41	-3.601	2.1775e-160	cyclin-E	CYCE	cyclin e	PFAM (Cyclin_N, Cyclin_C), SMART (CYCLIN)	No	FALSE
ovaries by stage	TR267506|c0_g1_i1	3	599.36	-3.1777	6.917e-159	NA		SHNi-TPR	PFAM (SHNi-TPR), SMART (COIL)	No	FALSE
ovaries by stage	TR225577|c1_g1_i2	5	2171.6	-2.5822	4.9888e-146	me31B	ME31B	ATP-dependent RNA helicase	PFAM (Helicase_C, DEAD), SMART (DEXDc, HELICc)	No	FALSE
ovaries by stage	TR263525|c0_g1_i4	6	425.03	-3.3535	5.1359e-141	NA		SNF2 family N-terminal domain	PFAM (SNF2_N, Helicase_C, ResIII, HDA2-3, DEAD), SMART (DEXDc, HELICc, COIL, TRANS)	No	FALSE
ovaries by stage	TR220515|c1_g1_i2	7	286.98	-2.4268	1.8755e-135	NA		lipase 3-like	PFAM (Abhydrolase_1, Abhydro_lipase), SMART (SIGNAL, TRANS)	No	FALSE
ovaries by stage	TR233874|c2_g2_i2	8	184.69	-3.2932	9.6378e-135	NA		Domain of unknown function (DUF3338)	PFAM (DUF3338, FERM_N), SMART (COIL, B41)	No	FALSE
ovaries by stage	TR248032|c0_g1_i1	11	186.91	-3.0951	5.1013e-131	NA	FEN1	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA (By similarity)	PFAM (XPG_I, XPG_N), SMART (XPGI, HhH2, XPGN, COIL, HhH1)	No	FALSE
ovaries by stage	TR216031|c0_g1_i1	12	307.25	-5.4508	7.6055e-130	Bicaudal C	BICC	KH domain	PFAM (KH_1, SAM_1, SAM_2), SMART (KH, SAM)	No	FALSE
ovaries by stage	TR211491|c0_g1_i1	14	519.38	-1.7619	3.0293e-129	NA		NA	PFAM (F-box), SMART (COIL, FBOX)	No	FALSE
ovaries by stage	TR274094|c1_g1_i1	15	495.63	-2.607	1.1474e-126	NA	DAAM	activator of morphogenesis	PFAM (Drf_FH3, Drf_GBD, FH2), SMART (COIL, FH2, Drf_FH3, Drf_GBD)	No	FALSE
ovaries by stage	TR245760|c0_g1_i1	17	584.18	-2.0748	1.2046e-120	NA	TRBL	STYKc	PFAM (Pkinase_Tyr, Pkinase), SMART (STYKc)	No	FALSE
ovaries by stage	TR262468|c0_g1_i1	20	295.23	-3.0353	1.9528e-117	NA	HMMR	Hyaluronan-mediated motility receptor (RHAMM)	SMART (COIL)	No	FALSE
ovaries by stage	TR236784|c0_g1_i2	22	1935.9	1.6866	1.1054e-114	NA		21 kDa proteolipid	PFAM (ATP-synt_C), SMART (TRANS)	No	FALSE
ovaries by stage	TR220432|c0_g1_i1	23	311.65	-4.5175	1.3051e-114	NA		ZnF_C2H2	SMART (ZnF_C2H2)	No	FALSE
ovaries by stage	TR202023|c0_g1_i1	24	395.48	-4.6937	1.8309e-114	pastrel	PST	NA	SMART (TRANS)	No	FALSE
ovaries by stage	TR240590|c0_g1_i1	25	168.54	-3.698	1.9111e-114	NA	CYCA	cyclin a	PFAM (Cyclin_C, Cyclin_N), SMART (CYCLIN)	No	FALSE
