baseMean	log2FoldChange	lfcSE	pvalue	padj	Description	Species	Contaminant	xenic	UniProt.KEGG.Terms	UniProt.GO.Biological	UniProt.GO.Cellular	UniProt.GO.Molecular	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.KEGG.Terms	EggNOG.GO.Biological	EggNOG.GO.Cellular	EggNOG.GO.Molecular	EggNOG.Protein.Domains
TR252667|c0_g1_i1	15.7024030148111	4.49976902634201	0.94494324557313	1.02619057538444e-08	0.000364584987622585				FALSE	NA										
TR198863|c0_g1_i2	3.0794470745262	0.00172824690029815	0.0234320635457232	6.17425300088978e-06	0.0756256866321967				FALSE	NA										
TR206226|c5_g1_i1	15.3450947367732	0.00164162758112883	0.0234220813092794	0.000103409005756984	0.0756256866321967	tr|A0A6I9MMQ2|A0A6I9MMQ2_9TELE mitogen-activated protein kinase kinase kinase kinase 3 isoform X1 OS=Notothenia coriiceps OX=8208 GN=map4k3 PE=4 SV=1	notothenia coriiceps	No	FALSE	NA					mitogen-activated protein kinase kinase kinase kinase		GO:0000165(L=5),GO:0006464(L=5),GO:0006468(L=6),GO:0006793(L=3),GO:0006796(L=4),GO:0006915(L=5),GO:0006950(L=2),GO:0006996(L=3),GO:0007030(L=4),GO:0007154(L=2),GO:0007165(L=3),GO:0007254(L=7),GO:0007610(L=1),GO:0008150(L=0),GO:0008152(L=1),GO:0008219(L=3),GO:0008361(L=4),GO:0009966(L=4),GO:0009967(L=5),GO:0009968(L=5),GO:0009987(L=1),GO:0010033(L=3),GO:0010646(L=4),GO:0010647(L=5),GO:0010648(L=5),GO:0010941(L=4),GO:0010942(L=5),GO:0012501(L=4),GO:0016043(L=2),GO:0016265(L=-1),GO:0016310(L=5),GO:0019222(L=3),GO:0019538(L=3),GO:0023014(L=4),GO:0023051(L=3),GO:0023052(L=1),GO:0023056(L=4),GO:0023057(L=4),GO:0030534(L=3),GO:0031098(L=5),GO:0032006(L=6),GO:0032008(L=7),GO:0032501(L=1),GO:0032535(L=3),GO:0032872(L=7),GO:0032874(L=8),GO:0033554(L=3),GO:0035556(L=4),GO:0036211(L=4),GO:0040008(L=3),GO:0040009(L=4),GO:0042058(L=8),GO:0042059(L=8),GO:0042221(L=2),GO:0042592(L=3),GO:0042981(L=6),GO:0043065(L=7),GO:0043067(L=5),GO:0043068(L=6),GO:0043170(L=3),GO:0043408(L=6),GO:0043410(L=7),GO:0043412(L=4),GO:0044237(L=2),GO:0044238(L=2),GO:0044260(L=3),GO:0044267(L=4),GO:0044699(L=1),GO:0044700(L=2),GO:0044707(L=2),GO:0044708(L=2),GO:0044763(L=2),GO:0045471(L=5),GO:0046328(L=8),GO:0046330(L=8),GO:0046626(L=7),GO:0048149(L=6),GO:0048518(L=3),GO:0048519(L=3),GO:0048522(L=4),GO:0048523(L=4),GO:0048583(L=3),GO:0048584(L=4),GO:0048585(L=4),GO:0048878(L=4),GO:0050789(L=2),GO:0050790(L=3),GO:0050794(L=3),GO:0050896(L=1),GO:0051403(L=6),GO:0051716(L=2),GO:0055088(L=5),GO:0055090(L=6),GO:0065007(L=1),GO:0065008(L=2),GO:0065009(L=2),GO:0070302(L=6),GO:0070304(L=7),GO:0070328(L=7),GO:0071704(L=2),GO:0071840(L=1),GO:0080134(L=4),GO:0080135(L=4),GO:0090066(L=3),GO:0097305(L=4),GO:1900076(L=7),GO:1901184(L=7),GO:1901185(L=7),GO:1901700(L=3),	GO:0005575(L=0),GO:0005622(L=3),GO:0005623(L=1),GO:0005737(L=4),GO:0031931(L=5),GO:0032991(L=1),GO:0043234(L=2),GO:0044424(L=3),GO:0044464(L=2),	GO:0000166(L=3),GO:0001882(L=3),GO:0001883(L=4),GO:0003674(L=0),GO:0003824(L=1),GO:0004672(L=5),GO:0004674(L=6),GO:0004702(L=3),GO:0004871(L=1),GO:0005057(L=2),GO:0005488(L=1),GO:0005524(L=7),GO:0016301(L=4),GO:0016740(L=2),GO:0016772(L=3),GO:0016773(L=4),GO:0017076(L=4),GO:0030234(L=2),GO:0030554(L=5),GO:0030695(L=4),GO:0032549(L=4),GO:0032550(L=5),GO:0032553(L=3),GO:0032555(L=4),GO:0032559(L=6),GO:0035639(L=4),GO:0036094(L=2),GO:0043167(L=2),GO:0043168(L=3),GO:0060089(L=1),GO:0060589(L=3),GO:0097159(L=2),GO:1901265(L=3),GO:1901363(L=2),	PFAM (Pkinase_Tyr, Pkinase, CNH), SMART (CNH, S_TKc, TRANS, STYKc)
TR208458|c1_g1_i1	7.37977649760593	0.000960291864341004	0.0233676070426609	7.78860059349468e-06	0.0756256866321967				FALSE	NA					NA		GO:0006139(L=3),GO:0006259(L=4),GO:0006260(L=5),GO:0006278(L=7),GO:0006508(L=4),GO:0006725(L=3),GO:0006807(L=2),GO:0008150(L=0),GO:0008152(L=1),GO:0009058(L=2),GO:0009059(L=4),GO:0009987(L=1),GO:0015074(L=5),GO:0019538(L=3),GO:0034641(L=3),GO:0034645(L=4),GO:0043170(L=3),GO:0044237(L=2),GO:0044238(L=2),GO:0044249(L=3),GO:0044260(L=3),GO:0046483(L=3),GO:0071704(L=2),GO:0090304(L=4),GO:1901360(L=3),GO:1901576(L=3),		GO:0003674(L=0),GO:0003676(L=3),GO:0003723(L=4),GO:0003824(L=1),GO:0003964(L=6),GO:0005488(L=1),GO:0008233(L=3),GO:0008234(L=5),GO:0008270(L=6),GO:0016740(L=2),GO:0016772(L=3),GO:0016779(L=4),GO:0016787(L=2),GO:0034061(L=5),GO:0043167(L=2),GO:0043169(L=3),GO:0046872(L=4),GO:0046914(L=5),GO:0070011(L=4),GO:0097159(L=2),GO:1901363(L=2),	PFAM (Peptidase_C48), SMART (COIL, TRANS)
TR201491|c4_g1_i1	18.1811408138828	3.83601384020378	1.55992902618753	1.41677824523066e-05	0.10067059499311				FALSE	NA										
TR283504|c1_g1_i3	20.1693516830396	-0.00496633084522054	0.0241060351721913	2.83356562232238e-05	0.167784865716449	XP_014289242.1 C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 [Halyomorpha halys]	halyomorpha halys	No	FALSE	NA					Inherit from KOG: Complement component		GO:0008150(L=0),GO:0010466(L=8),GO:0010951(L=7),GO:0019222(L=3),GO:0043086(L=4),GO:0044092(L=3),GO:0050789(L=2),GO:0050790(L=3),GO:0051336(L=4),GO:0051346(L=5),GO:0052547(L=7),GO:0052548(L=7),GO:0065007(L=1),GO:0065009(L=2),	GO:0005575(L=0),GO:0005576(L=1),GO:0005615(L=3),GO:0044421(L=2),	GO:0003674(L=0),GO:0004857(L=3),GO:0004866(L=5),GO:0030234(L=2),GO:0030414(L=4),GO:0061134(L=3),GO:0061135(L=4),	PFAM (A2M_comp, A2M_N_2, A2M, Methyltransf_FA, A2M_recep)
TR274159|c0_g1_i1	3.31661981179814	0.00265810009486278	0.0235582846939565	4.46658019015029e-05	0.226698087136657				FALSE	NA										
TR269637|c0_g1_i1	24.0133141580479	0.000841673861908631	0.02336072319109	5.12807934548481e-05	0.22773800373298				FALSE	NA										
TR207335|c0_g1_i3	17.1568569460334	-0.00259930719925532	0.0235443782752425	9.80492464230505e-05	0.232232908461209				FALSE	NA										
TR216459|c0_g2_i11	10.8493162600172	-0.000919468866105196	0.0233641464266505	9.67864043080916e-05	0.232232908461209				FALSE	NA					Inherit from biNOG: protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)					PFAM (hATC, PBP_GOBP), SMART (ZnF_TTF)
